List of Banks in Peer Group -- 17 Insured commercial banks having assets less than $50 million, with 1 full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	326

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
177135	22549	SM	FIRST PROGRESSIVE BANK	BREWTON	AL	1	31,733	9
470434	9614	NM	PEOPLES BANK OF RED LEVEL, THE	RED LEVEL	AL	1	15,503	42
496434	2794	N	FIRST NATIONAL BANK OF DOZIER, THE	DOZIER	AL	1	40,355	83
561239	16607	NM	BANK OF PINE HILL	PINE HILL	AL	1	24,958	-19
311144	16282	NM	BANK OF BEARDEN	BEARDEN	AR	1	42,644	78
378044	5619	NM	COMMUNITY STATE BANK	BRADLEY	AR	1	23,274	-75
306056	3018	N	FIRST NATIONAL BANK OF FLEMING, THE	FLEMING	CO	1	23,422	85
399357	11261	NM	MCCLAVE STATE BANK	MC CLAVE	CO	1	25,002	62
3807880	58811	NM	ONE SOUTH BANK	CHIPLEY	FL	1	34,205	35
3266487	57786	N	FLINT RIVER NATIONAL BANK	CAMILLA	GA	1	20,471	-83
260831	889	NM	BANK OF SOPERTON, THE	SOPERTON	GA	1	35,394	128
102333	10074	NM	WILKINSON COUNTY BANK	IRWINTON	GA	1	49,012	95
116732	5712	NM	CITIZENS BANK	CAIRO	GA	1	37,653	-43
598132	19680	NM	SECURITY STATE BANK, THE	MCRAE	GA	1	40,479	124
610539	5686	NM	BANK OF EDISON, THE	EDISON	GA	1	41,583	52
649632	16609	NM	ROCHELLE STATE BANK	ROCHELLE	GA	1	28,306	23
706030	16283	NM	CITIZENS EXCHANGE BANK, THE	PEARSON	GA	1	26,652	-14
700140	1860	NM	MONTEZUMA STATE BANK	MONTEZUMA	IA	1	38,146	27
730745	11761	NM	CITIZENS SAVINGS BANK	HAWKEYE	IA	1	28,027	47
749840	9295	SM	FARMERS STATE BANK	LAKE VIEW	IA	1	33,792	13
672041	10896	NM	FARMERS AND TRADERS SAVINGS BANK	DOUDS	IA	1	20,430	14
675341	10120	NM	AMERICAN TRUST & SAVINGS BANK	LOWDEN	IA	1	36,182	55
602842	17441	NM	DYSART STATE BANK	DYSART	IA	1	15,960	-7
586241	1861	NM	PLEASANTVILLE STATE BANK	PLEASANTVILLE	IA	1	39,556	47
505242	13992	NM	PEOPLES STATE BANK	WINFIELD	IA	1	28,476	48
534242	13931	NM	STATE BANK OF SCHALLER	SCHALLER	IA	1	35,643	130
787141	18838	NM	EXCHANGE STATE BANK	ADAIR	IA	1	37,327	36
821643	11343	NM	ASHTON STATE BANK	ASHTON	IA	1	46,969	194
828745	14693	NM	MONROE STATE BANK	MONROE	IA	1	25,216	62
856542	5792	NM	BREDA SAVINGS BANK, THE	BREDA	IA	1	47,234	216
856944	25260	NM	STATE BANK OF BROOKS	CORNING	IA	1	17,506	25
868442	223	NM	MANSON STATE BANK	MANSON	IA	1	37,987	63
886044	13446	SM	BLENCOE STATE BANK	ONAWA	IA	1	42,914	61
913641	14015	NM	HARTWICK STATE BANK	HARTWICK	IA	1	26,959	45
976347	13680	NM	FIRST STATE BANK	HAWARDEN	IA	1	46,170	90
92144	17551	NM	COMMUNITY STATE BANK	PATON	IA	1	43,078	88
200042	15308	NM	STATE BANK OF WAPELLO	WAPELLO	IA	1	38,163	24
472045	966	NM	HOME STATE BANK	ROYAL	IA	1	48,822	231
473341	10898	NM	GARNAVILLO SAVINGS BANK, THE	GARNAVILLO	IA	1	37,481	80
431846	8097	NM	FARMERS SAVINGS BANK	VICTOR	IA	1	37,586	127
297547	9102	NM	ROWLEY SAVINGS BANK	ROWLEY	IA	1	17,075	16
359744	8519	NM	WHITE STATE BANK	SOUTH ENGLISH	IA	1	36,033	122
343248	4494	N	FIRST NATIONAL BANK OF PRIMGHAR, THE	PRIMGHAR	IA	1	31,394	28
3285246	57910	NM	FIRST STATE BANK	NASHUA	IA	1	46,632	151
1013744	16363	NM	PEOPLES SAVINGS BANK	MONTEZUMA	IA	1	36,774	16
2811086	34900	NM	PREFERRED BANK	CASEY	IL	1	48,828	43
355737	10874	NM	LAURA STATE BANK	WILLIAMSFIELD	IL	1	15,752	-7
332345	11300	NM	OAKDALE STATE BANK	OAKDALE	IL	1	19,562	36
363442	12086	NM	SAINTE MARIE STATE BANK	SAINTE MARIE	IL	1	19,492	8
316934	12121	NM	BUCKLEY STATE BANK	BUCKLEY	IL	1	49,356	95
318639	10885	NM	BANK OF CHESTNUT	CHESTNUT	IL	1	17,594	31
419947	9274	NM	HILL-DODGE BANKING COMPANY, THE	WARSAW	IL	1	37,730	186
424437	10840	NM	CAMPUS STATE BANK	CAMPUS	IL	1	24,886	34
426141	11302	SM	FIRST STATE BANK OF ST. PETER	SAINT PETER	IL	1	32,177	99
413730	12408	NM	HARDWARE STATE BANK	LOVINGTON	IL	1	23,752	6
207041	3770	N	FIRST NATIONAL BANK OF BROWNSTOWN, THE	BROWNSTOWN	IL	1	37,111	65
187648	16585	NM	VERMONT STATE BANK	VERMONT	IL	1	19,654	48
272245	15916	NM	FIRST STATE BANK OF WEST SALEM	WEST SALEM	IL	1	19,136	8
256049	19693	SM	TEXICO STATE BANK	TEXICO	IL	1	9,064	0
170640	22543	NM	1ST STATE BANK OF MASON CITY	MASON CITY	IL	1	31,038	73
104542	16318	NM	MARSEILLES BANK	MARSEILLES	IL	1	48,655	175
122546	3834	N	FIRST NATIONAL BANK OF SANDOVAL, THE	SANDOVAL	IL	1	48,082	92
958231	18568	NM	COMMUNITY BANK OF EASTON	EASTON	IL	1	31,124	108
915935	20454	NM	CITIZENS BANK OF EDINBURG	EDINBURG	IL	1	23,626	37
944935	10820	NM	STATE BANK OF INDUSTRY	INDUSTRY	IL	1	47,164	223
860231	10077	NM	FARMERS STATE BANK OF EMDEN	EMDEN	IL	1	41,278	56
830645	11319	NM	FARMERS BANK OF MT. PULASKI, THE	MOUNT PULASKI	IL	1	43,499	2
799939	11716	SM	HARTSBURG STATE BANK	HARTSBURG	IL	1	17,127	53
724940	10469	NM	FARMERS & MERCHANTS BANK OF HUTSONVILLE	HUTSONVILLE	IL	1	43,489	103
523648	16569	NM	SHERIDAN STATE BANK	SHERIDAN	IL	1	30,005	43
486248	1802	SM	FAYETTE COUNTY BANK	SAINT ELMO	IL	1	45,736	-208
489249	3805	N	FIRST NATIONAL BANK OF KINMUNDY, THE	KINMUNDY	IL	1	40,850	199
601032	11731	NM	FAIRVIEW STATE BANKING COMPANY	FAIRVIEW	IL	1	28,063	10
493143	5735	SM	STATE BANK OF LIMA, THE	LIMA	IL	1	35,594	124
644440	18445	NM	FRANKLIN BANK	FRANKLIN	IL	1	44,907	170
611246	12091	NM	FARMERS STATE BANK OF CAMP POINT	CAMP POINT	IL	1	49,278	118
685733	3636	N	FIRST NATIONAL BANK OF CHRISMAN	CHRISMAN	IL	1	41,985	18
604033	3600	N	FIRST NATIONAL BANK OF ASSUMPTION, THE	ASSUMPTION	IL	1	24,652	34
741639	9636	NM	FRANKLIN GROVE BANK	FRANKLIN GROVE	IL	1	31,778	58
503547	1829	SM	FAIRMOUNT STATE BANK, THE	FAIRMOUNT	IN	1	43,722	23
540850	12139	NM	FORD COUNTY STATE BANK	SPEARVILLE	KS	1	40,580	56
603559	14344	SM	FARMERS STATE BANK	PHILLIPSBURG	KS	1	33,873	73
592859	14084	NM	HILLSBORO STATE BANK	HILLSBORO	KS	1	17,071	0
571957	17375	NM	STATE EXCHANGE BANK, THE	MANKATO	KS	1	34,977	74
735357	17999	NM	FARMERS & MERCHANTS STATE BANK OF CAWKER CITY, THE	CAWKER CITY	KS	1	17,007	75
741358	16744	NM	PEOPLES STATE BANK	CHERRYVALE	KS	1	16,716	173
723756	14636	SM	PEOPLES BANK	COLDWATER	KS	1	46,086	114
652959	15853	NM	FARMERS STATE BANK	FAIRVIEW	KS	1	25,087	24
668352	18077	NM	CITIZENS STATE BANK	GRAINFIELD	KS	1	12,774	18
814953	4692	N	FIRST NATIONAL BANK OF HOWARD	HOWARD	KS	1	8,048	5
857259	17995	NM	BANK OF GREELEY	GREELEY	KS	1	36,766	79
858153	13926	NM	STATE BANK OF CANTON	CANTON	KS	1	32,525	36
923350	4668	N	FIRST NATIONAL BANK IN FRANKFORT	FRANKFORT	KS	1	38,485	94
925859	13956	SM	CHETOPA STATE BANK & TRUST CO	CHETOPA	KS	1	31,518	98
915252	4656	NM	DOWNS BANK	DOWNS	KS	1	18,993	5
973252	12865	SM	SWEDISH-AMERICAN STATE BANK	COURTLAND	KS	1	45,962	59
976954	17632	NM	FARMERS STATE BANK	DWIGHT	KS	1	15,858	34
981350	12425	NM	DICKINSON COUNTY BANK	ENTERPRISE	KS	1	10,045	-3
997856	24577	N	FIRST NATIONAL BANK OF HOLCOMB	HOLCOMB	KS	1	48,377	159
998750	15257	NM	BAILEYVILLE STATE BANK	SENECA	KS	1	40,021	35
125958	17395	NM	LORRAINE STATE BANK	LORRAINE	KS	1	24,814	73
71859	13959	NM	CBW BANK	WEIR	KS	1	14,630	288
354	14083	NM	BISON STATE BANK	BISON	KS	1	10,432	-18
7157	15057	NM	STATE BANK OF BLUE RAPIDS	BLUE RAPIDS	KS	1	48,199	22
14753	18101	NM	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	BUCKLIN	KS	1	46,107	5
167752	4728	N	MARION NATIONAL BANK, THE	MARION	KS	1	24,817	24
138752	15352	NM	FARMERS STATE BANK, THE	ATWOOD	KS	1	24,985	43
196752	18109	NM	TRICENTURY BANK	SIMPSON	KS	1	3,577	-14
197254	4774	N	FIRST NATIONAL BANK OF SPEARVILLE	SPEARVILLE	KS	1	31,909	65
396356	13697	NM	OLPE STATE BANK	OLPE	KS	1	37,767	99
388258	18094	NM	MARQUETTE FARMERS STATE BANK OF MARQUETTE KANSAS	MARQUETTE	KS	1	34,515	72
472652	18074	NM	ROXBURY BANK	ROXBURY	KS	1	14,490	23
359650	17652	NM	ALDEN STATE BANK, THE	STERLING	KS	1	21,293	4
3462654	58466	NM	MILLENNIUM BANK	JUNCTION CITY	KS	1	33,361	78
3462449	58112	NM	LOUISA COMMUNITY BANK	LOUISA	KY	1	29,310	80
3335301	58172	NM	PEOPLE'S BANK AND TRUST COMPANY OF CLINTON COUNTY	ALBANY	KY	1	31,680	8
456344	10145	NM	HART COUNTY BANK AND TRUST COMPANY	MUNFORDVILLE	KY	1	26,861	66
62044	21342	NM	SEBREE DEPOSIT BANK	SEBREE	KY	1	23,701	-26
839817	288	NM	FARMERS & TRADERS BANK OF CAMPTON	CAMPTON	KY	1	46,881	66
923257	9328	NM	PEOPLES BANK	CHATHAM	LA	1	31,480	76
741956	314	NM	MER ROUGE STATE BANK, THE	MER ROUGE	LA	1	45,539	13
695648	17210	NM	RUTH STATE BANK	RUTH	MI	1	36,897	17
779641	14999	NM	PORT AUSTIN STATE BANK, THE	PORT AUSTIN	MI	1	48,353	145
783956	1934	NM	FIRST STATE BANK OF OKABENA (INCORPORATED)	OKABENA	MN	1	18,806	23
794653	14853	N	FIRST NATIONAL BANK AT SAINT JAMES, THE	SAINT JAMES	MN	1	31,064	49
799359	1386	NM	RED ROCK BANK	SANBORN	MN	1	21,681	17
