List of Banks in Peer Group -- 201 Credit card specialty banks having assets greater than $ 3 billion

Reporting Period End Date	09/30/2005
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1417557	27595	N	BANK OF AMERICA, NATIONAL ASSOCIATION (USA)	PHOENIX	AZ	1	56,896,925	1,064,344
1830035	33318	N	MBNA AMERICA BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2	58,558,312	1,343,907
489913	23702	N	CHASE BANK USA, NATIONAL ASSOCIATION	NEWARK	DE	1	87,417,208	997,263
30810	5649	NM	DISCOVER BANK	GREENWOOD	DE	1	20,374,538	495,977
121709	6252	N	PROVIDIAN NATIONAL BANK	TILTON	NH	2	13,004,226	382,045
455365	26211	N	CITIBANK (NEVADA), NATIONAL ASSOCIATION	LAS VEGAS	NV	1	16,940,181	633,739
2502656	34351	NM	USAA SAVINGS BANK	LAS VEGAS	NV	1	7,056,805	149,079
486752	23360	N	CITIBANK (SOUTH DAKOTA), NATIONAL ASSOCIATION	SIOUX FALLS	SD	1	46,366,318	1,303,664
1394676	27471	NM	AMERICAN EXPRESS CENTURION BANK	SALT LAKE CITY	UT	1	12,524,687	776,904
2253891	33954	SM	CAPITAL ONE BANK	GLEN ALLEN	VA	1	31,016,212	1,047,469
