List of Banks in Peer Group -- 2022 Denovo banks opened in 2022 having assets less than $750 million

Reporting Period End Date	12/31/2023
Number of Banks in Peer Group	14

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
5691319	59203	NM	SCOTTSDALE COMMUNITY BANK	SCOTTSDALE	AZ	1	39,376	-1,386
5758436	59283	NM	INTEGRO BANK	PHOENIX	AZ	1	43,937	-5,321
5758445	59273	NM	GAINEY BUSINESS BANK	SCOTTSDALE	AZ	1	30,813	-3,145
5788705	59296	NM	BANK IRVINE	IRVINE	CA	1	135,627	244
5755510	59204	NM	LEGACY BANK	MURRIETA	CA	1	52,434	-4,659
5673191	59278	NM	LOCALITY BANK	FORT LAUDERDALE	FL	1	139,246	-2,283
5692473	59306	NM	EVERMORE BANK	FORT LAUDERDALE	FL	2	72,769	-2,128
5724226	59281	NM	GULF COAST BUSINESS BANK	FORT MYERS	FL	1	67,957	-2,354
5686324	59285	NM	MOULTRIE BANK & TRUST	MOULTRIE	GA	1	72,985	-246
5660146	59287	NM	ENTREBANK	BLOOMINGTON	MN	1	155,525	91
5784921	59312	NM	GS&L MUNICIPAL BANK	GOUVERNEUR	NY	1	34,375	858
5760439	59304	NM	TEXAS TRADITIONS BANK	KATY	TX	1	134,072	-84
5728916	59239	N	AGILITY BANK, N.A.	HOUSTON	TX	1	68,379	-2,884
5760662	59298	NM	BANK OF BURLINGTON	SOUTH BURLINGTON	VT	1	125,610	-2,619
