List of Banks in Peer Group -- 301 Bankers banks

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	16

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2451240	34252	SM	PACIFIC COAST BANKERS' BANK	WALNUT CREEK	CA	1	566,544	1,179
732758	23210	SM	BANKERS' BANK OF THE WEST	DENVER	CO	1	329,880	1,596
2722173	34858	SM	BANKERS BANK NORTHEAST	GLASTONBURY	CT	1	139,983	58
190639	24642	SM	INDEPENDENT BANKERS' BANK OF FLORIDA	LAKE MARY	FL	1	188,258	-535
1218446	27351	SM	BANKERS' BANK OF KANSAS	WICHITA	KS	1	174,892	212
1187551	27219	SM	BANKERS' BANK OF KENTUCKY, INC., THE	FRANKFORT	KY	1	61,594	95
734538	25247	N	FIRST NATIONAL BANKERS BANK	BATON ROUGE	LA	4	809,616	842
3284100	57821	NM	MARYLAND FINANCIAL BANK	TOWSON	MD	1	61,194	23
930358	22180	SM	UNITED BANKERS BANK	BLOOMINGTON	MN	1	723,706	1,224
977250	25849	SM	MIDWEST INDEPENDENT BANK	JEFFERSON CITY	MO	2	359,635	293
155517	24493	SM	GREAT LAKES BANKERS BANK	WORTHINGTON	OH	1	101,012	76
859655	26677	SM	BANKERS BANK, THE	OKLAHOMA CITY	OK	1	203,806	41
959715	24829	SM	ATLANTIC COMMUNITY BANKERS BANK	CAMP HILL	PA	1	559,698	1,345
529958	23647	SM	TIB THE INDEPENDENT BANKERSBANK	IRVING	TX	5	2,381,175	5,032
77422	26871	SM	COMMUNITY BANKERS' BANK	MIDLOTHIAN	VA	1	145,439	164
408642	23537	SM	BANKERS' BANK	MADISON	WI	1	440,501	915
