List of Banks in Peer Group -- 4 Insured commercial banks having assets between $1 billion and $3 billion

Reporting Period End Date	12/31/2014
Number of Banks in Peer Group	322

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1718188	33216	NM	NORTHRIM BANK	ANCHORAGE	AK	7	1,324,729	19,358
539032	16604	SM	BANK INDEPENDENT	SHEFFIELD	AL	25	1,119,658	11,149
594433	15310	NM	CB&S BANK, INC.	RUSSELLVILLE	AL	51	1,486,919	14,625
3356191	57997	NM	BRYANT BANK	TUSCALOOSA	AL	14	1,242,928	13,858
397540	3864	N	FIRST NATIONAL BANK OF FORT SMITH, THE	FORT SMITH	AR	15	1,182,369	15,665
852544	1528	SM	SOUTHERN BANCORP BANK	ARKADELPHIA	AR	35	1,153,362	11,524
797467	24229	NM	HERITAGE OAKS BANK	PASO ROBLES	CA	12	1,607,854	9,820
808260	1331	NM	FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA	LODI	CA	21	2,160,141	26,211
703767	23030	NM	CENTRAL VALLEY COMMUNITY BANK	FRESNO	CA	21	1,153,246	5,675
739560	19222	NM	FREMONT BANK	FREMONT	CA	18	2,574,472	35,178
750864	18923	NM	BANAMEX USA	LOS ANGELES	CA	3	1,172,602	-97,429
1918344	33539	NM	PREFERRED BANK	LOS ANGELES	CA	11	1,876,839	24,592
1436204	32779	NM	BANK OF MARIN	CORTE MADERA	CA	21	1,831,557	20,503
930965	18618	NM	MANUFACTURERS BANK	LOS ANGELES	CA	10	2,371,059	9,476
996260	19416	NM	CTBC BANK CORP. (USA)	LOS ANGELES	CA	12	2,138,142	11,580
2209553	33905	SM	HERITAGE BANK OF COMMERCE	SAN JOSE	CA	11	1,521,094	14,614
2717012	34940	SM	PACIFIC MERCANTILE BANK	COSTA MESA	CA	8	1,032,282	2,913
2734729	34788	NM	AMERICAN BUSINESS BANK	LOS ANGELES	CA	1	1,440,398	11,456
398668	23472	N	BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE	LOS ANGELES	CA	1	1,935,309	86,449
