List of Banks in Peer Group -- 5 Insured commercial banks having assets between $300 million and $1 billion

Reporting Period End Date	03/31/2012
Number of Banks in Peer Group	1191

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
451068	14885	NM	FIRST BANK	KETCHIKAN	AK	8	437,995	936
450034	22769	NM	CAPSTONE BANK	TUSCALOOSA	AL	8	376,707	756
441434	2824	NM	FNB BANK	SCOTTSBORO	AL	9	357,721	-509
498531	26799	NM	EVABANK	EVA	AL	5	356,805	1,811
501132	16175	NM	WEST ALABAMA BANK & TRUST	REFORM	AL	12	589,879	902
390336	47	NM	TRADERS & FARMERS BANK	HALEYVILLE	AL	7	369,206	937
655839	16595	SM	CCB COMMUNITY BANK	ANDALUSIA	AL	3	391,953	1,890
60330	22537	NM	PEOPLES BANK OF ALABAMA	CULLMAN	AL	28	500,266	1,741
134437	5598	NM	TROY BANK & TRUST COMPANY	TROY	AL	9	827,981	1,224
186838	14720	NM	FIRST COMMUNITY BANK	CHATOM	AL	10	329,446	815
246134	2829	NM	FIRST SOUTHERN STATE BANK	STEVENSON	AL	7	331,454	552
257233	2832	N	FIRST NATIONAL BANK OF TALLADEGA, THE	TALLADEGA	AL	3	410,491	-311
259330	17077	NM	FIRST UNITED SECURITY BANK	THOMASVILLE	AL	18	617,704	-1,141
749635	35	SM	AUBURNBANK	AUBURN	AL	6	759,841	1,522
929932	2777	N	MIDSOUTH BANK, NATIONAL ASSOCIATION	DOTHAN	AL	9	358,913	338
994435	58	NM	UNITED BANK	ATMORE	AL	17	454,864	370
1222519	27381	NM	FIRST METRO BANK	MUSCLE SHOALS	AL	8	477,937	1,689
1394621	27510	NM	METRO BANK	PELL CITY	AL	7	630,838	1,886
3275939	57764	N	NATIONAL BANK OF COMMERCE	BIRMINGHAM	AL	6	450,606	401
3437157	58255	NM	RIVER BANK & TRUST	PRATTVILLE	AL	4	372,581	649
4262543	59060	NM	ALOSTAR BANK OF COMMERCE	BIRMINGHAM	AL	1	823,215	-755
3350724	89	NM	SIGNATURE BANK OF ARKANSAS	FAYETTEVILLE	AR	5	499,782	552
2619732	34611	NM	COMMUNITY FIRST BANK	HARRISON	AR	5	517,073	1,115
2596646	34533	NM	FIRST COMMUNITY BANK	BATESVILLE	AR	15	743,507	1,548
914349	92	NM	DELTA TRUST & BANK	PARKDALE	AR	9	390,075	929
906241	14644	N	MALVERN NATIONAL BANK, THE	MALVERN	AR	9	465,218	735
856748	17211	SM	CITIZENS BANK, THE	BATESVILLE	AR	8	543,737	1,294
848248	19644	N	FIDELITY NATIONAL BANK	WEST MEMPHIS	AR	5	338,845	1,505
261940	3869	N	FIRST NATIONAL BANK IN GREEN FOREST, THE	GREEN FOREST	AR	7	365,676	1,418
308443	26975	SM	BANK OF FAYETTEVILLE, THE	FAYETTEVILLE	AR	8	382,552	540
324649	3857	N	FIRST NATIONAL BANK	HOT SPRINGS	AR	27	723,835	1,736
251745	3863	N	FIRST NATIONAL BANK OF EASTERN ARKANSAS	FORREST CITY	AR	14	359,380	674
192147	8738	SM	CITIZENS BANK & TRUST COMPANY	VAN BUREN	AR	7	366,317	1,251
100843	1294	N	FIRST NATIONAL BANKING COMPANY	ASH FLAT	AR	12	355,921	992
42448	3887	N	FIRST NATIONAL BANK	PARAGOULD	AR	6	696,413	2,253
48374	28905	SM	FIRST FINANCIAL BANK	EL DORADO	AR	9	789,291	6,154
49241	19371	N	PINE BLUFF NATIONAL BANK	PINE BLUFF	AR	8	387,571	996
12946	1291	SM	FARMERS BANK & TRUST COMPANY	MAGNOLIA	AR	6	738,792	2,829
27847	1527	NM	DIAMOND BANK	MURFREESBORO	AR	13	428,509	1,379
33147	1027	SM	FARMERS BANK AND TRUST COMPANY	BLYTHEVILLE	AR	3	406,261	680
26242	18979	N	FIRST NATIONAL BANK AND TRUST COMPANY	MOUNTAIN HOME	AR	8	387,787	1,218
677644	16216	SM	FARMERS & MERCHANTS BANK, THE	STUTTGART	AR	7	626,495	1,944
517049	5615	NM	CHAMBERS BANK	DANVILLE	AR	19	719,505	2,349
568144	17800	N	ONE BANK & TRUST, NATIONAL ASSOCIATION	LITTLE ROCK	AR	10	446,206	519
453446	3873	SM	EAGLE BANK AND TRUST COMPANY	LITTLE ROCK	AR	14	352,150	810
466240	16849	NM	FIRST ARKANSAS BANK AND TRUST	JACKSONVILLE	AR	23	673,716	2,547
471749	16715	SM	SIMMONS FIRST BANK OF NORTHEAST ARKANSAS	JONESBORO	AR	5	340,526	1,356
978369	22644	N	MERIDIAN BANK, NATIONAL ASSOCIATION	PHOENIX	AZ	8	926,100	5,132
2671105	34708	NM	BANK OF TUCSON	TUCSON	AZ	2	304,715	239
2358769	57197	N	BNC NATIONAL BANK	GLENDALE	AZ	15	678,778	2,051
2332910	34496	NM	FIRST COMMERCIAL BANK (U.S.A)	ALHAMBRA	CA	7	493,411	1,157
2446152	34156	NM	VALLEY BUSINESS BANK	VISALIA	CA	5	353,059	992
2640530	34462	SM	MISSION COMMUNITY BANK	SAN LUIS OBISPO	CA	7	448,762	145
2714217	34713	SM	BANK OF SACRAMENTO	SACRAMENTO	CA	4	406,875	786
1412712	27572	N	COMMUNITY WEST BANK, NATIONAL ASSOCIATION	GOLETA	CA	5	629,452	1,000
1421095	32707	NM	CENTENNIAL BANK	FOUNTAIN VALLEY	CA	1	667,588	1,667
1436473	32743	NM	CIRCLE BANK	NOVATO	CA	6	318,235	452
1216826	27330	NM	SILVERGATE BANK	LA JOLLA	CA	5	484,093	1,029
1162017	27132	SM	UNITED SECURITY BANK	FRESNO	CA	12	624,533	1,314
1471577	33121	SM	AMERICAN SECURITY BANK	NEWPORT BEACH	CA	6	434,313	518
1864197	33457	SM	OAK VALLEY COMMUNITY BANK	OAKDALE	CA	14	599,048	1,512
1864601	33401	NM	METRO UNITED BANK	SAN DIEGO	CA	7	399,156	582
1865680	33435	NM	SAEHAN BANK	LOS ANGELES	CA	11	584,340	273
