List of Banks in Peer Group -- 6 Insured commercial banks having assets between $100 million and $300 million, with 3 or more full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	09/30/2021
Number of Banks in Peer Group	310

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
112332	2804	N	FIRST NATIONAL BANK OF HARTFORD	HARTFORD	AL	3	138,474	759
117038	2805	NM	HNB FIRST BANK	HEADLAND	AL	3	200,570	2,590
117775	29731	NM	SOUTHERN BANK COMPANY, THE	GADSDEN	AL	4	110,335	557
244037	2828	NM	FRIEND BANK	SLOCOMB	AL	5	172,443	4,106
290838	15270	NM	MERIT BANK	HUNTSVILLE	AL	4	172,780	-31
292234	19440	NM	FIRST FINANCIAL BANK	BESSEMER	AL	8	224,115	1,856
432432	41	NM	PHENIX-GIRARD BANK	PHENIX CITY	AL	4	255,027	3,864
434539	1735	NM	FARMERS & MERCHANTS BANK	PIEDMONT	AL	4	286,000	1,230
467733	5602	NM	UNION STATE BANK	PELL CITY	AL	13	257,371	-797
563336	23523	NM	CITIZENS' BANK, INC.	ROBERTSDALE	AL	3	132,701	781
1402384	27560	NM	NORTH ALABAMA BANK	HAZEL GREEN	AL	4	140,663	1,008
1397471	91280	SM	BANK OF LITTLE ROCK	LITTLE ROCK	AR	5	263,841	2,265
1879016	33470	NM	TODAY'S BANK	HUNTSVILLE	AR	8	285,210	1,942
2716828	34887	SM	PREMIER BANK OF ARKANSAS	JONESBORO	AR	3	193,141	1,499
539377	32025	SM	UNITED BANK	SPRINGDALE	AR	4	232,560	2,390
325141	1296	NM	FARMERS BANK	GREENWOOD	AR	11	255,570	2,125
126049	5634	SM	CONNECT BANK	STAR CITY	AR	5	109,667	1,605
10849	15050	NM	FIRST STATE BANK	LONOKE	AR	6	274,264	2,047
2963275	57137	NM	MISSION BANK	KINGMAN	AZ	3	175,683	881
3480069	58426	N	WEST VALLEY NATIONAL BANK	GOODYEAR	AZ	4	125,780	1,264
3637706	58500	NM	COMMUNITY VALLEY BANK	EL CENTRO	CA	6	271,432	4,142
3470930	58218	SM	FRIENDLY HILLS BANK	WHITTIER	CA	4	221,934	784
297761	22460	NM	MONTEREY COUNTY BANK	MONTEREY	CA	4	239,441	600
403067	25644	N	BEACON BUSINESS BANK, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	3	161,289	1,561
534466	25869	NM	METROPOLITAN BANK	OAKLAND	CA	4	201,518	1,359
478766	23754	SM	LIBERTY BANK	SOUTH SAN FRANCISCO	CA	3	290,444	593
962966	26881	N	GOLDEN PACIFIC BANK, NATIONAL ASSOCIATION	SACRAMENTO	CA	3	161,824	779
2506328	34328	NM	CACHE BANK & TRUST	GREELEY	CO	3	114,779	-775
643658	17782	N	PIKES PEAK NATIONAL BANK	COLORADO SPRINGS	CO	4	116,519	-307
651756	17244	NM	BANK OF DENVER, THE	DENVER	CO	4	277,729	1,162
550354	19351	NM	BANK OF ESTES PARK	ESTES PARK	CO	3	158,808	810
427858	23404	N	EVERGREEN NATIONAL BANK	EVERGREEN	CO	4	141,739	606
939070	28167	SM	EASTERN CONNECTICUT SAVINGS BANK	NORWICH	CT	5	234,940	1,363
2467670	34193	NM	APPLIED BANK	WILMINGTON	DE	3	204,671	1,550
1940747	33565	N	DESJARDINS BANK, NATIONAL ASSOCIATION	HALLANDALE	FL	3	265,180	217
2233875	33959	N	NATBANK, NATIONAL ASSOCIATION	HOLLYWOOD	FL	3	194,321	863
2710554	34747	NM	HILLSBORO BANK	PLANT CITY	FL	3	213,972	12
2860039	35212	NM	COMMUNITY BANK OF THE SOUTH	MERRITT ISLAND	FL	3	230,600	1,307
374774	33026	NM	SURETY BANK	DELAND	FL	3	181,543	3,653
483537	26687	NM	PNB COMMUNITY BANK	NICEVILLE	FL	3	129,863	452
82033	26829	N	FIRST NATIONAL BANK OF PASCO	DADE CITY	FL	5	245,042	1,819
3468450	58377	NM	CENTRAL BANK	TAMPA	FL	3	285,520	2,658
3342671	57931	SM	ANCHOR BANK	PALM BEACH GARDENS	FL	3	187,962	229
3629484	58537	NM	BANKFLORIDA	DADE CITY	FL	3	209,295	248
3671997	58584	NM	AMERICAN PRIDE BANK	MACON	GA	4	214,664	2,892
307334	16288	NM	SOUTHERN BANK	SARDIS	GA	4	110,265	248
272030	170	NM	PEOPLES BANK OF GEORGIA, THE	TALBOTTON	GA	4	121,267	1,311
564838	12079	NM	CITIZENS COMMUNITY BANK	HAHIRA	GA	4	178,893	1,451
1459799	33010	NM	FIRST PEOPLES BANK	PINE MOUNTAIN	GA	3	225,129	1,850
773032	879	NM	FARMERS STATE BANK	LINCOLNTON	GA	3	158,999	2,054
805045	10132	NM	EXCHANGE STATE BANK	AMES	IA	3	134,658	1,554
764142	14352	NM	FEDERATION BANK	WASHINGTON	IA	4	155,611	1,535
767040	15414	NM	LEGACY BANK	ALTOONA	IA	4	156,717	1,003
771748	15427	NM	CHELSEA SAVINGS BANK	BELLE PLAINE	IA	5	196,460	1,995
675042	14649	NM	COMMUNITY BANK	DUNLAP	IA	7	109,378	922
677448	5821	NM	FIRST STATE BANK	LYNNVILLE	IA	6	262,996	1,930
566243	956	SM	GLENWOOD STATE BANK	GLENWOOD	IA	3	278,651	695
2705112	34686	NM	CHARTER BANK	JOHNSTON	IA	4	203,892	2,315
882541	12717	NM	BRIDGE COMMUNITY BANK	MOUNT VERNON	IA	3	133,891	951
893640	16438	NM	NXT BANK	CENTRAL CITY	IA	6	238,112	1,763
931944	17993	NM	KEYSTONE SAVINGS BANK	KEYSTONE	IA	5	165,839	1,302
300942	19540	NM	PIONEER BANK	SERGEANT BLUFF	IA	4	236,002	2,185
212344	11759	NM	CITIZENS STATE BANK	WYOMING	IA	4	112,924	1,254
190947	16177	NM	FIRST STATE BANK	STUART	IA	4	127,780	546
193247	14251	NM	FIDELITY BANK	WEST DES MOINES	IA	3	106,961	776
185448	232	NM	SOLON STATE BANK	SOLON	IA	3	127,126	2,024
136048	14868	NM	PEOPLES SAVINGS BANK	WELLSBURG	IA	3	120,142	796
145741	15610	NM	FARMERS & MERCHANTS STATE BANK	WINTERSET	IA	3	220,495	2,106
148340	14982	NM	UNION STATE BANK	WINTERSET	IA	3	121,770	1,053
427960	22993	NM	TWIN RIVER BANK	LEWISTON	ID	4	131,972	1,503
3010363	57074	NM	BANKCDA	COEUR D'ALENE	ID	4	220,454	1,460
3316739	57897	NM	SOUTHERNTRUST BANK	MARION	IL	4	217,414	3,044
416339	3698	NM	FIRST SECURITY BANK	MACKINAW	IL	4	97,584	295
380533	1786	NM	LONGVIEW BANK	OGDEN	IL	7	241,680	2,125
353546	3749	N	FIRST NATIONAL BANK IN TREMONT, THE	TREMONT	IL	3	146,791	481
365848	12388	NM	WILLIAMSVILLE STATE BANK AND TRUST	WILLIAMSVILLE	IL	3	103,397	-81
535940	12386	NM	STATE BANK OF TOULON	TOULON	IL	3	281,828	2,868
557438	10467	NM	GIFFORD STATE BANK, THE	GIFFORD	IL	4	181,656	753
487142	11750	NM	BANK OF KAMPSVILLE	KAMPSVILLE	IL	4	125,794	491
487843	10439	NM	VILLAGE BANK, THE	SAINT LIBORY	IL	3	111,485	1,072
439730	10855	NM	STATE BANK OF BEMENT	BEMENT	IL	3	124,259	437
453839	22034	NM	FIRST STATE BANK OF BLOOMINGTON	BLOOMINGTON	IL	4	155,252	1,192
141341	10828	NM	BANK OF CARBONDALE, THE	CARBONDALE	IL	4	275,307	2,617
37949	11711	NM	BANK OF RANTOUL	RANTOUL	IL	3	261,969	2,967
266244	12706	NM	STATE BANK	WATERLOO	IL	5	283,598	708
285348	22971	NM	STATE BANK	WONDER LAKE	IL	7	277,622	849
238139	3702	SM	FIRST BANK OF MANHATTAN	MANHATTAN	IL	3	227,225	1,211
936837	11699	NM	GOODFIELD STATE BANK	GOODFIELD	IL	4	170,264	2,881
948036	11329	NM	FARMERS-MERCHANTS BANK OF ILLINOIS	JOY	IL	4	286,279	2,981
966272	30969	SM	FIRST FEDERAL SAVINGS BANK OF MASCOUTAH, ILLINOIS	MASCOUTAH	IL	3	139,180	675
976534	11732	NM	BANK OF FARMINGTON	FARMINGTON	IL	4	211,029	1,265
987231	23257	NM	COMMUNITY STATE BANK	GALVA	IL	5	267,735	2,464
2598396	34526	NM	PRAIRIE COMMUNITY BANK	MARENGO	IL	3	164,509	-44
2533119	34416	SM	NORTHSIDE COMMUNITY BANK	GURNEE	IL	4	289,538	1,836
2847085	35229	NM	SOUTHERN ILLINOIS BANK	JOHNSTON CITY	IL	5	154,109	1,047
609832	10849	NM	TOMPKINS STATE BANK	AVON	IL	4	262,194	2,596
