List of Banks in Peer Group -- 8 Insured commercial banks having assets between $100 million and $300 million, with 2 or fewer full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	06/30/2013
Number of Banks in Peer Group	444

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
112332	2804	N	FIRST NATIONAL BANK OF HARTFORD	HARTFORD	AL	1	129,899	-78
117038	2805	N	HEADLAND NATIONAL BANK, THE	HEADLAND	AL	2	105,014	235
194936	77	NM	BANKSOUTH	DOTHAN	AL	2	178,564	1,430
477639	18600	NM	SUNSOUTH BANK	DOTHAN	AL	2	175,683	-831
586335	9057	NM	BANK OF MOUNDVILLE	MOUNDVILLE	AL	1	110,610	501
3582552	58382	NM	KEYSTONE BANK	AUBURN	AL	2	227,903	1,392
3642308	58703	NM	FIRST PARTNERS BANK	BIRMINGHAM	AL	1	163,149	948
3720608	58783	NM	OAKWORTH CAPITAL BANK	BIRMINGHAM	AL	1	245,865	1,248
2594240	34562	SM	CAPITAL BANK, THE	LITTLE ROCK	AR	1	152,072	-144
2716828	34887	SM	FIRST COMMUNITY BANK OF EASTERN ARKANSAS	MARION	AR	2	136,181	630
2939391	57058	SM	PEOPLES BANK	SHERIDAN	AR	2	109,601	825
3592047	58405	N	GOLDWATER BANK, NATIONAL ASSOCIATION	SCOTTSDALE	AZ	1	126,850	463
3597305	58462	SM	CAPITAL BANK	SAN JUAN CAPISTRANO	CA	1	147,877	830
3590977	58503	NM	FOLSOM LAKE BANK	FOLSOM	CA	2	132,138	419
3546862	58234	NM	PACIFIC ALLIANCE BANK	ROSEMEAD	CA	1	133,327	518
3550579	58474	NM	FOCUS BUSINESS BANK	SAN JOSE	CA	1	238,119	313
3451050	58276	NM	RIVER VALLEY COMMUNITY BANK	YUBA CITY	CA	1	153,739	700
3459346	58261	NM	PREMIER BUSINESS BANK	LOS ANGELES	CA	2	114,122	323
3462074	58349	NM	PROAMERICA BANK	LOS ANGELES	CA	1	151,969	483
3464368	58138	N	BANK OF NAPA, NATIONAL ASSOCIATION	NAPA	CA	1	146,329	994
3470930	58218	NM	FRIENDLY HILLS BANK	WHITTIER	CA	2	103,965	258
3471209	58329	NM	NEW RESOURCE BANK	SAN FRANCISCO	CA	1	200,103	558
3648337	58646	NM	LIGHTHOUSE BANK	SANTA CRUZ	CA	1	162,090	1,081
3655933	58588	NM	PARTNERS BANK OF CALIFORNIA	MISSION VIEJO	CA	1	127,295	8
3623110	58469	N	AMERICAN PLUS BANK, NATIONAL ASSOCIATION	ARCADIA	CA	2	290,957	1,799
3227442	57566	N	COMMERCE NATIONAL BANK	NEWPORT BEACH	CA	1	243,165	330
3302312	57816	NM	BANK OF SANTA CLARITA	SANTA CLARITA	CA	2	237,203	537
3320576	57734	N	EH NATIONAL BANK	BEVERLY HILLS	CA	1	193,610	-1,028
3367067	57989	NM	PAN PACIFIC BANK	FREMONT	CA	1	105,562	127
3367964	58098	NM	BANK OF SANTA BARBARA, THE	SANTA BARBARA	CA	2	139,134	650
3357385	58069	NM	BANK OF SAN FRANCISCO	SAN FRANCISCO	CA	1	132,284	529
