List of Banks in Peer Group -- ALCOM All Insured Commercial Banks in Alabama

Reporting Period End Date	12/31/2005
Number of Banks in Peer Group	149

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
42037	70	NM	PEOPLES EXCHANGE BANK OF MONROE COUNTY	BEATRICE	AL	2	59,795	571
44134	26359	NM	FIRST COMMERCIAL BANK	BIRMINGHAM	AL	11	1,699,618	34,034
51730	22131	NM	CITY BANK OF HARTFORD	HARTFORD	AL	1	32,618	407
60330	22537	NM	PEOPLES BANK OF NORTH ALABAMA	CULLMAN	AL	23	393,551	4,912
66275	29332	NM	FIRST SOUTHERN BANK	FLORENCE	AL	3	96,982	903
87533	9055	NM	CB&T BANK OF EAST ALABAMA	PHENIX CITY	AL	3	236,061	4,067
112332	2804	N	FIRST NATIONAL BANK OF HARTFORD	HARTFORD	AL	1	81,078	790
113937	46	NM	MERCHANTS BANK	HANCEVILLE	AL	4	167,996	1,523
117038	2805	N	HEADLAND NATIONAL BANK, THE	HEADLAND	AL	1	86,889	1,147
130635	25645	NM	FIRST COMMERCIAL BANK OF HUNTSVILLE	HUNTSVILLE	AL	5	453,596	6,533
134437	5598	NM	TROY BANK & TRUST COMPANY	TROY	AL	5	356,169	4,859
139133	2838	NM	AMERIFIRST BANK	UNION SPRINGS	AL	4	166,934	1,565
139834	22523	NM	CITIZENS STATE BANK	VERNON	AL	2	49,689	710
147633	18637	NM	MERCHANTS BANK	JACKSON	AL	4	148,029	1,721
157838	2808	N	FIRST NATIONAL BANK OF JASPER, THE	JASPER	AL	8	515,315	8,347
177135	22549	SM	FIRST PROGRESSIVE BANK	BREWTON	AL	1	26,767	88
180537	22621	N	TOWN-COUNTRY NATIONAL BANK	CAMDEN	AL	1	77,480	882
186838	14720	NM	FIRST COMMUNITY BANK	CHATOM	AL	7	241,168	3,985
194936	77	NM	BANKSOUTH	DOTHAN	AL	3	234,588	2,347
209830	17892	NM	PRIMESOUTH BANK	TALLASSEE	AL	3	114,296	2,423
233031	12368	SM	REGIONS BANK	BIRMINGHAM	AL	1296	72,672,484	851,790
237936	860	SM	PEOPLES BANK AND TRUST COMPANY, THE	SELMA	AL	21	784,961	7,536
244037	2828	N	SLOCOMB NATIONAL BANK, THE	SLOCOMB	AL	1	52,018	533
245333	26800	SM	AMSOUTH BANK	BIRMINGHAM	AL	642	50,730,972	738,075
246134	2829	NM	FIRST SOUTHERN STATE BANK	STEVENSON	AL	5	165,691	1,789
248633	23376	NM	NORTH JACKSON BANK, INC.	STEVENSON	AL	4	136,007	2,133
250430	21050	NM	FIRST STATE BANK OF THE SOUTH, INC.	SULLIGENT	AL	4	89,583	1,002
253730	9615	NM	SWEET WATER STATE BANK	SWEET WATER	AL	3	54,922	447
257233	2832	N	FIRST NATIONAL BANK OF TALLADEGA, THE	TALLADEGA	AL	3	256,002	4,641
259330	17077	NM	FIRST UNITED SECURITY BANK	THOMASVILLE	AL	17	612,531	13,939
288376	29548	NM	PINNACLE BANK	JASPER	AL	6	216,707	1,593
290838	15270	NM	CITIZENS BANK OF VALLEY HEAD, THE	VALLEY HEAD	AL	2	22,077	3
291330	1744	NM	FIRST BANK	WADLEY	AL	4	54,087	1,031
291732	1745	NM	FARMERS & MERCHANTS BANK	WATERLOO	AL	2	48,768	788
292234	19440	NM	FIRST FINANCIAL BANK	BESSEMER	AL	8	204,286	964
293437	52	NM	CITIZENS BANK OF WINFIELD, THE	WINFIELD	AL	1	152,593	2,029
305433	1746	NM	ESCAMBIA COUNTY BANK	FLOMATON	AL	1	93,533	755
313531	19649	NM	COMMUNITY BANK & TRUST OF SOUTHEAST ALABAMA	ENTERPRISE	AL	4	274,143	4,267
314033	24957	NM	FIRST LOWNDES BANK	FORT DEPOSIT	AL	4	147,713	1,615
317735	17495	NM	AMERICAN BANK, THE	GENEVA	AL	1	86,528	1,502
320034	1730	NM	PEOPLES BANK OF GREENSBORO	GREENSBORO	AL	1	64,562	1,365
330239	22271	N	FIRST NATIONAL BANK	HAMILTON	AL	9	226,398	2,971
351131	5605	NM	BANK OF BREWTON	BREWTON	AL	2	57,108	648
353238	72	SM	CENTRAL STATE BANK	CALERA	AL	3	134,726	1,925
357432	852	N	FIRST NATIONAL BANK OF SHELBY COUNTY	COLUMBIANA	AL	6	192,296	232
358233	5608	NM	BANK OF WEDOWEE	WEDOWEE	AL	3	158,660	567
359838	862	SM	BANK OF YORK	YORK	AL	1	99,242	-2,151
360834	15291	SM	BANK OF DADEVILLE	DADEVILLE	AL	1	79,193	1,677
374130	16369	NM	CITIZENS BANK, THE	ENTERPRISE	AL	2	96,213	1,213
375735	9613	NM	BANKTRUST OF ALABAMA	EUFAULA	AL	5	226,880	2,412
376237	855	SM	MERCHANTS & FARMERS BANK OF GREENE COUNTY	EUTAW	AL	1	47,168	615
381334	15696	SM	ALABAMA EXCHANGE BANK	TUSKEGEE	AL	1	82,143	1,116
382537	51	NM	BANK OF VERNON, THE	VERNON	AL	1	122,447	1,889
384335	20972	NM	HORIZON BANK	FYFFE	AL	3	80,923	982
386432	20429	NM	LIBERTY BANK	GERALDINE	AL	4	83,821	1,347
386731	861	NM	STATE BANK & TRUST	WINFIELD	AL	4	157,399	2,751
390336	47	NM	TRADERS & FARMERS BANK	HALEYVILLE	AL	7	345,711	3,425
411231	16386	NM	BRANTLEY BANK & TRUST COMPANY	BRANTLEY	AL	2	55,336	718
420934	19023	NM	DEKALB BANK	CROSSVILLE	AL	1	27,969	-180
424035	23577	SM	FIRST AMERICAN BANK	BIRMINGHAM	AL	34	2,595,123	34,517
430036	39	NM	ROBERTSON BANKING COMPANY	DEMOPOLIS	AL	5	217,889	2,036
432432	41	NM	PHENIX-GIRARD BANK	PHENIX CITY	AL	4	116,725	3,004
434539	1735	NM	FARMERS & MERCHANTS BANK	PIEDMONT	AL	4	147,366	1,798
437138	24307	NM	FIRST BANK OF THE SOUTH	RAINSVILLE	AL	3	69,798	428
438434	5600	NM	CITIZENS BANK OF FAYETTE, THE	FAYETTE	AL	2	166,929	3,909
441434	2824	N	FIRST NATIONAL BANK OF SCOTTSBORO, THE	SCOTTSBORO	AL	8	302,028	3,446
446130	13887	NM	FARMERS AND MERCHANTS BANK	LAFAYETTE	AL	2	94,871	987
447034	59	NM	CITIZENS BANK, THE	GENEVA	AL	1	120,605	2,156
449430	16910	NM	FARMERS EXCHANGE BANK	LOUISVILLE	AL	2	71,507	1,085
449832	14184	NM	MARION BANK AND TRUST COMPANY	MARION	AL	1	115,689	1,777
450034	22769	NM	SOUTHWEST BANK OF ALABAMA	MCINTOSH	AL	4	76,660	891
465337	2786	N	FIRST NATIONAL BANK OF BRUNDIDGE, THE	BRUNDIDGE	AL	2	86,043	945
466932	2787	N	CAMDEN NATIONAL BANK, THE	CAMDEN	AL	2	94,058	1,252
467733	5602	NM	UNION STATE BANK	PELL CITY	AL	13	265,435	2,779
470032	50	NM	COMMUNITY SPIRIT BANK	RED BAY	AL	3	75,706	537
470434	9614	NM	PEOPLES BANK OF RED LEVEL, THE	RED LEVEL	AL	1	13,188	153
470836	9059	SM	FARMERS & MERCHANTS BANK	CENTRE	AL	2	61,858	858
472531	16185	NM	SAMSON BANKING COMPANY, THE	SAMSON	AL	1	41,294	617
