List of Banks in Peer Group -- ARCOM All Insured Commercial Banks in Arkansas

Reporting Period End Date	06/30/2014
Number of Banks in Peer Group	111

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
10849	15050	NM	FIRST STATE BANK	LONOKE	AR	6	257,479	385
12946	1291	SM	FARMERS BANK & TRUST COMPANY	MAGNOLIA	AR	6	846,743	8,461
22048	1753	NM	UNION BANK & TRUST COMPANY	MONTICELLO	AR	3	189,141	1,171
23643	90	SM	COMMERCIAL BANK & TRUST COMPANY	MONTICELLO	AR	1	187,612	1,406
26242	18979	N	INTEGRITY FIRST BANK, NATIONAL ASSOCIATION	MOUNTAIN HOME	AR	9	410,553	1,800
27847	1527	SM	DIAMOND BANK	MURFREESBORO	AR	12	451,679	3,394
28349	91	SM	ALLIED BANK	MULBERRY	AR	8	134,631	-460
33147	1027	SM	FARMERS BANK AND TRUST COMPANY	BLYTHEVILLE	AR	4	410,667	3,999
34742	13083	NM	FIRST WESTERN BANK	BOONEVILLE	AR	10	308,059	679
42448	3887	N	FIRST NATIONAL BANK	PARAGOULD	AR	7	755,785	4,842
45047	14534	N	FIRST NATIONAL BANK AT PARIS, THE	PARIS	AR	4	123,265	951
48374	28905	SM	FIRST FINANCIAL BANK	EL DORADO	AR	9	869,324	10,445
49241	19371	N	RELYANCE BANK, NATIONAL ASSOCIATION	PINE BLUFF	AR	12	471,228	2,155
50546	1298	NM	LITTLE RIVER BANK	LEPANTO	AR	1	42,895	-50
78241	21379	N	FIRST NATIONAL BANK OF MCGEHEE, THE	MCGEHEE	AR	2	52,371	171
86349	14597	SM	UNION BANK OF MENA, THE	MENA	AR	3	195,770	2,013
99143	16464	NM	MERCHANTS & PLANTERS BANK	NEWPORT	AR	7	253,885	824
100843	1294	SM	FNBC BANK	ASH FLAT	AR	11	365,054	2,082
107244	110	NM	BANK OF THE OZARKS	LITTLE ROCK	AR	155	5,629,485	54,936
114840	13632	SM	FIRST STATE BANK	RUSSELLVILLE	AR	5	194,821	838
126049	5634	SM	BANK OF STAR CITY	STAR CITY	AR	5	94,110	498
155777	28761	SM	HEARTLAND BANK	BRYANT	AR	4	209,654	3,310
