List of Banks in Peer Group -- AZCOM All Insured Commercial Banks in Arizona

Reporting Period End Date	03/31/2013
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3667132	58678	NM	GATEWAY COMMERCIAL BANK	MESA	AZ	1	81,862	145
3637096	58744	N	FIRST SCOTTSDALE BANK, NATIONAL ASSOCIATION	SCOTTSDALE	AZ	1	79,438	-240
3634394	58402	NM	METRO PHOENIX BANK	PHOENIX	AZ	1	75,592	74
3480069	58426	N	WEST VALLEY NATIONAL BANK	AVONDALE	AZ	3	40,568	-260
3383599	58186	NM	PINNACLE BANK	SCOTTSDALE	AZ	2	95,454	322
3187612	57620	NM	ARIZONA BANK & TRUST	PHOENIX	AZ	8	410,532	1,714
3165599	57498	NM	COUNTRY BANK	PRESCOTT	AZ	4	165,325	279
3154780	57411	NM	HORIZON COMMUNITY BANK	LAKE HAVASU CITY	AZ	4	168,691	381
3149012	57479	NM	BILTMORE BANK OF ARIZONA, THE	PHOENIX	AZ	2	304,816	304
3138146	57512	NM	WESTERN ALLIANCE BANK	PHOENIX	AZ	16	2,624,858	8,494
3131400	57279	NM	COMMERCE BANK OF ARIZONA, INC.	TUCSON	AZ	6	225,543	-856
3048487	57298	NM	1ST BANK YUMA	YUMA	AZ	4	194,913	447
2963275	57137	NM	MISSION BANK	KINGMAN	AZ	3	83,448	60
2919423	35547	N	CANYON COMMUNITY BANK, NATIONAL ASSOCIATION	TUCSON	AZ	4	84,763	-532
2716622	34707	NM	SUNRISE BANK OF ARIZONA	PHOENIX	AZ	6	210,908	-260
2671105	34708	NM	BANK OF TUCSON	TUCSON	AZ	2	315,998	792
2626794	34573	NM	FOOTHILLS BANK, THE	YUMA	AZ	6	261,467	449
2587998	34527	NM	CENTRAL ARIZONA BANK	SCOTTSDALE	AZ	2	31,460	-52
2358769	57197	N	BNC NATIONAL BANK	GLENDALE	AZ	14	781,061	4,143
1897270	33508	NM	MOHAVE STATE BANK	LAKE HAVASU CITY	AZ	6	289,103	344
1004368	20626	N	NATIONAL BANK OF ARIZONA	TUCSON	AZ	71	4,584,639	9,122
978369	22644	N	MERIDIAN BANK, NATIONAL ASSOCIATION	PHOENIX	AZ	8	694,775	221
3606533	58460	NM	BANK 1440	PHOENIX	AZ	2	78,235	133
3596894	58271	N	REPUBLICBANKAZ, NATIONAL ASSOCIATION	PHOENIX	AZ	1	81,631	10
3592047	58405	N	GOLDWATER BANK, NATIONAL ASSOCIATION	SCOTTSDALE	AZ	1	130,763	445
3586925	58611	N	SUNBANK, NATIONAL ASSOCIATION	PHOENIX	AZ	13	34,535	-69
3304428	58066	SM	GOLD CANYON BANK	GOLD CANYON	AZ	2	43,342	-531
