List of Banks in Peer Group -- BKR Bankers banks

Reporting Period End Date	09/30/2008
Number of Banks in Peer Group	24

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3278387	57840	N	ALABAMA BANKER'S BANK, N.A.	HOMEWOOD	AL	1	220,948	546
1451636	32960	SM	ARKANSAS BANKERS BANK	LITTLE ROCK	AR	1	172,734	1,531
1443266	25178	N	BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	19,413,988	206,768
2451240	34252	SM	PACIFIC COAST BANKERS' BANK	SAN FRANCISCO	CA	1	513,160	2,342
732758	23210	SM	BANKERS' BANK OF THE WEST	DENVER	CO	1	515,460	5,194
2722173	34858	SM	BANKERS BANK NORTHEAST	GLASTONBURY	CT	1	122,930	-271
190639	24642	SM	INDEPENDENT BANKERS' BANK OF FLORIDA	LAKE MARY	FL	1	425,538	2
343341	26820	SM	INDEPENDENT BANKERS' BANK	SPRINGFIELD	IL	1	565,125	3,140
1218446	27351	N	BANKERS' BANK OF KANSAS, NATIONAL ASSOCIATION	WICHITA	KS	1	106,162	1,568
1187551	27219	SM	BANKERS' BANK OF KENTUCKY, INC., THE	FRANKFORT	KY	1	59,523	528
734538	25247	N	FIRST NATIONAL BANKER'S BANK	BATON ROUGE	LA	1	307,847	3,048
3284100	57821	NM	MARYLAND FINANCIAL BANK	TOWSON	MD	1	66,878	-108
930358	22180	SM	UNITED BANKERS BANK	BLOOMINGTON	MN	1	439,213	3,492
977250	25849	SM	MIDWEST INDEPENDENT BANK	JEFFERSON CITY	MO	1	328,972	1,131
2951683	57118	N	MISSISSIPPI NATIONAL BANKER'S BANK	RIDGELAND	MS	1	135,164	360
3066155	57331	SM	NEBRASKA BANKERS' BANK	LINCOLN	NE	1	31,826	79
155517	24493	SM	GREAT LAKES BANKERS BANK	GAHANNA	OH	1	59,162	2,039
859655	26677	SM	BANKERS BANK, THE	OKLAHOMA CITY	OK	1	156,808	1,390
2867056	35453	N	BANK OF AMERICA OREGON, NATIONAL ASSOCIATION	PORTLAND	OR	1	11,050,780	74,338
959715	24829	SM	ATLANTIC CENTRAL BANKERS BANK	CAMP HILL	PA	1	450,212	2,509
3344611	58032	N	BANK OF AMERICA RHODE ISLAND, NATIONAL ASSOCIATION	PROVIDENCE	RI	1	35,141,259	412,095
529958	23647	SM	TIB THE INDEPENDENT BANKERSBANK	IRVING	TX	3	1,745,947	15,302
77422	26871	SM	COMMUNITY BANKERS' BANK	MIDLOTHIAN	VA	1	163,387	705
408642	23537	SM	BANKERS' BANK	MADISON	WI	1	386,371	4,271
