List of Banks in Peer Group -- CACOM All Insured Commercial Banks in California

Reporting Period End Date	06/30/2012
Number of Banks in Peer Group	230

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
140362	20164	NM	SUNWEST BANK	IRVINE	CA	11	609,923	3,993
146663	8011	NM	SAVINGS BANK OF MENDOCINO COUNTY	UKIAH	CA	10	885,316	4,413
183668	21606	NM	BANK OF HEMET, THE	RIVERSIDE	CA	6	452,976	6,530
398668	23472	N	BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE	LOS ANGELES	CA	1	1,870,791	66,920
403067	25644	N	TRANS PACIFIC NATIONAL BANK	SAN FRANCISCO	CA	3	111,332	63
534466	25869	NM	METROPOLITAN BANK	OAKLAND	CA	4	134,600	813
733661	25803	NM	RANCHO SANTA FE THRIFT AND LOAN ASSOCIATION	SAN MARCOS	CA	1	29,231	598
855563	25726	NM	MURPHY BANK	FRESNO	CA	1	110,459	1,370
926360	23544	NM	FIRST MOUNTAIN BANK	BIG BEAR LAKE	CA	4	137,509	-230
930965	18618	NM	MANUFACTURERS BANK	LOS ANGELES	CA	10	1,970,088	3,222
933863	24074	NM	REDDING BANK OF COMMERCE	REDDING	CA	4	918,407	4,474
933966	21716	NM	CITIZENS BUSINESS BANK	ONTARIO	CA	45	6,484,266	47,862
936462	1768	NM	MECHANICS BANK	RICHMOND	CA	31	2,996,825	7,188
962265	24080	N	BORREGO SPRINGS BANK, NATIONAL ASSOCIATION	LA MESA	CA	4	141,644	-244
962966	26881	N	GOLDEN PACIFIC BANK, NATIONAL ASSOCIATION	MARYSVILLE	CA	7	129,873	75
972769	22366	NM	GBC INTERNATIONAL BANK	LOS ANGELES	CA	8	441,556	1,914
1162017	27132	SM	UNITED SECURITY BANK	FRESNO	CA	12	613,447	3,446
1216826	27330	NM	SILVERGATE BANK	LA JOLLA	CA	6	510,742	2,489
1377521	27477	N	MERCHANTS BANK OF CALIFORNIA, NATIONAL ASSOCIATION	CARSON	CA	1	90,785	396
1401903	27539	NM	FIRST SECURITY BUSINESS BANK	ORANGE	CA	1	150,969	1,561
1412712	27572	N	COMMUNITY WEST BANK, NATIONAL ASSOCIATION	GOLETA	CA	5	604,015	599
1418255	32908	NM	TUSTIN COMMUNITY BANK	TUSTIN	CA	1	57,168	674
1421095	32707	NM	CENTENNIAL BANK	FOUNTAIN VALLEY	CA	1	665,942	2,863
1436204	32779	NM	BANK OF MARIN	CORTE MADERA	CA	18	1,417,366	10,119
1436473	32743	NM	CIRCLE BANK	NOVATO	CA	6	318,347	1,016
1445121	32916	N	INLAND COMMUNITY BANK, NATIONAL ASSOCIATION	ONTARIO	CA	5	223,477	11
1462986	33013	N	ASIAN PACIFIC NATIONAL BANK	SAN GABRIEL	CA	2	53,646	293
1471577	33121	SM	AMERICAN SECURITY BANK	NEWPORT BEACH	CA	6	440,735	1,281
1864197	33457	SM	OAK VALLEY COMMUNITY BANK	OAKDALE	CA	14	593,628	2,958
1864601	33401	NM	METRO UNITED BANK	SAN DIEGO	CA	7	398,040	1,092
1865680	33435	NM	SAEHAN BANK	LOS ANGELES	CA	11	595,559	477
1877665	33484	N	MOJAVE DESERT BANK, NATIONAL ASSOCIATION	MOJAVE	CA	4	104,542	93
1918344	33539	NM	PREFERRED BANK	LOS ANGELES	CA	10	1,375,671	16,130
2047504	33806	NM	OPUS BANK	IRVINE	CA	48	2,435,219	9,162
2209553	33905	SM	HERITAGE BANK OF COMMERCE	SAN JOSE	CA	10	1,308,223	6,018
2297998	34010	NM	EVERTRUST BANK	CITY OF INDUSTRY	CA	6	491,047	2,198
2332910	34496	NM	FIRST COMMERCIAL BANK (U.S.A)	ALHAMBRA	CA	7	491,343	2,352
2333140	34548	N	NEIGHBORHOOD NATIONAL BANK	SAN DIEGO	CA	3	103,191	-1,660
2446152	34156	NM	VALLEY BUSINESS BANK	VISALIA	CA	5	349,801	2,018
2483438	34210	NM	COMMUNITY BANK OF THE BAY	OAKLAND	CA	2	137,035	494
2550095	34250	NM	GATEWAY BUSINESS BANK	CERRITOS	CA	3	183,100	1,403
2579069	34381	N	COAST NATIONAL BANK	SAN LUIS OBISPO	CA	4	131,855	-87
2640530	34462	SM	MISSION COMMUNITY BANK	SAN LUIS OBISPO	CA	7	447,574	968
2679839	34577	NM	BANK OF ALAMEDA	ALAMEDA	CA	4	259,684	-1,624
2714217	34713	SM	BANK OF SACRAMENTO	SACRAMENTO	CA	4	408,782	1,516
2717012	34940	SM	PACIFIC MERCANTILE BANK	COSTA MESA	CA	8	1,044,226	7,661
2723068	34689	NM	VALLEY COMMUNITY BANK	PLEASANTON	CA	4	178,216	-1,103
2734729	34788	NM	AMERICAN BUSINESS BANK	LOS ANGELES	CA	1	1,176,914	5,068
996260	19416	NM	CHINATRUST BANK (U.S.A.)	TORRANCE	CA	12	1,416,494	8,022
994565	22819	NM	FIRST CALIFORNIA BANK	WESTLAKE VILLAGE	CA	16	1,903,227	7,303
915261	17523	NM	GILMORE BANK	LOS ANGELES	CA	2	179,901	737
877369	23364	N	RABOBANK, NATIONAL ASSOCIATION	ROSEVILLE	CA	120	11,517,500	38,000
871769	1225	SM	FARMERS AND MERCHANTS BANK OF LONG BEACH	LONG BEACH	CA	21	4,730,282	35,265
808260	1331	NM	FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA	LODI	CA	19	1,920,716	11,781
808167	20959	SM	NORTH VALLEY BANK	REDDING	CA	24	907,359	2,929
804963	3514	NM	BANK OF THE WEST	SAN FRANCISCO	CA	639	62,530,581	278,596
803461	25870	NM	FINANCE AND THRIFT COMPANY	PORTERVILLE	CA	7	130,272	1,145
802866	24735	SM	SILICON VALLEY BANK	SANTA CLARA	CA	6	19,215,880	96,412
