List of Banks in Peer Group -- CASVG All Insured Savings Banks in California

Reporting Period End Date	09/30/2018
Number of Banks in Peer Group	11

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2917317	35546	SI	BOFI FEDERAL BANK	SAN DIEGO	CA	2	9,576,994	137,880
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	407,982	912
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	180,580	32,476
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	364,381	2,850
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	1,048,544	11,849
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	117,145	-713
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	10	3,588,038	40,588
780562	25648	SI	INTERNATIONAL CITY BANK	LONG BEACH	CA	2	237,323	5,107
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	2,193,404	14,325
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	194,219	624
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	14	1,165,770	5,516
