List of Banks in Peer Group -- COCOM All Insured Commercial Banks in Colorado

Reporting Period End Date	06/30/2011
Number of Banks in Peer Group	102

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
56557	22683	SM	COBIZ BANK	DENVER	CO	18	2,357,916	13,172
63050	17959	NM	DOLORES STATE BANK, THE	DOLORES	CO	2	120,537	639
67254	27010	NM	YOUNG AMERICANS BANK	DENVER	CO	1	14,199	-384
68859	3014	N	FIRST NATIONAL BANK OF DURANGO, THE	DURANGO	CO	5	400,226	1,641
89751	16902	NM	HOME STATE BANK	LOVELAND	CO	10	564,674	503
92050	19205	NM	MANCOS VALLEY BANK	MANCOS	CO	2	85,639	255
98351	1779	NM	CITIZENS STATE BANK OF OURAY, THE	OURAY	CO	4	80,804	336
106452	12594	NM	PUEBLO BANK AND TRUST COMPANY, THE	PUEBLO	CO	9	327,183	-73
132853	24247	SM	COLORADO COMMUNITY BANK	YUMA	CO	18	533,677	1,476
154257	26853	SM	CENTENNIAL BANK	CENTENNIAL	CO	2	102,083	-498
187451	9216	NM	KIT CARSON STATE BANK	KIT CARSON	CO	3	67,490	388
191355	14730	NM	FRONTIER BANK	LAMAR	CO	5	203,579	1,628
247551	3017	SM	HIGH PLAINS BANK	FLAGLER	CO	4	96,860	628
249658	3019	NM	ROCKY MOUNTAIN BANK AND TRUST	FLORENCE	CO	2	129,097	-187
255659	16980	NM	BANK OF COLORADO	FORT COLLINS	CO	34	1,960,740	14,914
257756	23764	NM	FORT MORGAN STATE BANK	FORT MORGAN	CO	1	85,524	586
260055	23091	NM	ALPINE BANK	GLENWOOD SPRINGS	CO	34	2,298,957	7,416
276551	3029	N	FIRST NATIONAL BANK OF HUGO	HUGO	CO	3	99,291	477
277053	12373	SM	FIRST STATE BANK OF COLORADO	HOTCHKISS	CO	5	182,318	563
285151	1141	SM	COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE	LA JUNTA	CO	2	94,861	192
288853	18714	SM	FIRSTBANK	LAKEWOOD	CO	127	10,641,228	86,053
306056	3018	N	FIRST NATIONAL BANK OF FLEMING, THE	FLEMING	CO	1	20,730	88
320155	3027	NM	COLORADO EAST BANK & TRUST	LAMAR	CO	18	857,819	-3,155
338758	3041	N	FIRST NATIONAL BANK OF THE ROCKIES	GRAND JUNCTION	CO	10	326,832	-349
340555	3045	N	FIRST NATIONAL BANK OF ORDWAY, THE	ORDWAY	CO	2	46,243	-5
350750	18710	NM	NORTH VALLEY BANK	THORNTON	CO	3	135,549	213
354954	11264	NM	COLORADO STATE BANK OF WALSH	WALSH	CO	1	40,664	192
357553	3063	N	FIRST PIONEER NATIONAL BANK	WRAY	CO	2	152,484	524
387055	1778	NM	STATE BANK, THE	LA JUNTA	CO	3	92,469	199
390457	16409	N	PEOPLES NATIONAL BANK LEADVILLE	LEADVILLE	CO	1	45,494	129
399357	11261	NM	MCCLAVE STATE BANK	MC CLAVE	CO	1	21,915	96
403254	13986	N	PALISADES NATIONAL BANK, THE	PALISADE	CO	1	53,809	-145
427858	23404	N	EVERGREEN NATIONAL BANK	EVERGREEN	CO	4	96,633	-124
433859	12372	NM	FOWLER STATE BANK	FOWLER	CO	1	64,473	348
444556	3031	NM	POINTS WEST COMMUNITY BANK	JULESBURG	CO	4	134,449	969
455253	91005	NM	5STAR BANK	COLORADO SPRINGS	CO	4	182,176	181
474058	14584	N	FIRST NATIONAL BANK IN TRINIDAD	TRINIDAD	CO	3	182,083	429
475653	17411	NM	MOUNTAIN VALLEY BANK	WALDEN	CO	4	143,420	13
478252	12699	NM	LEGACY BANK	WILEY	CO	7	244,002	1,146
479370	29783	SM	HIGH COUNTRY BANK	SALIDA	CO	4	179,187	833
480059	19381	NM	PARK STATE BANK & TRUST	WOODLAND PARK	CO	1	86,239	-338
499154	90040	NM	HOME LOAN STATE BANK	GRAND JUNCTION	CO	1	47,223	17
502559	11259	SM	GUNNISON BANK AND TRUST COMPANY, THE	GUNNISON	CO	2	67,531	115
513256	3034	N	FIRST NATIONAL BANK OF LAS ANIMAS	LAS ANIMAS	CO	4	238,481	3,119
