List of Banks in Peer Group -- COSVG All Insured Savings Banks in Colorado

Reporting Period End Date	12/31/2012
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
313175	29439	SI	MORGAN FEDERAL BANK	FORT MORGAN	CO	1	104,714	948
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	2	106,458	161
945071	28208	SI	SAN LUIS VALLEY FEDERAL BANK	ALAMOSA	CO	3	244,750	1,847
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	1,776,924	5,899
759072	30890	SI	AURORA BANK FSB	LITTLETON	CO	2	1,999,215	-371,424
3148033	57531	SI	GRAND MOUNTAIN BANK, FSB	GRANBY	CO	4	98,860	-974
401072	28860	SI	CENTURY SAVINGS AND LOAN ASSOCIATION	TRINIDAD	CO	1	104,760	247
705378	29066	SI	DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION	DEL NORTE	CO	1	49,041	464
256076	28315	SI	RIO GRANDE SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	96,504	229
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	178,459	1,389
