List of Banks in Peer Group -- CRC All credit card specialty banks

Reporting Period End Date	09/30/2005
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1417557	27595	N	BANK OF AMERICA, NATIONAL ASSOCIATION (USA)	PHOENIX	AZ	1	56,896,925	1,064,344
2721877	34551	N	CREDICARD NATIONAL BANK	TUCSON	AZ	1	8,804	67
455253	91005	NM	5 STAR BANK (A COLORADO INDUSTRIAL BANK)	COLORADO SPRINGS	CO	3	216,381	1,389
30810	5649	NM	DISCOVER BANK	GREENWOOD	DE	1	20,374,538	495,977
1830035	33318	N	MBNA AMERICA BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2	58,558,312	1,343,907
489913	23702	N	CHASE BANK USA, NATIONAL ASSOCIATION	NEWARK	DE	1	87,417,208	997,263
2467670	34193	NM	APPLIED CARD BANK	WILMINGTON	DE	1	934,712	119,174
2980209	57203	NM	JUNIPER BANK	WILMINGTON	DE	1	2,026,296	-69,138
2687487	34535	N	TCM BANK, NATIONAL ASSOCIATION	TAMPA	FL	1	126,008	993
2689191	34540	N	INFIBANK, N.A.	ATLANTA	GA	1	282,095	-5,065
2689463	34780	NM	BB&T BANKCARD CORPORATION	COLUMBUS	GA	1	121,982	3,978
2931603	57079	NM	WORLD'S FOREMOST BANK	SIDNEY	NE	1	213,962	29,474
588553	26427	N	COMMERCE BANK, NATIONAL ASSOCIATION	OMAHA	NE	1	18,452	518
121709	6252	N	PROVIDIAN NATIONAL BANK	TILTON	NH	2	13,004,226	382,045
455365	26211	N	CITIBANK (NEVADA), NATIONAL ASSOCIATION	LAS VEGAS	NV	1	16,940,181	633,739
639567	25620	N	FIRST NATIONAL BANK OF MARIN	LAS VEGAS	NV	1	131,436	1,706
1225761	27389	N	WELLS FARGO FINANCIAL NATIONAL BANK	LAS VEGAS	NV	1	1,076,068	34,467
2502656	34351	NM	USAA SAVINGS BANK	LAS VEGAS	NV	1	7,056,805	149,079
1391778	27499	N	WORLD FINANCIAL NETWORK NATIONAL BANK	GAHANNA	OH	1	579,726	122,265
486752	23360	N	CITIBANK (SOUTH DAKOTA), NATIONAL ASSOCIATION	SIOUX FALLS	SD	1	46,366,318	1,303,664
363956	26983	NM	WELLS FARGO FINANCIAL BANK	SIOUX FALLS	SD	1	2,181,390	74,173
526452	1673	NM	1ST FINANCIAL BANK USA	DAKOTA DUNES	SD	2	230,578	7,055
2470858	34326	N	CHEVRON CREDIT BANK, NATIONAL ASSOCIATION	MURRAY	UT	1	138,486	3,261
1394676	27471	NM	AMERICAN EXPRESS CENTURION BANK	SALT LAKE CITY	UT	1	12,524,687	776,904
2615190	34519	NM	MERRICK BANK CORPORATION	SOUTH JORDAN	UT	1	676,613	28,928
2580506	34453	N	FIRST-CITIZENS BANK, NATIONAL ASSOCIATION	ROANOKE	VA	1	204,841	5,986
2253891	33954	SM	CAPITAL ONE BANK	GLEN ALLEN	VA	1	31,016,212	1,047,469
