List of Banks in Peer Group -- CTCOM All Insured Commercial Banks in Connecticut

Reporting Period End Date	06/30/2008
Number of Banks in Peer Group	23

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2236821	33928	N	PATRIOT NATIONAL BANK	STAMFORD	CT	19	865,117	840
509400	2521	N	CITIZENS NATIONAL BANK, THE	PUTNAM	CT	5	240,697	1,617
1008209	2496	N	NATIONAL IRON BANK, THE	SALISBURY	CT	4	97,034	192
1439054	32836	NM	PRIME BANK	ORANGE	CT	1	46,082	146
3715341	58785	NM	QUINNIPIAC BANK AND TRUST COMPANY	HAMDEN	CT	1	9,877	-1,642
115100	2526	N	FIRST NATIONAL BANK OF SUFFIELD, THE	SUFFIELD	CT	4	177,983	837
2290887	33999	NM	SIMSBURY BANK AND TRUST COMPANY, INC., THE	SIMSBURY	CT	5	206,241	637
695705	2500	N	FIRST NATIONAL BANK OF LITCHFIELD, THE	LITCHFIELD	CT	10	526,096	1,356
965800	26948	NM	WILTON BANK, THE	WILTON	CT	1	99,375	779
3466988	58307	NM	BANK OF GREENWICH, THE	GREENWICH	CT	1	46,686	-1,264
2858205	35378	NM	VALLEY BANK	BRISTOL	CT	4	230,474	540
2756909	34876	N	CONNECTICUT COMMUNITY BANK, NATIONAL ASSOCIATION	WESTPORT	CT	9	382,023	395
436711	20693	N	HUDSON VALLEY BANK, N.A.	STAMFORD	CT	26	2,185,374	16,859
2799399	35159	NM	CASTLE BANK AND TRUST COMPANY	MERIDEN	CT	2	61,193	-171
2914905	57041	NM	COMMUNITY'S BANK, THE	BRIDGEPORT	CT	1	34,361	-255
2996536	57138	NM	APPLE VALLEY BANK & TRUST COMPANY, THE	CHESHIRE	CT	3	73,598	-192
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	WATERBURY	CT	179	17,068,942	19,297
3047314	57251	NM	BANK OF SOUTHERN CONNECTICUT, THE	NEW HAVEN	CT	4	113,700	493
3109043	57368	NM	BANK OF NEW CANAAN, THE	NEW CANAAN	CT	2	193,394	413
821906	18467	NM	SALISBURY BANK AND TRUST COMPANY	LAKEVILLE	CT	7	469,668	2,098
3428258	58257	NM	DARIEN ROWAYTON BANK	DARIEN	CT	2	44,821	-1,398
3251081	57690	SM	CONNECTICUT BANK & TRUST COMPANY, THE	HARTFORD	CT	8	193,105	-691
3151837	57475	NM	CONNECTICUT RIVER COMMUNITY BANK	WETHERSFIELD	CT	2	156,169	198
