List of Banks in Peer Group -- CTCOM All Insured Commercial Banks in Connecticut

Reporting Period End Date	06/30/2011
Number of Banks in Peer Group	21

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2756909	34876	N	CONNECTICUT COMMUNITY BANK, NATIONAL ASSOCIATION	WESTPORT	CT	9	409,803	-384
2236821	33928	N	PATRIOT NATIONAL BANK	STAMFORD	CT	15	710,123	-15,881
965800	26948	NM	WILTON BANK, THE	WILTON	CT	1	81,129	-2,711
509400	2521	N	CITIZENS NATIONAL BANK, THE	PUTNAM	CT	5	297,757	818
821906	18467	NM	SALISBURY BANK AND TRUST COMPANY	LAKEVILLE	CT	8	575,586	1,843
1008209	2496	N	NATIONAL IRON BANK, THE	SALISBURY	CT	4	100,904	342
1439054	32836	NM	PRIME BANK	ORANGE	CT	1	52,035	56
3715341	58785	NM	QUINNIPIAC BANK AND TRUST COMPANY	HAMDEN	CT	1	62,249	1
115100	2526	N	FIRST NATIONAL BANK OF SUFFIELD, THE	SUFFIELD	CT	4	213,584	614
2290887	33999	NM	SIMSBURY BANK AND TRUST COMPANY, INC., THE	SIMSBURY	CT	4	316,910	348
3843392	58952	SM	START COMMUNITY BANK	NEW HAVEN	CT	2	20,580	-1,424
3466988	58307	NM	FIRST BANK OF GREENWICH, THE	COS COB	CT	1	57,815	-853
2858205	35378	NM	NEW ENGLAND BANK	ENFIELD	CT	15	683,254	1,545
436711	20693	N	HUDSON VALLEY BANK, N.A.	STAMFORD	CT	35	2,744,839	12,066
2914905	57041	NM	COMMUNITY'S BANK, THE	BRIDGEPORT	CT	1	39,439	-277
3794300	58880	NM	BANK OF FAIRFIELD, THE	FAIRFIELD	CT	2	93,209	-50
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	WATERBURY	CT	174	17,894,233	76,952
3047314	57251	NM	BANK OF SOUTHERN CONNECTICUT, THE	NEW HAVEN	CT	4	159,120	-425
3109043	57368	NM	BANK OF NEW CANAAN, THE	NEW CANAAN	CT	3	321,489	1,168
3428258	58257	NM	DARIEN ROWAYTON BANK	DARIEN	CT	2	149,605	-817
3251081	57690	SM	CONNECTICUT BANK & TRUST COMPANY, THE	HARTFORD	CT	9	272,731	922
