List of Banks in Peer Group -- CTSVG All Insured Savings Banks in Connecticut

Reporting Period End Date	09/30/2017
Number of Banks in Peer Group	24

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	373,637	1,821
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	5	374,253	1,627
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	15	1,185,953	5,151
890603	18223	SI	COLLINSVILLE SAVINGS SOCIETY	COLLINSVILLE	CT	2	158,409	511
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	245,653	577
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	6	685,213	4,161
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	428,809	896
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	12	978,737	3,532
407506	18198	SI	ION BANK	NAUGATUCK	CT	18	1,239,123	5,468
311603	18200	SI	DIME BANK	NORWICH	CT	12	809,620	2,496
1416279	32957	SI	PRUDENTIAL BANK AND TRUST, FSB	HARTFORD	CT	1	21,264	3,027
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	231,166	1,407
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	5	274,841	1,079
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	ENFIELD	CT	1	76,794	2,241
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	15	981,057	6,584
92676	29632	SI	WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION	WINDSOR	CT	7	458,155	2,159
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	24	2,934,684	16,622
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	55	4,617,805	31,989
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	818,174	3,340
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	18	1,530,540	5,086
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	16	1,532,119	8,089
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	26	2,223,161	14,610
633501	18203	SI	UNITED BANK	VERNON	CT	52	6,743,270	49,432
345309	18238	SI	CHELSEA GROTON BANK	NORWICH	CT	14	1,036,454	5,916
