List of Banks in Peer Group -- DECOM All Insured Commercial Banks in Delaware

Reporting Period End Date	03/31/2005
Number of Banks in Peer Group	23

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3041983	57281	NM	CITIZENS BANK	WILMINGTON	DE	25	1,351,442	3,317
3293700	57896	NM	DELAWARE STERLING BANK & TRUST COMPANY	CHRISTIANA	DE	1	4,753	-170
2858960	35444	NM	BANCORP BANK, THE	WILMINGTON	DE	1	603,553	1,507
2791281	34929	NM	FIRST BANK OF DELAWARE	WILMINGTON	DE	2	80,937	1,735
2699109	34877	N	COMMERCE BANK/DELAWARE, N.A.	WILMINGTON	DE	8	393,077	832
2621379	34680	N	MBNA AMERICA (DELAWARE), N.A.	WILMINGTON	DE	1	4,386,875	26,752
2158389	33875	NM	CHRISTIANA BANK AND TRUST COMPANY, THE	GREENVILLE	DE	2	142,449	261
1459735	33009	NM	COUNTY BANK	REHOBOTH BEACH	DE	9	293,533	2,214
1404940	27575	NM	BANK OF NEW CASTLE	NEW CASTLE	DE	1	14,830	36
1224812	33931	N	WACHOVIA BANK OF DELAWARE, NATIONAL ASSOCIATION	WILMINGTON	DE	23	2,132,193	5,642
885225	8810	NM	BANK OF DELMARVA, THE	SEAFORD	DE	9	261,651	770
490115	24029	NM	CITIBANK DELAWARE	NEW CASTLE	DE	1	5,896,200	26,790
488318	24867	NM	BANK OF NEW YORK (DELAWARE), THE	NEWARK	DE	1	516,343	4,260
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	WILMINGTON	DE	412	138,981,199	319,197
368111	18664	N	ADVANTA NATIONAL BANK	WILMINGTON	DE	1	141,402	13,501
323718	4819	N	FIRST NATIONAL BANK OF WYOMING, THE	WYOMING	DE	6	237,455	1,089
304913	26392	NM	DEUTSCHE BANK TRUST COMPANY DELAWARE	WILMINGTON	DE	1	695,992	1,847
272218	680	NM	WILMINGTON TRUST COMPANY	WILMINGTON	DE	42	8,536,714	36,067
238812	12700	NM	FELTON BANK, THE	FELTON	DE	2	66,926	170
83311	679	NM	PNC BANK, DELAWARE	WILMINGTON	DE	35	2,390,469	12,079
72614	11652	NM	MERCANTILE PENINSULA BANK	SELBYVILLE	DE	37	1,556,368	7,823
26916	22837	N	DELAWARE NATIONAL BANK	GEORGETOWN	DE	13	374,891	1,012
3207444	57306	NM	JLB SERVICE BANK	NEW CASTLE	DE	1	4,016	789
