List of Banks in Peer Group -- DECOM All Insured Commercial Banks in Delaware

Reporting Period End Date	06/30/2024
Number of Banks in Peer Group	12

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
722777	29950	N	SANTANDER BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	404	100,921,308	392,728
2467670	34193	NM	APPLIED BANK	WILMINGTON	DE	3	215,953	4,398
4125778	59043	N	STIFEL TRUST COMPANY DELAWARE, NATIONAL ASSOCIATION	GREENVILLE	DE	1	315,551	4,158
304913	26392	NM	DEUTSCHE BANK TRUST COMPANY DELAWARE	NEWARK	DE	1	130,061	2,905
1459735	33009	NM	COUNTY BANK	REHOBOTH BEACH	DE	7	591,357	5,112
3357620	58188	N	HSBC TRUST COMPANY (DELAWARE), NATIONAL ASSOCIATION	WILMINGTON	DE	1	57,902	1,482
2265456	34069	N	WILMINGTON TRUST, NATIONAL ASSOCIATION	WILMINGTON	DE	4	689,547	19,149
2121196	33947	N	TD BANK USA, NATIONAL ASSOCIATION	WILMINGTON	DE	1	34,297,103	165,584
497404	18409	N	TD BANK, N.A.	WILMINGTON	DE	1172	372,170,803	641,567
488318	24867	NM	BNY MELLON TRUST OF DELAWARE	WILMINGTON	DE	1	188,218	4,966
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2249	562,041,390	2,993,346
3446784	58311	NM	COMMUNITY BANK DELAWARE	LEWES	DE	2	359,831	713
