List of Banks in Peer Group -- FLCOM All Insured Commercial Banks in Florida

Reporting Period End Date	03/31/2019
Number of Banks in Peer Group	108

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
61832	3579	N	FIRST NATIONAL BANK OF MOUNT DORA, THE	MOUNT DORA	FL	4	236,655	693
83236	19125	NM	BANK OF THE SOUTH	PENSACOLA	FL	2	75,904	33
83638	22953	N	AMERANT BANK, NATIONAL ASSOCIATION	CORAL GABLES	FL	23	8,080,927	15,705
188430	26323	N	FLORIDA CAPITAL BANK, N.A.	JACKSONVILLE	FL	4	396,072	525
200435	8021	NM	WAUCHULA STATE BANK	WAUCHULA	FL	7	666,165	3,285
273336	21031	NM	BANK OF TAMPA, THE	TAMPA	FL	12	1,680,735	5,048
297631	21163	NM	CREWS BANK & TRUST	ARCADIA	FL	2	146,746	347
302030	18930	NM	BANK OF BELLE GLADE	BELLE GLADE	FL	1	101,714	227
318835	27045	SM	PILOT BANK	TAMPA	FL	6	371,984	271
408875	31390	N	AXIOM BANK, NATIONAL ASSOCIATION	MAITLAND	FL	25	633,191	420
663834	24156	NM	OCEAN BANK	MIAMI	FL	23	4,006,217	10,031
1158878	27086	NM	CHARLOTTE STATE BANK & TRUST	PORT CHARLOTTE	FL	7	357,304	2,041
1186965	27205	NM	ENGLEWOOD BANK & TRUST	ENGLEWOOD	FL	4	293,104	1,614
1414819	32718	NM	HELM BANK USA	MIAMI	FL	1	823,812	2,092
1436071	32737	NM	DRUMMOND COMMUNITY BANK	CHIEFLAND	FL	16	616,163	1,758
2587916	34233	NM	MARINE BANK & TRUST COMPANY	VERO BEACH	FL	4	272,322	394
2594419	34489	N	EDISON NATIONAL BANK	FORT MYERS	FL	4	318,839	878
2655495	34683	NM	COMMUNITY BANK AND TRUST OF FLORIDA	OCALA	FL	11	722,764	1,618
2835756	35050	NM	TRANSCAPITAL BANK	SUNRISE	FL	4	207,607	1,044
2845755	35218	SM	FLAGLER BANK	WEST PALM BEACH	FL	3	317,178	1,281
2847142	34908	NM	COGENT BANK	ORANGE CITY	FL	2	151,525	-863
2860039	35212	NM	COMMUNITY BANK OF THE SOUTH	MERRITT ISLAND	FL	3	157,996	578
2896216	35304	NM	FLORIDA BUSINESS BANK	MELBOURNE	FL	1	134,680	358
3363975	57973	NM	BISCAYNE BANK	COCONUT GROVE	FL	4	1,025,959	2,706
3368635	58030	SM	PARADISE BANK	BOCA RATON	FL	3	306,198	1,592
3487518	58328	N	SEASIDE NATIONAL BANK & TRUST	ORLANDO	FL	14	1,903,647	599
3525577	58370	SM	FIRST FLORIDA BANK	DESTIN	FL	6	416,110	1,348
3938186	58979	N	BANKUNITED, NATIONAL ASSOCIATION	MIAMI LAKES	FL	86	32,389,578	70,833
5143788	59105	N	WINTER PARK NATIONAL BANK	WINTER PARK	FL	1	259,758	824
5303724	59140	NM	GULFSIDE BANK	SARASOTA	FL	1	46,979	-508
3816510	58862	SM	PROFESSIONAL BANK	CORAL GABLES	FL	4	764,824	485
3807880	58811	NM	ONE FLORIDA BANK	ORLANDO	FL	3	80,843	-569
3786435	58692	NM	INTRACOASTAL BANK	PALM COAST	FL	2	331,707	1,535
3696936	58786	N	SUMMIT BANK, NATIONAL ASSOCIATION	PANAMA CITY	FL	4	493,887	2,474
3690701	58694	NM	PRIME MERIDIAN BANK	TALLAHASSEE	FL	3	422,670	971
3688548	58644	NM	FIRST COLONY BANK OF FLORIDA	MAITLAND	FL	1	216,627	1,087
3629484	58537	NM	BANKFLORIDA	PALM BEACH GARDENS	FL	1	86,200	-181
