List of Banks in Peer Group -- GACOM All Insured Commercial Banks in Georgia

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	205

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
37	10057	NM	BANK OF HANCOCK COUNTY	SPARTA	GA	1	85,584	209
34836	11297	NM	WOODBURY BANKING COMPANY, THE	WOODBURY	GA	1	23,745	14
64730	9069	NM	FARMERS & MERCHANTS BANK	EATONTON	GA	2	200,714	636
80936	19195	NM	CAPITAL BANK	FORT OGLETHORPE	GA	3	114,348	139
90739	19389	NM	SPIVEY STATE BANK	SWAINSBORO	GA	1	91,689	277
109136	25795	NM	PEOPLES BANK & TRUST	BUFORD	GA	1	273,989	967
113030	19720	NM	FARMERS STATE BANK	DUBLIN	GA	3	114,789	306
193537	876	NM	BANK OF DAWSON	DAWSON	GA	1	121,440	211
199436	19590	NM	ALTAMAHA BANK AND TRUST COMPANY	VIDALIA	GA	4	149,909	321
272030	170	NM	PEOPLES BANK OF TALBOTTON, THE	TALBOTTON	GA	2	43,312	70
278733	16275	NM	CITIZENS BANK OF COCHRAN, THE	COCHRAN	GA	2	74,173	-81
305237	2154	NM	GEO. D. WARTHEN BANK, THE	SANDERSVILLE	GA	2	160,239	182
450632	22092	N	FIRST NATIONAL COMMUNITY BANK	CHATSWORTH	GA	2	123,215	7
507330	193	NM	HERITAGE BANK, THE	HINESVILLE	GA	26	600,408	1,007
546535	9068	NM	BANK OF DUDLEY	DUDLEY	GA	4	189,285	386
577230	178	NM	TALBOT STATE BANK	WOODLAND	GA	2	68,804	213
613839	160	NM	EXCHANGE BANK	MILLEDGEVILLE	GA	4	225,010	288
634731	15441	NM	PELHAM BANKING COMPANY	PELHAM	GA	1	68,836	191
695732	19753	NM	CITIZENS STATE BANK	KINGSLAND	GA	3	59,219	-278
701736	878	SM	BRAND BANKING COMPANY, THE	LAWRENCEVILLE	GA	7	1,716,587	649
760939	9070	NM	FIRST BANK OF PIKE	MOLENA	GA	3	41,024	37
888833	15771	NM	NORTHEAST GEORGIA BANK	LAVONIA	GA	12	402,424	579
921039	16858	NM	FIRST AMERICAN BANK AND TRUST COMPANY	ATHENS	GA	7	505,623	641
1011638	5694	NM	PRIMESOUTH BANK	BLACKSHEAR	GA	4	339,127	1,073
1191352	27254	NM	WAYCROSS BANK & TRUST	WAYCROSS	GA	3	196,641	285
1402610	27574	NM	GEORGIA BANK & TRUST COMPANY OF AUGUSTA	AUGUSTA	GA	12	1,708,852	3,971
2243977	33938	NM	CAPITOL CITY BANK & TRUST COMPANY	ATLANTA	GA	8	286,612	-392
2769954	34662	N	NORTH GEORGIA NATIONAL BANK	CALHOUN	GA	3	117,030	73
2775151	35029	N	AB&T NATIONAL BANK	ALBANY	GA	2	127,848	307
2837200	35036	NM	COMMUNITY BANK OF THE SOUTH	SMYRNA	GA	4	348,989	1,194
2872340	35338	N	NATIONAL BANK OF GEORGIA, THE	ATHENS	GA	2	345,405	964
2877840	34998	NM	FIRST INTERCONTINENTAL BANK	DORAVILLE	GA	5	267,729	1,109
2885171	35259	NM	BANK OF GEORGIA, THE	PEACHTREE CITY	GA	7	308,596	369
2914727	35427	N	UNITED NATIONAL BANK	CAIRO	GA	1	171,521	564
2943615	35513	NM	COMMUNITY BANK OF PICKENS COUNTY	JASPER	GA	2	342,568	1,086
2989006	57127	NM	GUARDIAN BANK	VALDOSTA	GA	3	238,749	1,474
2997748	57123	N	FIRST CENTURY BANK, NATIONAL ASSOCIATION	GAINESVILLE	GA	1	89,525	-183
3016347	57071	NM	GEORGIA BANKING COMPANY	ATLANTA	GA	2	193,855	-239
3049635	57230	N	DOUGLAS NATIONAL BANK	DOUGLAS	GA	1	149,922	876
3075474	57252	NM	FIRST CHATHAM BANK	SAVANNAH	GA	7	387,300	403
3219175	57580	NM	MIDTOWN BANK & TRUST COMPANY	ATLANTA	GA	1	197,195	300
