List of Banks in Peer Group -- GASVG All Insured Savings Banks in Georgia

Reporting Period End Date	03/31/2020
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
381932	16246	SI	COMMERCIAL BANKING COMPANY	VALDOSTA	GA	5	232,257	721
2992501	35027	SI	CORNERSTONE BANK	ATLANTA	GA	3	197,172	-533
1163283	27153	SI	CITIZENS BANK AND TRUST, INC.	TRENTON	GA	3	104,341	252
156970	29357	SI	FAMILY BANK	PELHAM	GA	3	100,934	297
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	191,911	166
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	198,807	-27
615776	29065	SI	ELBERTON FEDERAL SAVINGS & LOAN ASSOCIATION	ELBERTON	GA	1	24,531	-5
67870	29331	SI	TC FEDERAL BANK	THOMASVILLE	GA	2	316,257	257
321273	29510	SI	NEWTON FEDERAL BANK	COVINGTON	GA	3	641,037	-1,067
88231	16418	SI	BANKSOUTH	GREENSBORO	GA	6	727,479	3,180
