List of Banks in Peer Group -- IACOM All Insured Commercial Banks in Iowa

Reporting Period End Date	09/30/2021
Number of Banks in Peer Group	260

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
45551	5170	SM	BANK MIDWEST	SPIRIT LAKE	IA	11	1,150,695	11,454
60545	963	SM	HOME TRUST & SAVINGS BANK, THE	OSAGE	IA	1	259,852	3,177
75446	9099	NM	SOUTH OTTUMWA SAVINGS BANK	OTTUMWA	IA	5	561,300	5,959
84046	10123	NM	FIRST TRUST & SAVINGS BANK	CORALVILLE	IA	2	61,298	436
90047	13990	NM	PALO SAVINGS BANK	PALO	IA	1	49,070	355
92144	17551	NM	COMMUNITY STATE BANK	PATON	IA	1	51,134	394
97943	15272	NM	MARION COUNTY STATE BANK	PELLA	IA	2	613,376	7,830
102342	245	NM	RACCOON VALLEY BANK	PERRY	IA	5	356,451	4,321
115146	17259	SM	ST. ANSGAR STATE BANK	SAINT ANSGAR	IA	2	147,303	1,343
116741	14247	NM	UNITED BANK AND TRUST COMPANY	HAMPTON	IA	4	205,940	2,231
136048	14868	NM	PEOPLES SAVINGS BANK	WELLSBURG	IA	3	120,142	796
137643	9105	NM	WEST IOWA BANK	WEST BEND	IA	5	154,320	1,632
139740	15614	NM	WEST BANK	WEST DES MOINES	IA	10	3,212,989	38,657
142049	13816	SM	BANK 1ST	WEST UNION	IA	2	160,734	1,680
145741	15610	NM	FARMERS & MERCHANTS STATE BANK	WINTERSET	IA	3	220,495	2,106
148340	14982	NM	UNION STATE BANK	WINTERSET	IA	3	121,770	1,053
178244	14415	NM	BELLEVUE STATE BANK	BELLEVUE	IA	1	147,896	2,092
179148	10127	NM	SUCCESS BANK	BLOOMFIELD	IA	1	227,330	3,170
180443	17347	SM	IOWA PRAIRIE BANK	BRUNSVILLE	IA	3	71,775	73
185448	232	NM	SOLON STATE BANK	SOLON	IA	3	127,126	2,024
186744	4433	SM	FIRST CITIZENS BANK	MASON CITY	IA	7	1,542,818	19,287
187947	14521	SM	BANK IOWA	WEST DES MOINES	IA	24	1,692,852	18,710
