List of Banks in Peer Group -- IDCOM All Insured Commercial Banks in Idaho

Reporting Period End Date	12/31/2020
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
427960	22993	NM	TWIN RIVER BANK	LEWISTON	ID	4	115,253	2,273
300960	26403	NM	BANK OF IDAHO	IDAHO FALLS	ID	10	511,668	3,525
3010363	57074	NM	BANKCDA	COEUR D'ALENE	ID	4	167,712	1,332
324863	18059	NM	BANK OF COMMERCE, THE	IDAHO FALLS	ID	15	1,448,483	23,949
3678857	58752	NM	NORTHWEST BANK	BOISE	ID	4	998,999	10,698
428462	1237	NM	IRELAND BANK	MALAD CITY	ID	14	281,098	2,386
543262	11666	NM	D.L. EVANS BANK	BURLEY	ID	36	2,064,188	25,503
307062	2850	NM	FARMERS BANK	BUHL	ID	6	510,530	5,824
3384952	58095	NM	IDAHO FIRST BANK	MCCALL	ID	6	697,939	3,049
2753917	35103	NM	IDAHO TRUST BANK	BOISE	ID	2	174,761	1,132
