List of Banks in Peer Group -- ILCOM All Insured Commercial Banks in Illinois

Reporting Period End Date	09/30/2008
Number of Banks in Peer Group	572

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
242	3850	SM	FIRST COMMUNITY BANK XENIA-FLORA	XENIA	IL	2	33,334	368
2732	17230	N	ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION	CHICAGO	IL	4	515,086	4,415
4839	11694	NM	AUSTIN BANK OF CHICAGO	CHICAGO	IL	5	290,798	1,357
5331	10448	NM	HYDE PARK BANK & TRUST COMPANY	CHICAGO	IL	2	347,594	2,016
12937	20226	NM	OAK BANK	CHICAGO	IL	1	176,070	832
15536	11677	N	PARK NATIONAL BANK	CHICAGO	IL	31	4,493,979	-43,355
18135	19536	N	SOUTH CENTRAL BANK, NATIONAL ASSOCIATION	CHICAGO	IL	5	207,319	1,029
19730	16606	NM	STANDARD BANK AND TRUST COMPANY	HICKORY HILLS	IL	39	2,189,210	6,340
23540	17899	NM	OSWEGO COMMUNITY BANK	OSWEGO	IL	2	171,436	713
25647	22536	NM	FAMILY BANK AND TRUST COMPANY	PALOS HILLS	IL	1	81,981	-2,745
26149	12103	NM	PALMER BANK	TAYLORVILLE	IL	1	58,454	529
32234	3639	N	FIRST NATIONAL BANK AND TRUST COMPANY	CLINTON	IL	1	83,780	712
33839	10075	NM	PEOPLES STATE BANK OF COLFAX	COLFAX	IL	1	26,422	262
35842	10868	SM	PREMIER BANK OF JACKSONVILLE	JACKSONVILLE	IL	4	97,764	410
35936	9634	NM	STATE BANK OF COLUSA	COLUSA	IL	1	20,692	49
36344	14736	N	FREESTAR BANK, NATIONAL ASSOCIATION	PONTIAC	IL	10	412,887	534
37949	11711	SM	BANK OF RANTOUL	RANTOUL	IL	3	175,349	3,047
38535	20685	NM	FIRST UNITED BANK	CRETE	IL	5	493,595	-4,026
41937	10802	NM	FARMERS STATE BANK OF DANFORTH	DANFORTH	IL	2	48,076	424
45038	5740	NM	STATE BANK OF DAVIS	DAVIS	IL	1	107,358	1,056
48730	16488	NM	FIRST COMMERCIAL BANK	CHICAGO	IL	6	333,766	2,445
49148	9265	SM	RUSHVILLE STATE BANK	RUSHVILLE	IL	1	76,844	897
75633	16571	N	HARRIS NATIONAL ASSOCIATION	CHICAGO	IL	259	41,556,310	49,374
76135	20290	NM	HIGHLAND COMMUNITY BANK	CHICAGO	IL	3	108,758	390
102539	920	NM	COMMUNITY BANKS OF SHELBY COUNTY	COWDEN	IL	4	47,657	188
104542	16318	NM	MARSEILLES BANK	MARSEILLES	IL	1	32,901	432
105044	17032	NM	MAROA FORSYTH COMMUNITY BANK	MAROA	IL	1	21,327	54
108746	16198	N	MASON CITY NATIONAL BANK	MASON CITY	IL	1	62,539	594
122546	3834	N	FIRST NATIONAL BANK OF SANDOVAL, THE	SANDOVAL	IL	1	39,455	-1,496
126740	14924	N	FIRST NATIONAL BANK IN STAUNTON, THE	STAUNTON	IL	10	432,091	-2,597
129349	1049	N	FIRST NATIONAL BANK OF STEELEVILLE	STEELEVILLE	IL	3	161,387	1,769
129732	20624	NM	NORTH COMMUNITY BANK	CHICAGO	IL	26	493,914	8,533
133243	11331	NM	TIMEWELL STATE BANK	TIMEWELL	IL	1	8,103	13
134848	11708	SM	TEUTOPOLIS STATE BANK	TEUTOPOLIS	IL	2	148,030	1,454
137447	3840	N	FIRST NATIONAL BANK, THE	VANDALIA	IL	5	184,184	1,458
141341	10828	NM	BANK OF CARBONDALE, THE	CARBONDALE	IL	4	152,789	1,151
141734	15640	NM	SHOREBANK	CHICAGO	IL	9	2,247,877	3,596
145545	3842	N	FIRST NATIONAL BANK OF WATERLOO	WATERLOO	IL	4	260,725	826
148144	12393	NM	WEMPLE STATE BANK	WAVERLY	IL	3	52,719	463
150334	3635	N	FIRST NATIONAL BANK OF CHILLICOTHE	CHILLICOTHE	IL	1	83,254	674
151546	3845	N	SECURITY NATIONAL BANK	WITT	IL	3	56,409	469
152048	11710	NM	FIRST STATE BANK OF WINCHESTER, ILLINOIS, THE	WINCHESTER	IL	2	37,549	165
152431	16479	NM	STATE BANK OF CHRISMAN	CHRISMAN	IL	2	71,547	322
152440	8487	NM	CENTRAL STATE BANK	CLAYTON	IL	3	83,663	1,083
156635	18855	NM	COLCHESTER STATE BANK	COLCHESTER	IL	1	42,649	413
