List of Banks in Peer Group -- ILSVG All Insured Savings Banks in Illinois

Reporting Period End Date	03/31/2005
Number of Banks in Peer Group	46

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
132376	29791	SI	FIRST BANK OF THE AMERICAS, SSB	CHICAGO	IL	4	72,930	-206
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	492,452	2,176
214571	30775	SI	PEKIN SAVINGS BANK	PEKIN	IL	2	118,024	236
218878	27723	SI	SECURITY BANK, S.B.	SPRINGFIELD	IL	4	180,925	15
221476	29786	SI	FIRST BANK & TRUST, S.B.	PARIS	IL	3	227,922	313
253440	17524	SI	CAPAHA BANK SB	TAMMS	IL	5	133,685	253
253776	30241	SI	FIRST SAVANNA SAVINGS BANK	SAVANNA	IL	1	12,217	-5
254670	29416	SI	COLUMBUS SAVINGS BANK	CHICAGO	IL	1	18,669	11
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	28,827	29
315973	30590	SI	RANTOUL FIRST BANK, S.B.	RANTOUL	IL	1	31,072	-74
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	11,398	5
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	76,217	131
326670	30385	SI	AMERICAN SAVINGS BANK OF DANVILLE	DANVILLE	IL	1	49,602	80
341972	31369	SI	TREMONT SAVINGS BANK	TREMONT	IL	2	40,578	107
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	29,445	37
344674	28427	SI	MORRIS BUILDING AND LOAN, S.B.	MORRIS	IL	1	40,238	-35
396271	29612	SI	EFS BANK	ELGIN	IL	9	1,010,551	1,561
407373	28428	SI	CITIZENS SAVINGS BANK	BLOOMINGTON	IL	5	310,589	112
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	1	83,515	80
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	5	225,134	159
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	4	327,721	119
482370	30656	SI	NORTH COUNTY SAVINGS BANK	RED BUD	IL	3	30,292	31
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	7	423,929	538
490179	28611	SI	PULASKI SAVINGS BANK	CHICAGO	IL	1	44,985	55
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	407,959	-254
536479	30600	SI	LINCOLN PARK SAVINGS BANK	CHICAGO	IL	4	258,667	231
587574	31813	SI	ARCOLA HOMESTEAD SAVINGS BANK	ARCOLA	IL	1	5,018	-36
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	3	329,355	740
593977	30568	SI	SOUTH END SAVINGS, SB	HOMEWOOD	IL	1	36,476	15
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	36,141	73
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	3	122,640	-104
687474	28211	SI	JACKSONVILLE SAVINGS BANK	JACKSONVILLE	IL	4	249,662	213
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	127,007	193
725077	27989	SI	OTTAWA SAVINGS BANK	OTTAWA	IL	1	174,184	178
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	4	771,248	1,384
776275	27685	SI	FLORA SAVINGS BANK	FLORA	IL	1	27,965	-154
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	1	179,853	344
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	153,672	69
825977	28243	SI	WAUKEGAN SAVINGS AND LOAN, S.B.	WAUKEGAN	IL	3	126,813	-286
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	50,252	83
857576	28151	SI	WEST TOWN SAVINGS BANK	CICERO	IL	2	56,122	163
873679	31004	SI	TWIN OAKS SAVINGS BANK	MARSEILLES	IL	2	51,573	71
899370	28938	SI	HARVARD SAVINGS BANK	HARVARD	IL	2	113,494	119
967877	29952	SI	GEORGE WASHINGTON SAVINGS BANK	OAK LAWN	IL	1	237,531	633
2140348	55130	SI	ALLIED FIRST BANK, SB	NAPERVILLE	IL	1	142,110	110
2797153	34856	SI	LINCOLN STATE BANK, S.B.	ROCHELLE	IL	1	41,873	191
