List of Banks in Peer Group -- INCOM All Insured Commercial Banks in Indiana

Reporting Period End Date	06/30/2017
Number of Banks in Peer Group	87

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
7045	5779	NM	PEOPLES BANK, THE	BROWNSTOWN	IN	4	206,230	837
16748	13104	SM	ELBERFELD STATE BANK, THE	ELBERFELD	IN	3	83,919	251
17147	4365	NM	FIRST MERCHANTS BANK	MUNCIE	IN	106	7,394,470	50,099
37640	17393	NM	GERMAN AMERICAN BANCORP	JASPER	IN	46	2,947,194	19,613
38740	13112	NM	OWEN COUNTY STATE BANK	SPENCER	IN	4	198,637	851
44040	4364	N	FIRST NATIONAL BANK OF MONTEREY, THE	MONTEREY	IN	4	311,904	1,043
44741	9647	NM	CITIZENS BANK	MOORESVILLE	IN	9	449,584	1,574
50144	14561	NM	STATE BANK OF MEDORA	MEDORA	IN	1	84,787	281
60648	4324	N	FIRST NATIONAL BANK	CLOVERDALE	IN	7	287,419	649
64543	15714	NM	BLOOMBANK	BLOOMFIELD	IN	13	388,528	1,735
67142	13113	NM	PEOPLES TRUST AND SAVINGS BANK	BOONVILLE	IN	3	175,779	845
87047	12836	SM	FIRST STATE BANK OF PORTER	PORTER	IN	3	140,840	739
93543	4419	NM	SPRINGS VALLEY BANK & TRUST COMPANY	FRENCH LICK	IN	4	361,905	1,465
107570	29690	NM	FIRST FEDERAL SAVINGS BANK	HUNTINGTON	IN	6	303,227	1,647
113441	14578	NM	FARMERS STATE BANK	LAGRANGE	IN	11	631,115	3,652
123646	9092	SM	SALIN BANK AND TRUST COMPANY	INDIANAPOLIS	IN	19	853,987	4,925
130541	4360	NM	HORIZON BANK	MICHIGAN CITY	IN	58	3,173,053	18,339
139843	12839	SM	FIRST FARMERS BANK & TRUST	CONVERSE	IN	34	1,598,900	10,530
145844	5768	NM	FOUNTAIN TRUST COMPANY, THE	COVINGTON	IN	11	294,926	1,634
157744	15566	NM	HOOSIER HEARTLAND STATE BANK	CRAWFORDSVILLE	IN	6	181,851	692
163343	15532	NM	CENTREBANK	VEEDERSBURG	IN	4	73,697	305
176642	4398	NM	LNB COMMUNITY BANK	LYNNVILLE	IN	4	112,142	318
198046	8058	NM	COMMUNITY STATE BANK OF SOUTHWESTERN INDIANA	POSEYVILLE	IN	6	79,829	328
