List of Banks in Peer Group -- INCOM All Insured Commercial Banks in Indiana

Reporting Period End Date	12/31/2023
Number of Banks in Peer Group	73

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
7045	5779	NM	PEOPLES BANK, THE	BROWNSTOWN	IN	4	279,288	2,448
37640	17393	NM	GERMAN AMERICAN BANK	JASPER	IN	72	6,363,377	89,693
44040	4364	N	FIRST NATIONAL BANK OF MONTEREY, THE	MONTEREY	IN	4	386,456	2,479
44741	9647	NM	CITIZENS BANK	MOORESVILLE	IN	10	636,601	5,548
50144	14561	NM	STATE BANK OF MEDORA	MEDORA	IN	1	100,333	611
60648	4324	N	FIRST NATIONAL BANK	CLOVERDALE	IN	7	439,537	3,754
67142	13113	NM	PEOPLES TRUST AND SAVINGS BANK	BOONVILLE	IN	4	256,435	133
87047	12836	SM	FIRST STATE BANK OF PORTER	PORTER	IN	3	167,469	1,391
93543	4419	NM	SPRINGS VALLEY BANK & TRUST COMPANY	FRENCH LICK	IN	6	587,981	5,463
113441	14578	NM	FARMERS STATE BANK	LAGRANGE	IN	12	1,182,967	12,489
130541	4360	NM	HORIZON BANK	MICHIGAN CITY	IN	73	8,013,400	35,747
139843	12839	SM	FIRST FARMERS BANK & TRUST CO.	CONVERSE	IN	36	2,896,280	46,139
145844	5768	NM	FOUNTAIN TRUST COMPANY, THE	COVINGTON	IN	16	686,837	6,022
157744	15566	NM	HOOSIER HEARTLAND STATE BANK	CRAWFORDSVILLE	IN	6	310,197	1,742
163343	15532	NM	CENTREBANK	VEEDERSBURG	IN	4	105,196	2,168
176642	4398	NM	LNB COMMUNITY BANK	LYNNVILLE	IN	4	157,650	1,462
208244	3832	N	OLD NATIONAL BANK	EVANSVILLE	IN	260	48,971,461	632,171
305442	13305	NM	NEW WASHINGTON STATE BANK, THE	NEW WASHINGTON	IN	10	514,311	10,169
308340	8035	NM	BATH STATE BANK	BATH	IN	3	288,632	1,443
312244	9288	SM	FIRST BANK OF BERNE	BERNE	IN	7	1,043,596	13,689
319047	4318	N	RIDDELL NATIONAL BANK, THE	BRAZIL	IN	5	311,206	2,086
321947	4319	N	FCN BANK, NATIONAL ASSOCIATION	BROOKVILLE	IN	6	751,854	4,281
322449	8067	NM	COMMUNITY STATE BANK	BROOK	IN	1	117,131	1,339
345747	1833	NM	STATE BANK	BROWNSBURG	IN	10	776,463	5,887
367543	13843	NM	KENTLAND BANK	KENTLAND	IN	5	346,582	4,715
372640	13801	NM	FARMERS AND MERCHANTS BANK	LAOTTO	IN	4	236,723	1,939
419675	28533	NM	FIRST BANK RICHMOND	RICHMOND	IN	12	1,444,482	10,344
423449	12828	NM	FARMERS BANK, FRANKFORT, INDIANA, INC., THE	FRANKFORT	IN	10	913,329	8,285
427241	13130	SM	FRIENDSHIP STATE BANK, THE	FRIENDSHIP	IN	8	561,139	3,943
