List of Banks in Peer Group -- INSVG All Insured Savings Banks in Indiana

Reporting Period End Date	09/30/2017
Number of Banks in Peer Group	24

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
735973	29910	SI	SCOTTSBURG BUILDING AND LOAN ASSOCIATION	SCOTTSBURG	IN	1	94,773	373
738572	29926	SI	DEARBORN SAVINGS BANK	LAWRENCEBURG	IN	1	121,941	522
158376	28769	SI	FIRST FEDERAL SAVINGS BANK OF ANGOLA	ANGOLA	IN	1	149,083	713
1015270	29881	SI	HOME BANK SB	MARTINSVILLE	IN	5	264,731	1,091
382274	28722	SI	KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	KENTLAND	IN	1	4,810	2
654579	30065	SI	PEOPLES SAVINGS AND LOAN ASSOCIATION OF MONTICELLO INDIANA	MONTICELLO	IN	1	32,706	100
841472	27742	SI	MUTUAL SAVINGS BANK	FRANKLIN	IN	5	142,514	597
2723376	34748	SI	CLEARPOINT FEDERAL BANK & TRUST	BATESVILLE	IN	1	94,344	810
577472	28807	SI	WEST END BANK, S. B.	RICHMOND	IN	4	290,215	728
991078	30128	SI	BOONVILLE FEDERAL SAVINGS BANK	BOONVILLE	IN	1	47,892	65
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	16	905,594	6,528
110972	29710	SI	FIRST FEDERAL SAVINGS BANK OF WASHINGTON	WASHINGTON	IN	2	67,183	-53
857875	30133	SI	MID-SOUTHERN SAVINGS BANK, F.S.B.	SALEM	IN	3	174,833	976
257578	31516	SI	FIRST FEDERAL SAVINGS BANK	ROCHESTER	IN	6	391,564	1,901
3029253	57109	SI	EVERENCE TRUST COMPANY	GOSHEN	IN	1	6,417	198
946274	29024	SI	BEDFORD FEDERAL SAVINGS BANK	BEDFORD	IN	2	120,843	674
32971	28894	SI	SECURITY FEDERAL SAVINGS BANK	LOGANSPORT	IN	5	236,781	1,149
412872	28478	SI	FARMERS AND MECHANICS FEDERAL SAVINGS BANK	BLOOMFIELD	IN	2	73,640	189
697147	17736	SI	TERRE HAUTE SAVINGS BANK	TERRE HAUTE	IN	7	329,292	1,077
716374	31223	SI	FIRST HARRISON BANK	CORYDON	IN	18	753,340	5,365
88772	29620	SI	UNITED COMMUNITY BANK	LAWRENCEBURG	IN	8	537,930	2,872
677970	29933	SI	UNION SAVINGS AND LOAN ASSOCIATION	CONNERSVILLE	IN	3	144,698	584
921879	30058	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF GREENSBURG	GREENSBURG	IN	3	151,083	385
391575	29566	SI	UNITED FIDELITY BANK, FSB	EVANSVILLE	IN	17	575,309	5,537
