List of Banks in Peer Group -- KSCOM All Insured Commercial Banks in Kansas

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	205

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
354	14083	NM	BISON STATE BANK	BISON	KS	2	19,463	95
4156	13157	NM	KANZA BANK	KINGMAN	KS	4	279,469	1,297
5751	15194	NM	KEARNY COUNTY BANK	LAKIN	KS	2	248,787	4,671
9955	15899	SM	FUSION BANK	LARNED	KS	3	195,394	2,135
12656	14944	SM	EMERALD BANK	BURDEN	KS	2	21,547	172
14753	18101	NM	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	BUCKLIN	KS	1	57,893	330
21256	16583	SM	STATE BANK OF BURRTON	BURRTON	KS	1	12,611	3
45458	17927	NM	VINTAGE BANK KANSAS	LEON	KS	10	183,423	2,369
48057	4775	NM	PRAIRIE BANK OF KANSAS	STAFFORD	KS	4	133,337	608
49652	16473	NM	FIRST BANK	STERLING	KS	3	149,495	1,346
51459	16436	NM	CENTERA BANK	SUBLETTE	KS	5	328,002	2,956
54058	1868	NM	BANK OF TESCOTT, THE	TESCOTT	KS	5	433,828	7,825
65858	4789	NM	EMPRISE BANK	WICHITA	KS	32	2,302,375	26,818
132451	4722	N	FIRST NATIONAL BANK OF LOUISBURG, THE	LOUISBURG	KS	3	168,110	1,943
136655	12135	NM	LYNDON STATE BANK, THE	LYNDON	KS	3	87,958	707
137559	4611	N	FARMERS NATIONAL BANK	PHILLIPSBURG	KS	6	166,634	1,265
138051	18120	NM	FARMERS STATE BANK OF ALICEVILLE, KANSAS, THE	WESTPHALIA	KS	3	172,109	1,539
139656	25858	SM	EQUITY BANK	ANDOVER	KS	68	4,405,151	60,961
153353	1365	NM	PEOPLES BANK AND TRUST COMPANY	MCPHERSON	KS	14	981,269	10,029
160959	19899	NM	KS STATEBANK	MANHATTAN	KS	4	2,333,625	55,043
167752	4728	N	MARION NATIONAL BANK, THE	MARION	KS	1	26,463	184
171656	17369	NM	CARSON BANK	MULVANE	KS	4	159,825	1,637
183958	4756	N	FIRST NATIONAL BANK AND TRUST	PHILLIPSBURG	KS	5	263,711	3,133
192558	18431	NM	FIRST BANK KANSAS	SALINA	KS	7	563,943	10,733
195157	4770	N	FIRST NATIONAL BANK OF SEDAN, THE	SEDAN	KS	2	60,231	-123
196752	18109	NM	TRICENTURY BANK	DE SOTO	KS	3	126,102	1,805
197254	4774	N	FIRST NATIONAL BANK OF SPEARVILLE	SPEARVILLE	KS	1	49,537	748
198073	28635	NM	FIRST FEDERAL SAVINGS AND LOAN BANK	OLATHE	KS	1	94,876	3,534
206950	16788	NM	UNION STATE BANK	UNIONTOWN	KS	2	62,504	699
207452	10918	NM	GRANT COUNTY BANK	ULYSSES	KS	2	270,663	3,829
209559	4792	SM	FNB WASHINGTON	WASHINGTON	KS	1	83,727	829
225054	16410	NM	ANDOVER STATE BANK	ANDOVER	KS	2	146,494	1,500
227151	1869	SM	UNION STATE BANK	ARKANSAS CITY	KS	10	571,619	4,955
234355	4702	N	CENTRAL NATIONAL BANK	JUNCTION CITY	KS	30	1,214,092	15,082
235950	15237	NM	JOHNSON STATE BANK	JOHNSON	KS	2	94,158	761
246657	1874	NM	BANK OF LABOR	KANSAS CITY	KS	3	801,250	3,646
252658	12426	NM	COMMUNITY FIRST BANK	KANSAS CITY	KS	2	252,972	3,081
265452	18165	NM	STOCKGROWERS STATE BANK, THE	MAPLE HILL	KS	4	89,793	1,144
273550	17672	NM	CITIZENS STATE BANK, THE	MOUNDRIDGE	KS	7	495,481	5,601
274052	14024	NM	FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS	MOUND CITY	KS	1	47,631	513
275657	10503	SM	FIRST STATE BANK, THE	NESS CITY	KS	1	76,956	736
276159	4735	NM	SOUTHWIND BANK	NATOMA	KS	2	155,368	2,096
278256	1867	NM	FARMERS STATE BANK OF OAKLEY, KANSAS, THE	OAKLEY	KS	1	179,062	2,862
285852	4746	SM	FIRST OPTION BANK	OSAWATOMIE	KS	9	547,974	8,931
287959	10505	NM	KANSAS STATE BANK	OTTAWA	KS	2	179,492	1,854
296559	11777	NM	COMMERCIAL BANK	PARSONS	KS	9	409,696	5,397
297051	18019	NM	PATRIOTS BANK	GARNETT	KS	6	165,027	482
300456	18089	NM	PIQUA STATE BANK	PIQUA	KS	3	35,709	85
302553	18118	NM	PLAINS STATE BANK	PLAINS	KS	6	250,286	2,454
319551	18374	NM	SECURITY STATE BANK	SCOTT CITY	KS	2	330,991	4,804
144052	4619	NM	EXCHANGE BANK & TRUST	ATCHISON	KS	8	545,038	6,453
73956	12422	NM	SECURITY STATE BANK	WELLINGTON	KS	1	56,221	543
72351	16941	NM	FARMERS STATE BANK	WATHENA	KS	1	74,244	486
71859	13959	NM	CBW BANK	WEIR	KS	1	76,449	2,953
55653	1150	NM	FIDELITY STATE BANK AND TRUST COMPANY	TOPEKA	KS	4	158,997	555
43351	17685	NM	PEOPLES STATE BANK	MANHATTAN	KS	11	438,642	436
326054	15323	NM	SILVER LAKE BANK	TOPEKA	KS	5	383,160	4,325
333650	26522	NM	BANK, THE	OBERLIN	KS	11	404,579	6,837
354552	25665	N	COMMUNITY NATIONAL BANK	SENECA	KS	4	583,853	9,625
356659	4773	NM	SOLOMON STATE BANK	SOLOMON	KS	3	200,366	3,217
358756	13584	NM	TAMPA STATE BANK	TAMPA	KS	2	67,258	352
359650	17652	NM	ALDEN STATE BANK, THE	STERLING	KS	1	22,305	17
361055	18100	NM	COREFIRST BANK & TRUST	TOPEKA	KS	14	1,158,765	17,072
366854	16471	NM	KENDALL BANK	OVERLAND PARK	KS	4	90,985	-1,630
368951	17832	SM	KAW VALLEY STATE BANK AND TRUST COMPANY, OF WAMEGO, KANSAS, THE	WAMEGO	KS	3	225,086	3,415
369453	17399	SM	IMPACT BANK	WELLINGTON	KS	2	162,112	1,223
372855	21955	SM	STRYV BANK	WICHITA	KS	2	161,524	1,318
388258	18094	NM	MARQUETTE FARMERS STATE BANK OF MARQUETTE KANSAS	MARQUETTE	KS	1	31,182	166
392152	8108	SM	NEW CENTURY BANK	BELLEVILLE	KS	2	59,568	1,775
394259	5835	NM	FIRST STATE BANK, THE	NORTON	KS	5	472,919	7,290
412555	4766	NM	SJN BANK OF KANSAS	SAINT JOHN	KS	6	222,314	1,426
414652	4769	N	FIRST NATIONAL BANK OF SCOTT CITY, THE	SCOTT CITY	KS	1	150,157	1,593
418856	8110	NM	STATE BANK OF SPRING HILL, THE	SPRING HILL	KS	1	58,701	24
420653	14345	SM	VALLEY STATE BANK, THE	SYRACUSE	KS	2	188,857	3,079
422059	13957	NM	KANSASLAND BANK	QUINTER	KS	2	54,242	72
424156	17650	NM	STOCKGROWERS STATE BANK	ASHLAND	KS	2	155,096	1,507
431350	4796	NM	BANK OF COMMERCE AND TRUST COMPANY, THE	WELLINGTON	KS	4	98,520	914
442057	15254	NM	CITIZENS STATE BANK AND TRUST COMPANY, THE	COUNCIL GROVE	KS	6	67,839	1,220
460350	4752	NM	FIRST SECURITY BANK, THE	OVERBROOK	KS	3	75,531	891
469250	13729	NM	PRESCOTT STATE BANK	PRESCOTT	KS	1	14,940	78
471057	15469	NM	FIRST STATE BANK OF RANSOM, THE	RANSOM	KS	2	49,568	424
481177	5826	N	LANDMARK NATIONAL BANK	MANHATTAN	KS	30	1,245,470	18,199
482156	17614	NM	FARMERS BANK & TRUST	GREAT BEND	KS	9	1,034,270	16,762
483751	17068	NM	LABETTE BANK	ALTAMONT	KS	11	496,339	3,747
485456	9665	NM	KAW VALLEY BANK	TOPEKA	KS	8	326,607	3,399
490955	17982	NM	WALTON STATE BANK, THE	WALTON	KS	1	11,584	45
499855	4801	N	SOUTHWEST NATIONAL BANK	WICHITA	KS	4	521,075	6,935
501655	12136	NM	WILSON STATE BANK	WILSON	KS	4	114,755	1,460
530655	1147	SM	PEOPLES BANK, THE	PRATT	KS	7	495,881	10,675
531157	23099	NM	BANK OF PROTECTION, THE	PROTECTION	KS	3	79,750	998
532752	16120	NM	RILEY STATE BANK OF RILEY KANSAS, THE	RILEY	KS	4	112,793	1,143
534859	14556	NM	EXCHANGE STATE BANK	SAINT PAUL	KS	3	86,177	478
540850	12139	NM	FORD COUNTY STATE BANK	SPEARVILLE	KS	1	47,578	265
543459	4779	N	FIRST NATIONAL BANK OF SYRACUSE	SYRACUSE	KS	5	432,303	6,417
552059	4791	SM	BANK OF THE FLINT HILLS	WAMEGO	KS	7	378,737	5,509
557858	4799	N	INTRUST BANK, NATIONAL ASSOCIATION	WICHITA	KS	40	7,434,485	67,582
571957	17375	NM	STATE EXCHANGE BANK, THE	MANKATO	KS	1	43,471	488
572459	14269	NM	CITIZENS STATE BANK, THE	MARYSVILLE	KS	4	389,412	7,675
582654	1865	NM	KANSAS STATE BANK	OVERBROOK	KS	2	81,540	915
592859	14084	NM	HILLSBORO STATE BANK	HILLSBORO	KS	1	22,819	108
603559	14344	SM	FARMERS STATE BANK	PHILLIPSBURG	KS	1	40,746	320
605656	14974	NM	FIRST STATE BANK AND TRUST	TONGANOXIE	KS	7	402,951	3,209
612159	16971	NM	SOLUTIONS NORTH BANK	STOCKTON	KS	6	305,624	4,129
614256	4794	N	FIRST NATIONAL BANK OF KANSAS	BURLINGTON	KS	3	95,650	523
615851	15164	NM	FARMERS STATE BANK, THE	WESTMORELAND	KS	3	226,981	2,361
636753	4654	N	FIRST NATIONAL BANK OF DIGHTON, THE	DIGHTON	KS	1	70,603	423
638850	10920	SM	FIDELITY STATE BANK AND TRUST COMPANY, THE	DODGE CITY	KS	2	211,855	1,534
651354	13413	NM	KAW VALLEY STATE BANK	EUDORA	KS	1	71,193	549
652959	15853	NM	FARMERS STATE BANK	FAIRVIEW	KS	1	22,773	56
663656	25744	SM	SMALL BUSINESS BANK	LENEXA	KS	1	79,210	350
671053	15784	SM	STOCK EXCHANGE BANK	CALDWELL	KS	2	67,075	651
673851	17671	NM	BANK OF PRAIRIE VILLAGE	PRAIRIE VILLAGE	KS	1	129,729	1,490
677354	4638	N	FIRST NATIONAL BANK IN CIMARRON	CIMARRON	KS	2	128,553	1,509
678557	5830	NM	CITIZENS STATE BANK AND TRUST COMPANY	HIAWATHA	KS	1	112,166	740
679451	15259	NM	ELK STATE BANK	CLYDE	KS	3	109,531	1,058
680354	1143	NM	BANK OF BLUE VALLEY	OVERLAND PARK	KS	10	1,412,745	15,624
723756	14636	SM	PEOPLES BANK	COLDWATER	KS	1	53,979	483
733951	11778	SM	CITIZENS STATE BANK AND TRUST CO., ELLSWORTH, KANSAS	ELLSWORTH	KS	4	239,992	2,945
736550	18610	SM	UNION STATE BANK OF EVEREST, THE	EVEREST	KS	7	377,008	5,814
738657	17607	NM	CITY STATE BANK, THE	FORT SCOTT	KS	2	51,974	508
741358	16744	NM	PEOPLES STATE BANK	CHERRYVALE	KS	1	17,752	477
745150	17114	NM	GORHAM STATE BANK	GORHAM	KS	2	36,636	269
746755	17769	NM	BANK OF HAYS	HAYS	KS	4	331,663	4,592
747257	17451	SM	HALSTEAD BANK, THE	HALSTEAD	KS	4	153,221	2,044
754853	4697	N	FIRST NATIONAL BANK OF HUTCHINSON, THE	HUTCHINSON	KS	6	903,511	11,929
762474	30895	N	FIDELITY BANK, NATIONAL ASSOCIATION	WICHITA	KS	24	2,826,547	21,245
785950	17676	NM	LEGACY BANK	COLWICH	KS	8	594,615	4,903
788559	12602	NM	FARMERS AND DROVERS BANK	COUNCIL GROVE	KS	2	206,646	2,110
789051	4652	NM	NINNESCAH VALLEY BANK	CUNNINGHAM	KS	1	39,677	454
792453	9659	NM	STATE BANK OF DOWNS	DOWNS	KS	2	123,069	1,847
796657	14952	NM	LYON COUNTY STATE BANK, THE	EMPORIA	KS	2	177,421	1,726
801056	13883	NM	FARMERS STATE BANK, THE	MCPHERSON	KS	4	147,228	1,811
805250	14420	NM	FNB BANK	GOODLAND	KS	5	233,713	2,608
823553	17569	NM	BANK OF DENTON, THE	DENTON	KS	1	22,449	94
833758	25851	SM	HEARTLAND TRI-STATE BANK	ELKHART	KS	4	135,606	1,360
837952	26340	NM	FLINT HILLS BANK	ESKRIDGE	KS	4	156,948	2,105
840251	4664	NM	HOME BANK AND TRUST COMPANY	EUREKA	KS	5	147,251	1,741
843953	13450	NM	FOWLER STATE BANK	FOWLER	KS	3	73,775	-254
844455	13798	N	FIRST NATIONAL BANK IN FREDONIA	FREDONIA	KS	1	103,879	1,193
850456	17317	NM	GOPPERT STATE SERVICE BANK	GARNETT	KS	9	240,914	2,382
857259	17995	NM	BANK OF GREELEY	GREELEY	KS	1	43,805	635
