List of Banks in Peer Group -- KYCOM All Insured Commercial Banks in Kentucky

Reporting Period End Date	09/30/2024
Number of Banks in Peer Group	112

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
46941	2765	NM	FARMERS BANK AND TRUST COMPANY	PRINCETON	KY	3	201,574	1,565
814711	8117	SM	PEOPLES BANK & TRUST COMPANY OF HAZARD	HAZARD	KY	4	316,378	1,447
835613	8121	NM	SECURITY BANK AND TRUST COMPANY	MAYSVILLE	KY	2	73,094	908
485214	14894	NM	FARMERS BANK	NICHOLASVILLE	KY	4	243,120	1,352
173641	2767	N	FIRST NATIONAL BANK OF RUSSELL SPRINGS, THE	RUSSELL SPRINGS	KY	3	360,292	3,007
3141726	57415	N	FORCHT BANK, NATIONAL ASSOCIATION	LEXINGTON	KY	23	1,597,669	4,392
1007015	15815	NM	CENTRAL BANK & TRUST COMPANY	LEXINGTON	KY	28	3,547,243	26,584
702612	2700	N	FIRST SOUTHERN NATIONAL BANK	LANCASTER	KY	13	1,222,728	11,781
837149	14735	NM	FIRST COMMUNITY BANK OF THE HEARTLAND, INC.	CLINTON	KY	11	448,938	2,882
261146	8120	NM	MAGNOLIA BANK, INC	ELIZABETHTOWN	KY	3	495,056	7,086
262741	12869	NM	FARMERS BANK & TRUST COMPANY	MARION	KY	9	695,875	6,521
962313	10520	NM	CITIZENS BANK, THE	MOREHEAD	KY	5	200,262	2,387
110945	9309	SM	UNITED SOUTHERN BANK	HOPKINSVILLE	KY	8	330,303	2,784
618740	13838	SM	FIELD & MAIN BANK	HENDERSON	KY	6	753,024	5,433
129910	8785	NM	PEOPLES EXCHANGE BANK, INC.	WINCHESTER	KY	9	548,627	3,060
720344	13167	NM	BANK OF CLARKSON	CLARKSON	KY	2	168,760	1,574
266945	292	SM	MONTICELLO BANKING COMPANY	MONTICELLO	KY	20	1,209,271	5,424
509811	2720	SM	COMMUNITY TRUST BANK, INC.	PIKEVILLE	KY	81	5,925,753	58,854
765318	18620	NM	CITIZENS BANK & TRUST CO. OF JACKSON	JACKSON	KY	3	204,349	2,151
698144	287	SM	COMMUNITY FINANCIAL SERVICES BANK	BENTON	KY	8	1,450,803	4,652
148715	9313	NM	PBK BANK, INC	STANFORD	KY	7	154,850	2,284
2497181	34254	NM	PLANTERS BANK, INC.	HOPKINSVILLE	KY	12	1,834,831	11,624
410917	2725	N	CITIZENS NATIONAL BANK OF SOMERSET, THE	SOMERSET	KY	9	657,733	4,635
646145	15708	SM	CASEY COUNTY BANK, INC., THE	LIBERTY	KY	3	391,255	3,188
811541	284	NM	AUBURN BANKING COMPANY	AUBURN	KY	2	137,142	1,750
3347603	58049	NM	ECLIPSE BANK, INC.	LOUISVILLE	KY	2	501,246	493
425818	303	NM	UNITED CUMBERLAND BANK	WHITLEY CITY	KY	7	411,972	5,248
907444	2735	N	FIRST NATIONAL BANK OF KENTUCKY	CARROLLTON	KY	6	215,896	1,753
829041	15675	NM	CITIZENS BANK & TRUST COMPANY	CAMPBELLSVILLE	KY	3	329,362	2,168
1016718	291	NM	JACKSON COUNTY BANK	MC KEE	KY	3	167,381	2,611
2921622	35442	NM	CITIZENS BANK OF CUMBERLAND COUNTY, INC.	BURKESVILLE	KY	1	90,720	1,403
