List of Banks in Peer Group -- LASVG All Insured Savings Banks in Louisiana

Reporting Period End Date	03/31/2014
Number of Banks in Peer Group	21

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
114774	30332	SI	ABBEVILLE BUILDING AND LOAN, A STATE CHARTERED SAVINGS BANK	ABBEVILLE	LA	1	54,033	120
837970	27697	SI	FIFTH DISTRICT SAVINGS BANK	NEW ORLEANS	LA	6	381,450	606
518176	30447	SI	RAYNE BUILDING & LOAN ASSOCIATION	RAYNE	LA	1	65,548	178
420578	29804	SI	SAINT LANDRY HOMESTEAD FEDERAL SAVINGS BANK	OPELOUSAS	LA	3	228,662	323
194570	29577	SI	SAINT TAMMANY HOMESTEAD SAVINGS AND LOAN ASSOCIATION	COVINGTON	LA	2	88,888	41
255574	28316	SI	FIDELITY HOMESTEAD SAVINGS BANK	NEW ORLEANS	LA	18	845,434	403
517674	30441	SI	FIRST FEDERAL BANK OF LOUISIANA	LAKE CHARLES	LA	16	875,572	330
108474	28411	SI	BANK OF NEW ORLEANS	METAIRIE	LA	4	312,927	613
802679	27626	SI	STATE-INVESTORS BANK	METAIRIE	LA	4	255,000	338
142571	29831	SI	HIBERNIA BANK	NEW ORLEANS	LA	3	104,904	13
123374	30339	SI	BEAUREGARD FEDERAL SAVINGS BANK	DERIDDER	LA	2	57,570	287
251978	32459	SI	HOMELAND FEDERAL SAVINGS BANK	COLUMBIA	LA	2	159,440	880
1014376	30270	SI	CITIZENS SAVINGS BANK	BOGALUSA	LA	5	207,192	377
526676	29670	SI	FLORIDA PARISHES BANK	HAMMOND	LA	4	208,965	533
345877	29700	SI	BANK OF RUSTON	RUSTON	LA	2	145,339	228
929978	28094	SI	HOME BANK	LAFAYETTE	LA	28	1,052,893	1,460
809070	27716	SI	MUTUAL SAVINGS AND LOAN ASSOCIATION	METAIRIE	LA	1	36,359	60
794475	29268	SI	EUREKA HOMESTEAD	METAIRIE	LA	1	95,593	37
872579	27752	SI	UNION SAVINGS AND LOAN ASSOCIATION	NEW ORLEANS	LA	2	84,308	89
804374	27654	SI	HOME FEDERAL BANK	SHREVEPORT	LA	4	285,703	703
527178	29679	SI	ANTHEM BANK & TRUST	PLAQUEMINE	LA	5	119,367	-218
