List of Banks in Peer Group -- MACOM All Insured Commercial Banks in Massachusetts

Reporting Period End Date	06/30/2009
Number of Banks in Peer Group	37

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
121576	26551	SM	BANK OF FALL RIVER, A CO-OPERATIVE BANK	FALL RIVER	MA	4	142,904	143
170976	26548	SM	CHELSEA-PROVIDENT CO-OPERATIVE BANK	CHELSEA	MA	1	49,710	79
178271	26617	SM	AVON CO-OPERATIVE BANK	AVON	MA	1	61,686	171
339773	26483	SM	NEEDHAM BANK	NEEDHAM	MA	5	979,388	727
377908	19943	NM	CENTURY BANK AND TRUST COMPANY	SOMERVILLE	MA	22	1,968,604	4,564
442806	2595	N	FIRST NATIONAL BANK OF IPSWICH, THE	IPSWICH	MA	7	276,215	326
555005	2644	N	ROCKPORT NATIONAL BANK	ROCKPORT	MA	3	142,216	528
613008	9712	NM	ROCKLAND TRUST COMPANY	ROCKLAND	MA	72	4,096,045	8,217
689302	27009	NM	WAINWRIGHT BANK & TRUST COMPANY	BOSTON	MA	12	1,034,039	2,955
736206	8152	NM	CAMBRIDGE TRUST COMPANY	CAMBRIDGE	MA	10	939,318	4,486
767705	2575	N	EDGARTOWN NATIONAL BANK, THE	EDGARTOWN	MA	4	119,447	199
791205	2598	N	LENOX NATIONAL BANK, THE	LENOX	MA	2	54,749	79
816304	90234	SM	MARBLEHEAD BANK	MARBLEHEAD	MA	2	170,613	11
824000	17484	NM	COMMERCE BANK & TRUST COMPANY	WORCESTER	MA	12	1,050,909	4,235
863607	2608	N	NATIONAL GRAND BANK OF MARBLEHEAD	MARBLEHEAD	MA	1	238,564	1,025
879000	2615	N	MILFORD NATIONAL BANK AND TRUST COMPANY THE	MILFORD	MA	7	308,404	532
881900	2616	N	MILLBURY NATIONAL BANK	MILLBURY	MA	2	75,857	62
900306	18266	NM	NORTHERN BANK & TRUST COMPANY	WOBURN	MA	10	542,318	1,855
913203	24206	NM	PUTNAM FIDUCIARY TRUST COMPANY	BOSTON	MA	1	35,871	1,706
935308	23966	NM	ONEUNITED BANK	BOSTON	MA	10	602,326	1,708
947776	26602	SM	CHARLES RIVER BANK	MEDWAY	MA	3	176,295	645
956376	26554	SM	BANK OF EASTON	NORTH EASTON	MA	2	95,593	204
964700	24811	NM	BOSTON PRIVATE BANK & TRUST COMPANY	BOSTON	MA	9	2,976,135	11,437
972406	18342	NM	BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY	BOSTON	MA	1	40,618	3,238
1001705	23468	NM	FIDELITY MANAGEMENT TRUST COMPANY	BOSTON	MA	1	100,860	11,170
1161216	27119	NM	NORTHMARK BANK	NORTH ANDOVER	MA	3	279,293	868
1216992	27335	SM	MERCANTILE BANK AND TRUST COMPANY	BOSTON	MA	3	153,562	519
1356768	27408	NM	ENTERPRISE BANK AND TRUST COMPANY	LOWELL	MA	17	1,203,238	3,629
3109146	57134	N	LEADER BANK, NATIONAL ASSOCIATION	ARLINGTON	MA	5	286,201	2,594
3464827	58270	NM	BANK OF CAPE COD	HYANNIS	MA	2	80,208	-595
3733411	58621	NM	NUVO BANK AND TRUST	SPRINGFIELD	MA	1	23,281	-1,236
3072053	57201	N	COMMONWEALTH NATIONAL BANK	WORCESTER	MA	6	294,983	233
161107	2557	N	BEVERLY NATIONAL BANK, THE	BEVERLY	MA	8	487,374	1,551
149271	26454	SM	NORTHAMPTON CO-OPERATIVE BANK	NORTHAMPTON	MA	3	155,948	651
128904	32773	NM	EASTERN BANK	BOSTON	MA	83	6,665,924	10,566
117672	26549	SM	ABINGTON BANK	ABINGTON	MA	1	89,271	46
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	13	148,774,055	-2,711,549
