List of Banks in Peer Group -- MASVG All Insured Savings Banks in Massachusetts

Reporting Period End Date	06/30/2012
Number of Banks in Peer Group	114

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
5005	90286	SI	STONEHAM SAVINGS BANK	STONEHAM	MA	6	339,076	3,974
13103	23622	SI	BRISTOL COUNTY SAVINGS BANK	TAUNTON	MA	13	1,330,555	4,304
61476	26590	SI	PILGRIM BANK	COHASSET	MA	3	168,038	400
66172	26646	SI	CENTRAL CO-OPERATIVE BANK	SOMERVILLE	MA	10	525,469	-304
67209	90251	SI	NEWBURYPORT FIVE CENTS SAVINGS BANK	NEWBURYPORT	MA	6	624,103	3,118
87579	28368	SI	MIDDLESEX FEDERAL SAVINGS, F.A.	SOMERVILLE	MA	3	345,337	164
97804	90253	SI	HOOSAC BANK	NORTH ADAMS	MA	3	558,400	1,033
99871	28373	SI	NATICK FEDERAL SAVINGS BANK	NATICK	MA	1	156,004	-3,696
109574	26411	SI	HAVERHILL BANK	HAVERHILL	MA	7	283,322	532
115575	26591	SI	WEYMOUTH BANK	EAST WEYMOUTH	MA	3	209,036	252
116077	26575	SI	S-BANK	WEYMOUTH	MA	4	217,497	426
117074	28481	SI	COLONIAL FEDERAL SAVINGS BANK	QUINCY	MA	4	294,024	1,149
118174	26553	SI	MAYFLOWER CO-OPERATIVE BANK	MIDDLEBOROUGH	MA	8	251,078	726
119779	26517	SI	CAPE COD CO-OPERATIVE BANK	YARMOUTH PORT	MA	8	653,874	2,524
121679	29755	SI	MUTUAL FEDERAL SAVINGS BANK OF PLYMOUTH COUNTY	WHITMAN	MA	10	377,492	1,517
127701	90148	SI	BARRE SAVINGS BANK	BARRE	MA	3	144,944	253
150576	26486	SI	UNITED BANK	WEST SPRINGFIELD	MA	31	1,641,184	6,419
154770	26395	SI	FRAMINGHAM CO-OPERATIVE BANK	FRAMINGHAM	MA	3	400,703	2,215
157379	26512	SI	METHUEN CO-OPERATIVE BANK	METHUEN	MA	1	87,591	81
157904	90283	SI	HAMPDEN BANK	SPRINGFIELD	MA	10	592,398	2,448
158974	26574	SI	SAUGUSBANK A CO-OPERATIVE BANK	SAUGUS	MA	3	206,128	614
161273	26484	SI	NORTH SHORE BANK, A CO-OPERATIVE BANK	PEABODY	MA	8	465,738	1,388
163370	26448	SI	MANSFIELD CO-OPERATIVE BANK	MANSFIELD	MA	5	360,475	698
164975	26513	SI	STOUGHTON CO-OPERATIVE BANK	STOUGHTON	MA	2	91,327	181
173575	26336	SI	VILLAGE BANK, THE	AUBURNDALE	MA	8	715,576	1,834
175672	26570	SI	BRAINTREE CO-OPERATIVE BANK	BRAINTREE	MA	3	237,370	306
179700	90181	SI	CLINTON SAVINGS BANK	CLINTON	MA	7	476,907	1,210
180078	26396	SI	COMMUNITY BANK, A MASSACHUSETTS CO-OPERATIVE BANK, THE	BROCKTON	MA	6	322,862	-1,052
183770	26634	SI	MECHANICS COOPERATIVE BANK	TAUNTON	MA	8	393,609	1,212
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	11	1,099,050	3,300
196800	90190	SI	MARTHA'S VINEYARD SAVINGS BANK	EDGARTOWN	MA	9	508,941	2,138
197302	90191	SI	EAGLE BANK	EVERETT	MA	5	425,689	418
