List of Banks in Peer Group -- MDCOM All Insured Commercial Banks in Maryland

Reporting Period End Date	09/30/2013
Number of Banks in Peer Group	44

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
39327	5874	NM	CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND	BERLIN	MD	10	439,152	3,356
41825	14017	NM	MIDDLETOWN VALLEY BANK	MIDDLETOWN	MD	5	155,568	107
57228	5866	NM	NEW WINDSOR STATE BANK	NEW WINDSOR	MD	6	273,329	679
61122	4857	NM	FIRST UNITED BANK & TRUST	OAKLAND	MD	24	1,319,643	7,794
105026	5885	NM	FARMERS BANK OF WILLARDS, THE	WILLARDS	MD	8	317,125	772
105071	30869	SM	PATAPSCO BANK, THE	DUNDALK	MD	4	233,624	324
147923	5867	NM	BANK OF OCEAN CITY	OCEAN CITY	MD	6	222,904	1,628
169327	8813	NM	PROVIDENT STATE BANK, INC.	PRESTON	MD	8	292,260	1,141
304520	26847	NM	CHESAPEAKE BANK & TRUST COMPANY	CHESTERTOWN	MD	1	92,335	1,145
309570	31286	NM	FIRST MARINER BANK	BALTIMORE	MD	18	1,253,880	-9,475
368429	4862	SM	NBRS FINANCIAL BANK	RISING SUN	MD	6	213,114	-2,347
395274	32393	NM	CARROLL COMMUNITY BANK	SYKESVILLE	MD	2	105,300	175
406022	5873	NM	WOODSBORO BANK	WOODSBORO	MD	7	229,221	440
429021	8816	NM	QUEENSTOWN BANK OF MARYLAND	QUEENSTOWN	MD	8	449,858	1,044
430278	32341	SM	BALTIMORE COUNTY SAVINGS BANK	BALTIMORE	MD	16	637,180	2,225
506922	4865	SM	SANDY SPRING BANK	OLNEY	MD	49	3,979,346	35,359
533124	24015	NM	HARBOR BANK OF MARYLAND, THE	BALTIMORE	MD	7	249,709	-533
628123	16820	NM	BANK OF GLEN BURNIE, THE	GLEN BURNIE	MD	8	383,466	2,001
660927	19101	NM	HARFORD BANK	ABERDEEN	MD	8	293,198	1,408
692478	32370	NM	REGAL BANK & TRUST	OWINGS MILLS	MD	3	149,514	172
697978	30903	SM	COMMUNITY BANK OF TRI-COUNTY	WALDORF	MD	11	962,102	5,538
744573	29945	SM	LIBERTY BANK OF MARYLAND	BALTIMORE	MD	2	42,728	-31
746223	4829	N	NATIONAL BANK OF CAMBRIDGE, THE	CAMBRIDGE	MD	3	202,349	195
750127	12885	NM	PEOPLES BANK, THE	CHESTERTOWN	MD	7	244,166	190
780722	8811	NM	HEBRON SAVINGS BANK	HEBRON	MD	11	508,608	3,339
796125	1893	NM	TALBOT BANK OF EASTON, MARYLAND, THE	EASTON	MD	7	618,089	-12,748
813572	31121	SM	CECIL BANK	ELKTON	MD	9	421,085	-5,891
891226	1895	NM	FARMERS AND MERCHANTS BANK	UPPERCO	MD	7	277,386	2,447
933023	4832	SM	CNB	CENTREVILLE	MD	11	455,439	1,789
1189993	27244	NM	COLUMBIA BANK, THE	COLUMBIA	MD	36	1,983,609	12,087
1198614	27280	NM	DAMASCUS COMMUNITY BANK	DAMASCUS	MD	5	260,648	1,127
1401387	27599	SM	OLD LINE BANK	BOWIE	MD	23	1,094,765	4,236
1442661	32904	NM	COUNTY FIRST BANK	LA PLATA	MD	6	202,169	731
2059758	33815	NM	EASTON BANK & TRUST COMPANY	EASTON	MD	3	143,653	620
2471239	34294	SM	CFG COMMUNITY BANK	LUTHERVILLE	MD	3	521,159	17,213
2652092	34742	SM	EAGLEBANK	BETHESDA	MD	19	3,376,469	35,688
2713920	33785	N	LEGG MASON INVESTMENT COUNSEL & TRUST COMPANY, NATIONAL ASSOCIATION	BALTIMORE	MD	1	72,864	2,140
2808602	35278	N	CAPITAL BANK, NATIONAL ASSOCIATION	ROCKVILLE	MD	3	468,111	5,602
3058329	57255	SM	FREDERICK COUNTY BANK	FREDERICK	MD	5	315,461	1,485
3187630	57614	SM	CONGRESSIONAL BANK	POTOMAC	MD	4	415,401	2,446
3282852	57776	NM	HOWARD BANK	ELLICOTT CITY	MD	6	409,247	1,634
3336607	57942	NM	MONUMENT BANK	BETHESDA	MD	2	400,058	2,862
3610567	58640	NM	REVERE BANK	LAUREL	MD	3	443,924	1,728
3649633	58756	NM	BLUERIDGE BANK	FREDERICK	MD	2	163,971	346
