List of Banks in Peer Group -- MDCOM All Insured Commercial Banks in Maryland

Reporting Period End Date	03/31/2017
Number of Banks in Peer Group	34

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2652092	34742	SM	EAGLEBANK	BETHESDA	MD	22	6,764,722	29,159
105026	5885	NM	FARMERS BANK OF WILLARDS, THE	WILLARDS	MD	9	335,718	794
660927	19101	NM	HARFORD BANK	ABERDEEN	MD	8	338,576	460
3282852	57776	NM	HOWARD BANK	ELLICOTT CITY	MD	13	1,016,770	1,693
628123	16820	NM	BANK OF GLEN BURNIE, THE	GLEN BURNIE	MD	8	392,139	329
933023	4832	SM	SHORE UNITED BANK	EASTON	MD	18	1,123,305	2,276
429021	8816	NM	QUEENSTOWN BANK OF MARYLAND	QUEENSTOWN	MD	8	467,383	1,267
813572	31121	SM	CECIL BANK	ELKTON	MD	9	212,250	-904
746223	4829	SM	1880 BANK	CAMBRIDGE	MD	6	317,493	1,703
3610567	58640	NM	REVERE BANK	LAUREL	MD	10	1,916,321	3,522
169327	8813	NM	PROVIDENT STATE BANK, INC.	PRESTON	MD	7	372,799	604
395274	32393	NM	CARROLL COMMUNITY BANK	SYKESVILLE	MD	3	167,166	124
2808602	35278	N	CAPITAL BANK, NATIONAL ASSOCIATION	ROCKVILLE	MD	3	894,689	1,890
533124	24015	NM	HARBOR BANK OF MARYLAND, THE	BALTIMORE	MD	7	256,916	78
309570	31286	NM	FIRST MARINER BANK	BALTIMORE	MD	16	962,545	-661
2471239	34294	SM	CFG COMMUNITY BANK	LUTHERVILLE	MD	3	688,028	4,715
61122	4857	NM	FIRST UNITED BANK & TRUST	OAKLAND	MD	22	1,290,166	2,332
506922	4865	SM	SANDY SPRING BANK	OLNEY	MD	44	5,100,936	15,184
1189993	27244	NM	COLUMBIA BANK, THE	COLUMBIA	MD	31	2,326,432	5,863
147923	5867	NM	BANK OF OCEAN CITY	OCEAN CITY	MD	7	297,705	632
406022	5873	NM	WOODSBORO BANK	WOODSBORO	MD	7	231,251	177
1198614	27280	NM	DAMASCUS COMMUNITY BANK	DAMASCUS	MD	6	311,657	377
780722	8811	NM	HEBRON SAVINGS BANK	HEBRON	MD	13	570,211	1,037
750127	12885	NM	PEOPLES BANK, THE	CHESTERTOWN	MD	7	242,275	442
3187630	57614	NM	CONGRESSIONAL BANK	POTOMAC	MD	5	829,254	2,617
41825	14017	NM	MIDDLETOWN VALLEY BANK	MIDDLETOWN	MD	6	290,515	495
57228	5866	NM	NEW WINDSOR STATE BANK	NEW WINDSOR	MD	7	312,050	405
1401387	27599	NM	OLD LINE BANK	BOWIE	MD	21	1,725,678	4,632
3058329	57255	SM	FREDERICK COUNTY BANK	FREDERICK	MD	5	381,858	426
304520	26847	NM	CHESAPEAKE BANK & TRUST COMPANY	CHESTERTOWN	MD	2	110,402	638
39327	5874	NM	CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND	BERLIN	MD	10	476,909	1,272
891226	1895	NM	FARMERS AND MERCHANTS BANK	UPPERCO	MD	7	386,149	723
697978	30903	NM	COMMUNITY BANK OF THE CHESAPEAKE	WALDORF	MD	12	1,337,326	3,034
1442661	32904	NM	COUNTY FIRST BANK	LA PLATA	MD	5	227,726	313
