List of Banks in Peer Group -- MECOM All Insured Commercial Banks in Maine

Reporting Period End Date	12/31/2005
Number of Banks in Peer Group	15

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3177127	57467	NM	RIVERGREEN BANK	KENNEBUNK	ME	1	63,129	180
1904673	33525	NM	MAINE BANK & TRUST COMPANY	PORTLAND	ME	12	333,937	4,053
1448636	32940	NM	FIRST CITIZENS BANK	PRESQUE ISLE	ME	5	132,319	762
497404	18409	N	TD BANKNORTH, NATIONAL ASSOCIATION	PORTLAND	ME	397	31,946,768	303,404
228000	19836	SM	FRANKLIN SAVINGS BANK	FARMINGTON	ME	6	293,208	3,695
563907	9	SM	UNION TRUST COMPANY	ELLSWORTH	ME	12	513,253	4,889
593007	4255	N	CAMDEN NATIONAL BANK	CAMDEN	ME	12	1,099,686	15,081
468806	19690	SM	NORTHEAST BANK	LEWISTON	ME	13	572,524	5,046
421203	33704	SM	MERRILL MERCHANTS BANK	BANGOR	ME	11	389,295	5,798
249304	20012	NM	BORDER TRUST COMPANY	SOUTH CHINA	ME	4	72,660	134
530703	20931	NM	DAMARISCOTTA BANK & TRUST CO.	DAMARISCOTTA	ME	5	137,212	1,341
522605	11971	NM	BAR HARBOR BANK AND TRUST COMPANY	BAR HARBOR	ME	11	689,952	6,866
469308	12873	NM	PEPPERELL BANK AND TRUST	BIDDEFORD	ME	4	83,046	-1,070
439404	4256	N	FIRST NATIONAL ASSOCIATION, THE	DAMARISCOTTA	ME	14	919,529	12,869
327305	12874	NM	KATAHDIN TRUST COMPANY	PATTEN	ME	14	356,450	3,879
