List of Banks in Peer Group -- MESVG All Insured Savings Banks in Maine

Reporting Period End Date	03/31/2007
Number of Banks in Peer Group	13

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
499501	17741	SI	BIDDEFORD SAVINGS BANK	BIDDEFORD	ME	5	272,169	154
433505	17749	SI	BATH SAVINGS INSTITUTION	BATH	ME	8	437,352	515
241607	17748	SI	GORHAM SAVINGS BANK	GORHAM	ME	10	735,779	567
583905	17897	SI	KENNEBEC SAVINGS BANK	AUGUSTA	ME	3	611,450	780
247908	13063	SI	KENNEBUNK SAVINGS BANK	KENNEBUNK	ME	13	683,284	1,437
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	47	1,981,884	3,664
339607	17743	SI	SACO & BIDDEFORD SAVINGS INSTITUTION	SACO	ME	5	674,360	735
111205	17115	SI	SANFORD INSTITUTION FOR SAVINGS	SANFORD	ME	8	403,800	576
132107	17751	SI	ANDROSCOGGIN SAVINGS BANK	LEWISTON	ME	12	569,067	738
289702	17658	SI	NORWAY SAVINGS BANK	NORWAY	ME	20	802,192	1,869
401906	19532	SI	SKOWHEGAN SAVINGS BANK	SKOWHEGAN	ME	10	410,197	339
548203	17476	SI	MECHANICS SAVINGS BANK	AUBURN	ME	3	253,552	501
137205	19531	SI	MACHIAS SAVINGS BANK	MACHIAS	ME	11	725,356	2,401
