List of Banks in Peer Group -- MESVG All Insured Savings Banks in Maine

Reporting Period End Date	12/31/2016
Number of Banks in Peer Group	19

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	56	3,451,966	24,833
433505	17749	SI	BATH SAVINGS INSTITUTION	BATH	ME	10	813,895	8,048
463977	29661	SI	KENNEBEC FEDERAL SAVINGS & LOAN ASSOCIATION	WATERVILLE	ME	2	87,763	211
351878	29743	SI	AROOSTOOK COUNTY FEDERAL SAVINGS & LOAN ASSOCIATION	CARIBOU	ME	2	110,357	575
241607	17748	SI	GORHAM SAVINGS BANK	GORHAM	ME	12	1,001,757	7,683
583905	17897	SI	KENNEBEC SAVINGS BANK	AUGUSTA	ME	4	829,719	7,238
339607	17743	SI	SACO & BIDDEFORD SAVINGS INSTITUTION	SACO	ME	6	877,547	6,589
583071	29636	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH	BATH	ME	5	120,397	521
229173	28288	SI	AUBURN SAVINGS BANK, FSB	AUBURN	ME	2	69,383	292
132107	17751	SI	ANDROSCOGGIN SAVINGS BANK	LEWISTON	ME	12	874,560	5,765
137205	19531	SI	MACHIAS SAVINGS BANK	MACHIAS	ME	18	1,184,602	10,368
247908	13063	SI	KENNEBUNK SAVINGS BANK	KENNEBUNK	ME	18	1,048,015	7,206
401906	19532	SI	SKOWHEGAN SAVINGS BANK	SKOWHEGAN	ME	17	574,768	4,256
548203	17476	SI	MECHANICS SAVINGS BANK	AUBURN	ME	4	379,743	2,817
106676	30878	SI	BAR HARBOR SAVINGS AND LOAN ASSOCIATION	BAR HARBOR	ME	1	98,586	883
95677	28369	SI	ROCKLAND SAVINGS BANK, FSB	ROCKLAND	ME	2	74,951	171
111205	17115	SI	SANFORD INSTITUTION FOR SAVINGS	SANFORD	ME	9	513,758	3,199
289702	17658	SI	NORWAY SAVINGS BANK	NORWAY	ME	24	1,065,132	10,276
499501	17741	SI	BIDDEFORD SAVINGS BANK	BIDDEFORD	ME	5	426,697	2,768
