List of Banks in Peer Group -- MICOM All Insured Commercial Banks in Michigan

Reporting Period End Date	12/31/2012
Number of Banks in Peer Group	118

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
11145	8172	NM	LAKE-OSCEOLA STATE BANK	BALDWIN	MI	8	177,272	1,191
16944	11404	NM	WEST MICHIGAN SAVINGS BANK, THE	BANGOR	MI	1	40,734	12
22543	8162	NM	STATE SAVINGS BANK	FRANKFORT	MI	2	85,967	592
23045	24471	SM	WEST MICHIGAN BANK & TRUST	FRANKFORT	MI	2	40,991	116
47247	5033	NM	DART BANK, THE	MASON	MI	3	270,903	1,702
49344	1001	NM	MASON STATE BANK	MASON	MI	3	120,918	894
74140	1005	SM	ISABELLA BANK	MOUNT PLEASANT	MI	23	1,325,445	13,337
113740	15032	NM	FIRST STATE BANK	EASTPOINTE	MI	11	570,907	3,308
132554	14816	NM	MBANK	MANISTIQUE	MI	12	525,449	7,884
137652	14587	NM	UNIVERSITY BANK	ANN ARBOR	MI	1	118,594	2,084
150044	11807	NM	UNITED BANK OF MICHIGAN	GRAND RAPIDS	MI	11	453,844	3,971
184142	14913	SM	LAPEER COUNTY BANK & TRUST CO.	LAPEER	MI	7	300,781	1,885
222147	986	SM	CITIZENS BANK	FLINT	MI	210	9,234,869	358,568
230254	14775	N	FIRST NATIONAL BANK OF CRYSTAL FALLS	CRYSTAL FALLS	MI	3	72,181	297
236957	1090	NM	UPPER PENINSULA STATE BANK	ESCANABA	MI	3	191,802	2,306
238241	14471	NM	FIRSTBANK - WEST MICHIGAN	IONIA	MI	7	204,009	791
239556	14276	NM	FIRST BANK, UPPER MICHIGAN	GLADSTONE	MI	3	172,560	4,034
240459	1091	SM	STATE BANK OF EWEN, THE	EWEN	MI	2	53,030	574
242958	1092	NM	BAYBANK	GLADSTONE	MI	3	82,512	734
245557	5058	N	SUPERIOR NATIONAL BANK AND TRUST COMPANY OF HANCOCK, THE	HANCOCK	MI	9	530,412	5,560
251558	5062	N	FIRST NATIONAL BANK & TRUST CO. OF IRON MOUNTAIN, THE	IRON MOUNTAIN	MI	7	287,201	2,041
254849	20179	NM	FIRST INDEPENDENCE BANK	DETROIT	MI	3	179,668	2,339
