List of Banks in Peer Group -- MNCOM All Insured Commercial Banks in Minnesota

Reporting Period End Date	06/30/2016
Number of Banks in Peer Group	306

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
457	10202	NM	LOWRY STATE BANK	LOWRY	MN	1	44,664	425
2554	18525	NM	STATE BANK OF MARIETTA	MARIETTA	MN	1	13,049	82
9357	20268	NM	FIDELITY BANK	EDINA	MN	1	483,549	4,798
10250	1607	NM	BANK OF ELK RIVER, THE	ELK RIVER	MN	5	370,014	2,058
13251	10185	NM	ELYSIAN BANK	ELYSIAN	MN	1	40,278	176
16551	10956	NM	NORTHVIEW BANK	SANDSTONE	MN	12	319,678	2,460
20857	10998	NM	GRANITE FALLS BANK	GRANITE FALLS	MN	1	201,112	1,796
21359	22263	SM	AMERICAN STATE BANK OF GRYGLA	GRYGLA	MN	2	49,186	301
22552	10576	NM	FIRST SOUTHEAST BANK	HARMONY	MN	2	99,671	576
23456	5162	N	FIRST NATIONAL BANK OF HENNING, THE	OTTERTAIL	MN	2	111,761	863
24659	10178	NM	PRODUCE STATE BANK	HOLLANDALE	MN	3	61,395	304
28152	11415	NM	HARVEST BANK	KIMBALL	MN	4	128,207	1,036
30650	8193	NM	LAKE COMMUNITY BANK	LONG LAKE	MN	1	115,933	747
33259	21714	NM	PREMIER BANK	MAPLEWOOD	MN	8	627,535	3,342
40855	10980	NM	EITZEN STATE BANK	CALEDONIA	MN	3	92,570	583
43856	5141	N	MINERS NATIONAL BANK OF EVELETH, THE	EVELETH	MN	1	58,034	7
46053	1610	NM	STATE BANK OF FARIBAULT, THE	FARIBAULT	MN	2	181,976	909
48150	16778	NM	FRANKLIN STATE BANK	FRANKLIN	MN	1	29,214	94
49054	10212	NM	COMMERCE BANK	GENEVA	MN	2	169,671	666
56258	10218	NM	CITIZENS BANK & TRUST CO., HUTCHINSON, MINN.	HUTCHINSON	MN	1	206,619	1,777
58355	9733	NM	VANTAGE BANK	KENT	MN	2	19,740	26
58757	1409	NM	KENSINGTON BANK	KENSINGTON	MN	3	149,036	618
60554	10162	NM	FIRST STATE BANK MINNESOTA	LE ROY	MN	2	64,713	432
61757	8843	N	AMERICAN HERITAGE NATIONAL BANK	LONG PRAIRIE	MN	5	244,324	1,357
72454	8210	NM	FREEPORT STATE BANK	FREEPORT	MN	3	103,546	479
75053	5151	NM	FIRST MINNESOTA BANK	MINNETONKA	MN	11	401,734	1,525
75455	10187	NM	NORTHERN STATE BANK OF GONVICK, THE	GONVICK	MN	1	36,753	36
77150	15621	NM	FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW	GRAND MEADOW	MN	2	56,638	309
79257	8857	NM	FIRST STATE BANK OF GROVE CITY	GROVE CITY	MN	1	24,321	208
80552	8199	NM	STATE BANK OF HAMBURG	HAMBURG	MN	1	22,568	-25
82659	10957	NM	CITIZENS STATE BANK OF HAYFIELD	HAYFIELD	MN	3	87,627	491
83151	8188	NM	FLAGSHIP BANK MINNESOTA	WAYZATA	MN	2	98,744	-595
85258	8212	NM	EXCHANGE STATE BANK	LUVERNE	MN	3	153,246	796
88259	10960	NM	JANESVILLE STATE BANK	JANESVILLE	MN	1	70,047	503
88950	10176	NM	FINANCIAL SECURITY BANK	KERKHOVEN	MN	2	79,412	403
89854	13809	N	MINNSTAR BANK NATIONAL ASSOCIATION	LAKE CRYSTAL	MN	2	125,079	447
91651	10201	NM	SECURITY STATE BANK OF LEWISTON	LEWISTON	MN	4	63,507	20
93758	5190	N	FIRST NATIONAL BANK MAHNOMEN TWIN VALLEY	MAHNOMEN	MN	2	96,053	250
107758	10993	NM	BONANZA VALLEY STATE BANK	BROOTEN	MN	1	60,716	399
108652	5105	N	FIRST NATIONAL BANK OF BUHL, THE	MOUNTAIN IRON	MN	2	23,724	8
109154	9728	NM	FIRST SECURITY BANK	BYRON	MN	1	58,384	264
112556	8858	NM	STATE BANK OF CHANDLER	CHANDLER	MN	1	42,565	209
114251	10184	NM	F&M BANK MINNESOTA	OLIVIA	MN	3	113,169	880
116358	12444	NM	STATE BANK OF COLD SPRING	COLD SPRING	MN	1	53,316	150
126553	8850	SM	NORTH SHORE BANK OF COMMERCE	DULUTH	MN	5	248,802	2,837
127055	5131	N	WESTERN NATIONAL BANK	DULUTH	MN	3	121,613	493
141556	10988	N	STEARNS BANK NATIONAL ASSOCIATION	SAINT CLOUD	MN	9	1,827,487	31,327
144155	17863	NM	STERLING STATE BANK	AUSTIN	MN	9	323,163	647
144856	10159	NM	FIRST STATE BANK AND TRUST	BAYPORT	MN	4	217,084	1,199
145750	1383	NM	STATE BANK OF BELLE PLAINE	BELLE PLAINE	MN	1	104,032	379
147857	5097	SM	FIRST BANK BLUE EARTH	BLUE EARTH	MN	1	202,386	1,905
150156	9764	NM	UNION STATE BANK OF BROWNS VALLEY	BROWNS VALLEY	MN	1	23,127	116
151751	10192	NM	PEOPLES BANK OF COMMERCE	CAMBRIDGE	MN	6	291,794	1,529
152253	1913	NM	CASTLE ROCK BANK	CASTLE ROCK	MN	1	188,818	1,252
156457	10197	NM	HOMETOWN COMMUNITY BANK	CYRUS	MN	2	28,975	91
157650	23986	SM	MINNESOTA LAKES BANK	DELANO	MN	2	85,841	78
164153	10965	NM	LAKE REGION BANK	NEW LONDON	MN	2	107,328	408
165758	1931	NM	NEW MARKET BANK	ELKO NEW MARKET	MN	4	99,696	242
166652	10973	NM	ALLIANCE BANK	LAKE CITY	MN	7	567,491	4,124
171759	10967	N	F & M COMMUNITY BANK, NATIONAL ASSOCIATION	PRESTON	MN	3	117,234	550
172251	10969	NM	RANDALL STATE BANK	RANDALL	MN	1	38,005	388
188056	15286	NM	NORTHERN STATE BANK OF THIEF RIVER FALLS	THIEF RIVER FALLS	MN	2	290,025	1,384
190956	1908	NM	WANDA STATE BANK, THE	WANDA	MN	1	126,862	493
192651	8840	NM	PEOPLES STATE BANK OF WELLS	WELLS	MN	1	31,066	196
197759	5247	N	FIRST NATIONAL BANK MINNESOTA	SAINT PETER	MN	3	199,894	1,041
198251	10169	NM	SHERBURNE STATE BANK	BECKER	MN	2	92,809	817
201254	8205	NM	AMERICANA COMMUNITY BANK	SLEEPY EYE	MN	4	120,130	-59
205458	16906	NM	STATE BANK OF TAUNTON	TAUNTON	MN	1	52,418	30
207555	9746	N	NORTHWESTERN BANK, NATIONAL ASSOCIATION	DILWORTH	MN	4	138,840	527
207957	10582	NM	CITIZENS STATE BANK OF TYLER, INCORPORATED	TYLER	MN	1	22,834	57
208057	10214	NM	VERMILLION STATE BANK	VERMILLION	MN	6	528,550	6,761
208459	9336	N	STEARNS BANK OF UPSALA, NATIONAL ASSOCIATION	UPSALA	MN	1	68,637	429
210256	13430	SM	WADENA STATE BANK	WADENA	MN	3	121,999	869
211851	18378	NM	SECURITY STATE BANK OF WANAMINGO, INCORPORATED	WANAMINGO	MN	1	64,359	353
213958	9337	NM	CITIZENS STATE BANK OF WAVERLY (INCORPORATED)	WAVERLY	MN	2	64,836	475
215653	11417	SM	WELCOME STATE BANK	WELCOME	MN	1	26,858	276
217059	10168	NM	FIRST FARMERS & MERCHANTS BANK	CANNON FALLS	MN	5	271,992	2,044
220059	5280	N	WINONA NATIONAL BANK	WINONA	MN	3	277,348	1,268
222156	1609	NM	FIRST STATE BANK OF WYOMING	WYOMING	MN	1	171,025	889
225157	8867	NM	ULTIMA BANK MINNESOTA	WINGER	MN	4	163,831	1,944
267652	16656	NM	SECURITY STATE BANK OF AITKIN	AITKIN	MN	4	94,427	594
269058	10989	NM	ANNANDALE STATE BANK	ANNANDALE	MN	2	135,968	602
269759	8845	NM	FARMERS AND MERCHANTS STATE BANK OF APPLETON	APPLETON	MN	1	44,441	336
270353	1391	NM	ARLINGTON STATE BANK	ARLINGTON	MN	2	59,277	285
272058	17062	NM	STATE BANK OF BELLINGHAM	BELLINGHAM	MN	1	47,335	629
273653	9727	NM	CONCORDE BANK	BLOMKEST	MN	2	53,392	321
276654	1600	NM	FIRST FARMERS & MERCHANTS STATE BANK	BROWNSDALE	MN	3	85,690	466
278751	5110	N	WESTERN NATIONAL BANK OF CASS LAKE	CASS LAKE	MN	1	32,816	83
279954	1402	NM	CITIZENS ALLIANCE BANK	CLARA CITY	MN	10	648,492	5,311
280558	5115	N	FIRST NATIONAL BANK OF COKATO, THE	COKATO	MN	1	50,981	222
283157	1401	NM	STATE BANK OF DANVERS	BENSON	MN	1	49,231	182
283858	10198	NM	STATE BANK OF DELANO	DELANO	MN	1	84,561	798
286457	8851	NM	PARK STATE BANK	DULUTH	MN	2	38,874	-60
293352	8822	NM	ADRIAN STATE BANK	ADRIAN	MN	1	43,431	350
295057	10984	NM	SECURITY BANK MINNESOTA	ALBERT LEA	MN	3	118,547	974
299251	8196	NM	FIRST STATE BANK OF ASHBY	ASHBY	MN	1	33,169	166
302656	16958	NM	MINNWEST BANK	REDWOOD FALLS	MN	23	1,613,067	7,672
303550	1414	NM	KLEINBANK	BIG LAKE	MN	21	1,884,664	10,673
306159	26499	N	AMERICAN NATIONAL BANK OF MINNESOTA	BAXTER	MN	7	242,157	1,223
308256	8848	NM	CENBANK	BUFFALO LAKE	MN	2	58,521	342
309851	1098	SM	ROOT RIVER STATE BANK	CHATFIELD	MN	1	67,340	154
310754	16635	NM	EQUITY BANK	MINNETONKA	MN	2	49,490	13
311256	5116	NM	GRANITE COMMUNITY BANK	COLD SPRING	MN	1	102,113	516
311658	5117	N	FIRST NATIONAL BANK OF COLERAINE, THE	COLERAINE	MN	2	80,358	257
314257	5123	NM	DEERWOOD BANK	DEERWOOD	MN	12	517,138	3,681
316354	22618	NM	REPUBLIC BANK, INCORPORATED	DULUTH	MN	6	352,693	2,500
328656	8821	NM	UNITED FARMERS STATE BANK	ADAMS	MN	3	145,995	1,465
330453	10173	NM	ALTURA STATE BANK	ALTURA	MN	1	47,887	169
333052	5090	N	FIRST NATIONAL BANK OF BATTLE LAKE, THE	BATTLE LAKE	MN	1	77,875	611
334657	1599	NM	FARMERS AND MERCHANTS STATE BANK OF BLOOMING PRAIRIE	BLOOMING PRAIRIE	MN	2	80,173	865
338851	10987	NM	CAMBRIDGE STATE BANK	CAMBRIDGE	MN	4	67,360	456
339353	5107	NM	FIRST SECURITY BANK - CANBY	CANBY	MN	2	69,438	639
340256	9751	NM	21ST CENTURY BANK	LORETTO	MN	7	363,546	1,640
343257	10208	NM	UNITED SOUTHWEST BANK	COTTONWOOD	MN	3	46,560	56
343958	8833	NM	CURRIE STATE BANK	CURRIE	MN	1	72,078	534
344852	1413	NM	PERENNIAL BANK	DARWIN	MN	4	95,494	364
350572	31249	NM	1ST UNITED BANK	FARIBAULT	MN	2	141,300	769
362753	10171	NM	AVON STATE BANK	AVON	MN	1	106,324	520
363657	5093	N	FIRST NATIONAL BANK OF BEMIDJI, THE	BEMIDJI	MN	4	639,488	7,287
364850	10991	NM	FIRST STATE BANK OF BIGFORK	BIGFORK	MN	2	70,514	223
371755	5113	N	FIRST NATIONAL BANK OF CHISHOLM, THE	CHISHOLM	MN	2	82,552	65
374354	10196	N	CROOKSTON NATIONAL BANK	CROOKSTON	MN	1	63,671	339
378558	5130	N	PIONEER NATIONAL BANK OF DULUTH, THE	DULUTH	MN	3	80,549	350
379050	16561	NM	STATE BANK OF EASTON	EASTON	MN	1	22,514	101
