List of Banks in Peer Group -- MNSVG All Insured Savings Banks in Minnesota

Reporting Period End Date	06/30/2013
Number of Banks in Peer Group	16

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
715050	5095	SI	STAR BANK	BERTHA	MN	10	219,045	1,353
936583	58536	SI	THINK MUTUAL BANK	ROCHESTER	MN	11	1,499,192	2,546
291376	30492	SI	JACKSON FEDERAL SAVINGS & LOAN ASSOCIATION	JACKSON	MN	1	38,255	172
168357	10568	SI	COMMUNITY DEVELOPMENT BANK FSB	OGEMA	MN	2	75,831	142
773171	30943	SI	MID-CENTRAL FEDERAL SAVINGS BANK	WADENA	MN	3	100,816	540
258874	29426	SI	WORTHINGTON FEDERAL SAVINGS BANK, F.S.B.	WORTHINGTON	MN	2	66,933	219
796572	29042	SI	HOME FEDERAL SAVINGS BANK	ROCHESTER	MN	11	609,945	3,012
484776	32082	SI	VIKING SAVINGS BANK	ALEXANDRIA	MN	1	156,310	1,618
799470	31071	SI	SAINT JAMES FEDERAL SAVINGS & LOAN ASSOCIATION	SAINT JAMES	MN	1	28,629	74
685779	27932	SI	RIVERWOOD BANK	BEMIDJI	MN	10	300,921	621
788773	31028	SI	HOMETOWN BANK	REDWOOD FALLS	MN	8	204,918	1,302
416973	31443	SI	BRAINERD SAVINGS & LOAN FEDERAL ASSOCIATION	BRAINERD	MN	2	63,663	50
1387203	26891	SI	LIBERTY SAVINGS BANK, FEDERAL SAVINGS BANK	SAINT CLOUD	MN	6	189,272	2,620
3229642	57695	SI	AMERICAN INVESTORS BANK AND MORTGAGE	EDEN PRAIRIE	MN	1	100,704	393
890078	29049	SI	LAKE CITY FEDERAL BANK	LAKE CITY	MN	1	73,256	-8
284752	1415	SI	NORTHWOODS BANK OF MINNESOTA	PARK RAPIDS	MN	4	104,470	391
