List of Banks in Peer Group -- MOCOM All Insured Commercial Banks in Missouri

Reporting Period End Date	09/30/2005
Number of Banks in Peer Group	340

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1351	9392	NM	BANK OF GRANDIN	GRANDIN	MO	4	101,836	1,857
2956	1949	NM	CITIZENS HOME BANK	GREENFIELD	MO	7	107,911	1,000
3458	16103	NM	FARMERS BANK OF GREEN CITY	GREEN CITY	MO	1	23,923	149
6057	1651	NM	FARMERS AND MERCHANTS BANK	HALE	MO	1	15,720	106
12058	8297	SM	BANK OF HOLDEN	HOLDEN	MO	2	98,372	709
14155	9378	NM	FARMERS AND COMMERCIAL BANK	HOLDEN	MO	4	92,294	1,429
26457	16423	NM	LA MONTE COMMUNITY BANK	LA MONTE	MO	1	24,331	120
34555	14695	NM	MACON-ATLANTA STATE BANK	MACON	MO	1	129,907	910
35057	1946	NM	ALLIANT BANK	MADISON	MO	4	73,081	225
43155	12216	N	FIRST NATIONAL BANK	MOUNTAIN VIEW	MO	5	222,613	1,730
44750	16126	NM	CITIZENS BANK OF NEWBURG	ROLLA	MO	3	201,769	805
94858	8251	SM	ADRIAN BANK	ADRIAN	MO	3	73,002	955
97457	22601	NM	CITIZENS BANK	AMSTERDAM	MO	3	21,991	203
103255	4537	N	FIRST NATIONAL BANK AND TRUST COMPANY	COLUMBIA	MO	7	373,747	2,803
107459	9374	NM	CORDER BANK, THE	CORDER	MO	1	9,515	105
131173	28670	NM	GUARANTY BANK	SPRINGFIELD	MO	7	453,096	4,655
164957	13788	NM	CONCORDIA BANK	CONCORDIA	MO	2	48,296	719
167556	24858	N	STONE COUNTY NATIONAL BANK	CRANE	MO	4	72,932	592
169653	12229	SM	FIRST BANK	SAINT LOUIS	MO	175	8,699,492	90,227
173557	8898	NM	ST. JOHNS BANK & TRUST COMPANY	SAINT JOHN	MO	5	316,642	2,290
177751	1068	SM	CASS COMMERCIAL BANK	BRIDGETON	MO	5	316,131	2,672
182157	19450	NM	GATEWAY BANK OF ST. LOUIS	SAINT LOUIS	MO	2	51,522	308
185859	1073	SM	LINDELL BANK & TRUST COMPANY	SAINT LOUIS	MO	5	287,451	6,686
202550	19189	NM	EXCEL BANK	SEDALIA	MO	3	136,744	1,092
203052	15101	NM	SENATH STATE BANK	SENATH	MO	2	45,902	1,231
