List of Banks in Peer Group -- MOSVG All Insured Savings Banks in Missouri

Reporting Period End Date	06/30/2012
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1016174	28277	SI	OZARKS FEDERAL SAVINGS AND LOAN ASSOCIATION	FARMINGTON	MO	5	230,247	785
11275	30284	SI	PULASKI BANK	CREVE COEUR	MO	13	1,302,178	4,218
713074	30950	SI	AMERICAN LOAN AND SAVINGS ASSOCIATION	HANNIBAL	MO	1	5,844	-14
544577	30664	SI	CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION	ROLLA	MO	1	65,618	69
3688052	58656	SI	SCOTTRADE BANK	TOWN AND COUNTRY	MO	1	13,991,868	70,152
152374	30364	SI	FIRST HOME SAVINGS BANK	MOUNTAIN GROVE	MO	11	192,599	-295
966973	31329	SI	WEST PLAINS SAVINGS AND LOAN ASSOCIATION	WEST PLAINS	MO	1	88,921	480
566775	28731	SI	MIDWEST FEDERAL SAVINGS AND LOAN ASSOCIATION OF ST. JOSEPH	SAINT JOSEPH	MO	2	35,252	-10
143372	31488	SI	PROGRESSIVE OZARK BANK, F.S.B.	SALEM	MO	4	112,040	1,143
452476	31713	SI	CARROLL COUNTY SAVINGS AND LOAN ASSOCIATION	CARROLLTON	MO	1	24,338	25
2783763	35002	SI	SHELTER FINANCIAL BANK	COLUMBIA	MO	1	170,062	407
413673	30595	SI	F&M BANK AND TRUST COMPANY	HANNIBAL	MO	9	177,305	79
501972	28694	SI	HEARTLAND BANK	SAINT LOUIS	MO	14	813,106	5,031
379171	30817	SI	BANKLIBERTY	LIBERTY	MO	10	418,780	1,573
950178	29047	SI	FIRST FEDERAL BANK, F.S.B.	KANSAS CITY	MO	7	373,800	136
211271	29708	SI	NORTH AMERICAN SAVINGS BANK, FSB	GRANDVIEW	MO	9	1,222,536	5,850
125873	29764	SI	CLAY COUNTY SAVINGS BANK	LIBERTY	MO	4	100,590	-76
507479	30866	SI	BOULEVARD BANK	NEOSHO	MO	3	157,734	446
343378	30526	SI	MISSISSIPPI COUNTY SAVINGS AND LOAN ASSOCIATION	CHARLESTON	MO	2	9,529	11
717670	29143	SI	SYSTEMATIC SAVINGS BANK	SPRINGFIELD	MO	1	43,155	146
770273	28276	SI	HOME SAVINGS BANK	JEFFERSON CITY	MO	1	30,898	-38
2716547	34723	SI	TIAA-CREF TRUST COMPANY FSB	SAINT LOUIS	MO	1	784,097	-2,858
612878	27898	SI	HOME SAVINGS AND LOAN ASSOCIATION OF CARROLL COUNTY, F.A.	NORBORNE	MO	1	90,160	-167
3529315	28390	SI	EDWARD JONES TRUST COMPANY	SAINT LOUIS	MO	1	85,786	1,507
3352399	58124	SI	H & R BLOCK BANK	KANSAS CITY	MO	1	1,913,286	53,758
204376	30691	SI	B & L BANK	LEXINGTON	MO	3	150,869	111
634973	28776	SI	QUARRY CITY SAVINGS AND LOAN ASSOCIATION	WARRENSBURG	MO	1	38,901	132
