List of Banks in Peer Group -- MSCOM All Insured Commercial Banks in Mississippi

Reporting Period End Date	09/30/2020
Number of Banks in Peer Group	66

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
11640	19070	N	FIRST NATIONAL BANK OF CLARKSDALE	CLARKSDALE	MS	5	363,676	3,132
12142	12201	NM	CLEVELAND STATE BANK, THE	CLEVELAND	MS	2	249,236	1,841
29636	12204	NM	CITIZENS BANK OF PHILADELPHIA, THE	PHILADELPHIA	MS	25	1,304,408	5,051
31835	8243	NM	BANK OF ANGUILLA	ANGUILLA	MS	4	153,247	1,177
34434	22081	NM	MAGNOLIA STATE BANK	BAY SPRINGS	MS	8	362,958	2,100
40033	11817	NM	RICHTON BANK & TRUST COMPANY	RICHTON	MS	1	60,566	39
58636	11448	NM	CENTURY BANK	LUCEDALE	MS	10	378,350	2,764
68831	10594	NM	BANK OF FRANKLIN	MEADVILLE	MS	4	162,825	1,025
69333	4993	N	CITIZENS NATIONAL BANK OF MERIDIAN, THE	MERIDIAN	MS	24	1,523,985	17,893
70638	9366	NM	PEOPLES BANK	MENDENHALL	MS	5	362,723	8,029
84541	15953	NM	GUARANTY BANK AND TRUST COMPANY	BELZONI	MS	18	1,139,520	13,078
94139	12203	NM	MERCHANTS & MARINE BANK	PASCAGOULA	MS	11	621,859	3,805
99442	9359	NM	BANK OF COMMERCE	GREENWOOD	MS	8	589,547	6,565
101738	8552	SM	GREAT SOUTHERN BANK	MERIDIAN	MS	12	315,190	1,621
118736	11431	NM	BANK OF YAZOO CITY	YAZOO CITY	MS	4	255,800	1,495
121642	5903	NM	BANKPLUS	BELZONI	MS	79	4,486,207	32,703
179335	8250	NM	BANK OF WIGGINS	WIGGINS	MS	3	174,639	1,085
205243	15801	SM	FARMERS AND MERCHANTS BANK	BALDWYN	MS	10	377,367	4,703
209447	11432	NM	CITIZENS BANK	BYHALIA	MS	3	80,150	408
342634	4988	N	TRUSTMARK NATIONAL BANK	JACKSON	MS	173	14,975,696	110,820
398837	8231	SM	COPIAH BANK	HAZLEHURST	MS	9	243,878	1,417
460033	8879	NM	COMMUNITY BANK OF MISSISSIPPI	FOREST	MS	46	3,559,845	23,306
