List of Banks in Peer Group -- MTCOM All Insured Commercial Banks in Montana

Reporting Period End Date	12/31/2006
Number of Banks in Peer Group	80

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
685555	1979	SM	COMMUNITY BANK, INC.	RONAN	MT	2	105,884	2,282
686758	11013	NM	FIRST STATE BANK OF SHELBY, THE	SHELBY	MT	1	76,564	1,225
1401891	27518	SM	VALLEY BANK OF GLASGOW	GLASGOW	MT	1	28,374	284
3425725	58199	NM	BEARTOOTH BANK	BILLINGS	MT	1	15,109	-1,222
3346633	58282	NM	EAGLE BANK	POLSON	MT	1	4,935	-362
3314119	58010	NM	FREEDOM BANK	COLUMBIA FALLS	MT	1	33,850	338
3308529	57952	NM	BANK OF BOZEMAN	BOZEMAN	MT	1	44,559	-70
1441600	32871	SM	BIG SKY WESTERN BANK	BOZEMAN	MT	5	274,181	5,243
670654	20657	NM	FIRST SECURITY BANK OF DEER LODGE	DEER LODGE	MT	1	26,927	367
669359	26682	N	FIRST CITIZENS BANK, NATIONAL ASSOCIATION	COLUMBIA FALLS	MT	2	46,328	137
656555	19964	NM	FIRST CITIZENS BANK OF BILLINGS	BILLINGS	MT	5	170,899	773
656153	26190	NM	FIRST VALLEY BANK	SEELEY LAKE	MT	1	41,893	905
655651	2201	SM	MONTANA STATE BANK	PLENTYWOOD	MT	1	48,898	1,034
650955	19775	NM	FIRST BANK OF LINCOLN	LINCOLN	MT	1	10,898	210
649650	2191	N	FIRST NATIONAL BANK OF LEWISTOWN	LEWISTOWN	MT	1	89,099	440
637750	364	SM	CITIZENS STATE BANK OF CHOTEAU, MONTANA, THE	CHOTEAU	MT	1	59,256	1,159
633154	1520	NM	FIRST SECURITY BANK	BOZEMAN	MT	9	457,851	9,945
625056	20479	NM	FIRST SECURITY BANK OF ROUNDUP	ROUNDUP	MT	1	38,366	981
624956	24966	SM	VALLEY BANK OF RONAN	RONAN	MT	5	49,698	834
620752	21478	N	FIRST CITIZENS BANK OF POLSON, NATIONAL ASSOCIATION	POLSON	MT	2	30,592	415
619457	15744	SM	FLINT CREEK VALLEY BANK	PHILIPSBURG	MT	3	47,397	586
