List of Banks in Peer Group -- NCCOM All Insured Commercial Banks in North Carolina

Reporting Period End Date	09/30/2007
Number of Banks in Peer Group	80

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
45627	4886	SM	FIRST CHARTER BANK	CHARLOTTE	NC	58	4,850,223	35,064
49821	12267	NM	HIGH POINT BANK AND TRUST COMPANY	HIGH POINT	NC	7	732,506	5,229
86527	4910	N	FIRST NATIONAL BANK OF SHELBY, THE	SHELBY	NC	11	934,518	8,558
115221	22746	NM	RANDOLPH BANK & TRUST COMPANY	ASHEBORO	NC	7	279,024	408
216922	15019	NM	FIRST BANK	TROY	NC	68	2,114,549	19,029
220527	5956	NM	PEOPLES BANK	NEWTON	NC	19	834,615	8,778
282329	19861	NM	YADKIN VALLEY BANK AND TRUST COMPANY	ELKIN	NC	24	1,111,302	11,746
292524	11506	SM	FOUR OAKS BANK & TRUST COMPANY	FOUR OAKS	NC	11	642,023	4,653
332224	12266	NM	MECHANICS & FARMERS BANK	DURHAM	NC	7	249,824	1,162
348720	2036	NM	FARMERS AND MERCHANTS BANK	GRANITE QUARRY	NC	11	551,701	3,977
376125	8939	NM	HERITAGE BANK, THE	LUCAMA	NC	15	253,263	1,880
390925	4906	SM	FNB SOUTHEAST	REIDSVILLE	NC	15	990,966	1,343
470724	5950	NM	BANK OF GRANITE	GRANITE FALLS	NC	22	1,169,690	-16,598
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	5539	1,254,036,265	10,517,697
484422	33869	N	WACHOVIA BANK, NATIONAL ASSOCIATION	CHARLOTTE	NC	2936	529,639,000	4,416,000
491224	11063	NM	FIRST-CITIZENS BANK & TRUST COMPANY	RALEIGH	NC	330	13,246,216	94,462
580726	2017	NM	EAST CAROLINA BANK, THE	ENGELHARD	NC	23	618,975	3,586
584920	11507	NM	FIDELITY BANK, THE	FUQUAY-VARINA	NC	68	1,434,608	13,811
590220	24919	NM	BANK OF STANLY	ALBEMARLE	NC	6	262,148	2,136
591825	4879	N	COMMUNITYONE BANK, NATIONAL ASSOCIATION	ASHEBORO	NC	43	1,833,154	13,352
617024	16799	NM	LEXINGTON STATE BANK	LEXINGTON	NC	26	1,000,465	4,221
642370	27837	NM	COOPERATIVE BANK	WILMINGTON	NC	22	874,110	6,985
651121	20568	NM	LUMBEE GUARANTY BANK	PEMBROKE	NC	12	208,341	1,566
684325	2039	SM	BANK OF CURRITUCK, THE	MOYOCK	NC	6	157,736	791
717924	15359	NM	SOUTHERN BANK AND TRUST COMPANY	MOUNT OLIVE	NC	56	1,138,368	7,579
749121	24581	NM	UNITED COMMUNITY BANK	MURPHY	NC	22	1,133,628	2,738
852320	9846	NM	BRANCH BANKING AND TRUST COMPANY	WINSTON-SALEM	NC	1469	120,906,364	1,366,366
883874	31084	NM	FIRST SOUTH BANK	WASHINGTON	NC	27	902,351	13,368
1494240	33184	SM	RBC CENTURA BANK	RALEIGH	NC	346	24,838,863	75,113
