List of Banks in Peer Group -- NCSVG All Insured Savings Banks in North Carolina

Reporting Period End Date	09/30/2015
Number of Banks in Peer Group	21

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
141677	30358	SI	FIRST SAVINGS AND LOAN ASSOCIATION	MEBANE	NC	1	55,261	180
971379	31345	SI	HERTFORD SAVINGS BANK, SSB	HERTFORD	NC	1	13,422	11
239275	31445	SI	MACON BANK, INC.	FRANKLIN	NC	11	931,655	22,139
247476	28314	SI	ROANOKE RAPIDS SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	55,573	212
864471	27619	SI	PIEDMONT FEDERAL SAVINGS BANK	WINSTON SALEM	NC	10	913,679	2,133
444677	27897	SI	BLACK MOUNTAIN SAVINGS BANK, SSB	BLACK MOUNTAIN	NC	1	36,510	95
943974	31077	SI	FIRST FEDERAL BANK	DUNN	NC	7	160,975	274
900379	27704	SI	WAKE FOREST FEDERAL SAVINGS AND LOAN ASSOCIATION	WAKE FOREST	NC	1	108,605	647
919773	28035	SI	BELMONT FEDERAL SAVINGS AND LOAN ASSOCIATION	BELMONT	NC	1	96,080	365
342175	29663	SI	ASHEVILLE SAVINGS BANK, SSB	ASHEVILLE	NC	13	775,657	2,880
360777	31266	SI	JACKSON SAVINGS BANK, SSB	SYLVA	NC	2	32,640	136
800479	29061	SI	TARBORO SAVINGS BANK, SSB	TARBORO	NC	1	44,107	263
563774	29485	SI	ROANOKE VALLEY SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	38,460	28
416674	29771	SI	KS BANK, INC.	SMITHFIELD	NC	10	323,935	1,156
332671	30434	SI	MORGANTON SAVINGS BANK, S.S.B.	MORGANTON	NC	1	79,293	166
42372	30315	SI	FIRST FEDERAL SAVINGS BANK OF LINCOLNTON	LINCOLNTON	NC	4	350,925	2,560
715872	31217	SI	LIFESTORE BANK	WEST JEFFERSON	NC	5	255,611	1,044
472979	28471	SI	ROXBORO SAVINGS BANK, SSB	ROXBORO	NC	2	212,807	1,473
2754222	34860	SI	NEW REPUBLIC SAVINGS BANK	ROANOKE RAPIDS	NC	2	58,783	371
2744782	34934	SI	LITTLE BANK, SSB, THE	KINSTON	NC	6	346,358	2,317
258379	32348	SI	TAYLORSVILLE SAVINGS BANK, SSB	TAYLORSVILLE	NC	3	96,845	1,384
