List of Banks in Peer Group -- NDCOM All Insured Commercial Banks in North Dakota

Reporting Period End Date	12/31/2009
Number of Banks in Peer Group	92

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
228055	9122	NM	FARMERS SECURITY BANK	WASHBURN	ND	1	32,495	130
233554	9123	NM	WESTERN STATE BANK	DEVILS LAKE	ND	5	401,086	-1,828
234056	23836	NM	MCKENZIE COUNTY BANK	WATFORD CITY	ND	1	62,458	1,047
236153	10248	NM	FIRST INTERNATIONAL BANK AND TRUST	WATFORD CITY	ND	20	927,406	4,436
238250	13196	NM	PEOPLES STATE BANK	WESTHOPE	ND	2	60,639	1,069
244251	15444	NM	AMERICAN STATE BANK & TRUST COMPANY OF WILLISTON	WILLISTON	ND	1	299,884	4,674
245856	16975	NM	FIRST STATE BANK OF WILTON	WILTON	ND	1	28,887	387
248455	14801	N	FIRST NATIONAL BANK & TRUST COMPANY OF WILLISTON	WILLISTON	ND	5	228,976	2,427
251857	8642	NM	SECURITY STATE BANK, WISHEK, NORTH DAKOTA	WISHEK	ND	3	55,729	500
659453	16187	NM	CITIZENS STATE BANK OF FINLEY, THE	FINLEY	ND	3	103,080	938
667551	8390	NM	LINCOLN STATE BANK	HANKINSON	ND	3	45,067	508
668053	3934	N	FARMERS AND MERCHANTS NATIONAL BANK OF HATTON, THE	HATTON	ND	2	33,874	-64
675659	2057	NM	STATE BANK & TRUST OF KENMARE	KENMARE	ND	1	89,301	312
676151	19396	NM	UNISON BANK	JAMESTOWN	ND	3	193,494	-692
677756	21728	NM	FARMERS AND MERCHANTS STATE BANK	LANGDON	ND	1	54,662	542
678258	16477	NM	STATE BANK OF LAKOTA	LAKOTA	ND	1	40,371	413
680055	10249	NM	UNITED COMMUNITY BANK OF NORTH DAKOTA	LEEDS	ND	4	182,808	2,716
687951	19123	SM	FIRST WESTERN BANK AND TRUST	MINOT	ND	3	534,641	1,097
688453	8632	NM	CITIZENS STATE BANK AT MOHALL, THE	MOHALL	ND	3	45,866	320
693952	11519	NM	SECURITY FIRST BANK OF NORTH DAKOTA	NEW SALEM	ND	4	118,842	1,791
696551	16082	NM	FIRST AND FARMERS BANK, THE	PORTLAND	ND	2	48,240	-978
700458	8943	NM	MERCHANTS BANK	RUGBY	ND	1	42,487	479
713252	10250	NM	PEOPLES STATE BANK OF VELVA	VELVA	ND	2	35,428	85
720858	13794	NM	MCINTOSH COUNTY BANK	ASHLEY	ND	2	71,508	949
721350	8387	NM	FIRST STATE BANK OF NORTH DAKOTA	ARTHUR	ND	6	201,645	3,223
743857	13198	NM	CORNERSTONE BANK	ENDERLIN	ND	8	368,009	-3,825
745954	9425	NM	QUALITY BANK	FINGAL	ND	2	25,592	-413
