List of Banks in Peer Group -- NECOM All Insured Commercial Banks in Nebraska

Reporting Period End Date	09/30/2017
Number of Banks in Peer Group	170

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1155	17639	NM	FIRST STATE BANK & TRUST COMPANY	FREMONT	NE	4	231,607	2,055
2750	5408	NM	GENOA COMMUNITY BANK	GENOA	NE	1	56,692	676
3252	5410	N	FIRST NATIONAL BANK OF GORDON, THE	GORDON	NE	1	195,260	2,208
7456	13962	SM	BANK OF HARTINGTON	HARTINGTON	NE	2	88,069	758
9553	14311	NM	ADAMS COUNTY BANK	KENESAW	NE	2	166,144	1,728
13457	5425	NM	BANK OF LEWELLEN	LEWELLEN	NE	1	24,988	222
33857	15545	NM	FRONTIER BANK	OMAHA	NE	8	754,855	6,285
36456	15907	NM	COMMUNITY FIRST BANK	MAYWOOD	NE	5	132,409	989
41955	5447	SM	BANK OF NEWMAN GROVE	NEWMAN GROVE	NE	1	33,153	105
42457	12246	NM	COMMERCIAL BANK	NELSON	NE	1	44,968	342
45056	9818	NM	PLATTE VALLEY BANK	NORTH BEND	NE	1	74,351	508
70955	13696	NM	NEBRASKA STATE BANK	BRISTOW	NE	1	16,217	109
71457	18748	NM	BRUNING STATE BANK	BRUNING	NE	5	341,486	2,032
73554	1992	NM	PATHWAY BANK	CAIRO	NE	4	154,465	1,221
74056	16707	NM	SOUTH CENTRAL STATE BANK	CAMPBELL	NE	5	122,370	1,262
75651	1993	NM	CERESCOBANK	CERESCO	NE	1	46,750	441
76153	16953	NM	BANK OF CLARKS	CLARKS	NE	2	34,646	405
79855	5396	NM	CITY BANK & TRUST CO.	LINCOLN	NE	4	146,596	670
86358	11023	NM	FRANKLIN STATE BANK	FRANKLIN	NE	1	46,123	485
88455	18740	NM	HEARTLAND BANK	GENEVA	NE	8	391,250	4,011
96553	19809	NM	HERSHEY STATE BANK, THE	HERSHEY	NE	2	71,448	875
97055	17229	NM	HENDERSON STATE BANK	HENDERSON	NE	4	271,373	2,420
102557	18761	NM	FOUNDATION ONE BANK	WATERLOO	NE	2	98,267	427
111157	19087	NM	BANK OF LINDSAY	LINDSAY	NE	1	67,998	490
114859	5438	SM	FIRST BANK AND TRUST COMPANY	MINDEN	NE	1	74,171	264
117458	20130	NM	BANKFIRST	NORFOLK	NE	6	418,625	4,948
134156	10637	NM	FIRST CENTRAL BANK	CAMBRIDGE	NE	3	100,271	1,554
139955	18528	NM	MAINSTREET BANK	COOK	NE	7	91,202	512
140157	11482	NM	HOMESTEAD BANK	COZAD	NE	7	255,026	3,262
143859	16116	NM	FARMERS STATE BANK	DODGE	NE	6	189,294	1,594
145956	18265	NM	ERICSON STATE BANK	ERICSON	NE	1	82,325	1,074
150352	5406	N	FULLERTON NATIONAL BANK	FULLERTON	NE	1	44,919	537
151957	13622	NM	FIRST STATE BANK	GOTHENBURG	NE	7	474,842	4,250
157155	11475	NM	THAYER COUNTY BANK	HEBRON	NE	1	57,219	297
172859	16333	NM	FIRST STATE BANK	LOOMIS	NE	3	137,437	1,244
175458	13611	NM	BANK OF MEAD	MEAD	NE	1	28,739	204
177555	16868	NM	CORN GROWERS STATE BANK	MURDOCK	NE	1	25,679	22
178057	11483	NM	NEHAWKA BANK, THE	NEHAWKA	NE	2	15,862	14
199351	4778	N	WESTERN NATIONAL BANK	CHESTER	NE	4	130,637	1,032
207050	19850	NM	WEST GATE BANK	LINCOLN	NE	7	494,057	4,448
208655	5432	SM	FIRST NORTHEAST BANK OF NEBRASKA	LYONS	NE	9	283,703	2,616
210452	14639	NM	SECURITY HOME BANK	MALMO	NE	1	40,307	240
218850	10644	NM	STATE BANK OF ODELL	ODELL	NE	2	28,230	117
222754	19742	SM	FIRST WESTROADS BANK, INC.	OMAHA	NE	2	257,302	3,380
235558	18724	NM	CITIZENS STATE BANK	CARLETON	NE	1	19,491	121
239752	16859	N	FIRST NATIONAL BANK OF CHADRON	CHADRON	NE	2	121,633	1,452
241559	15010	NM	COLUMBUS BANK AND TRUST COMPANY	COLUMBUS	NE	2	126,296	909
244158	5394	NM	FIRST BANK AND TRUST COMPANY	COZAD	NE	6	256,775	3,885
248352	1983	NM	WESTERN NEBRASKA BANK	CURTIS	NE	4	101,463	225
249957	17452	NM	JEFFERSON COUNTY BANK	DAYKIN	NE	1	42,702	438
252256	21809	NM	EAGLE STATE BANK	EAGLE	NE	1	27,583	268
259059	5401	NM	F&M BANK	FALLS CITY	NE	1	114,841	907
266655	5405	SM	FIRST BANK AND TRUST OF FULLERTON	FULLERTON	NE	2	82,115	567
275255	19274	NM	BANNER CAPITAL BANK	HARRISBURG	NE	3	127,597	1,243
276850	5415	NM	SECURITY FIRST BANK	LINCOLN	NE	32	921,034	5,682
284958	8604	NM	FIRST STATE BANK	HORDVILLE	NE	1	41,262	222
332756	9812	NM	ADAMS STATE BANK	ADAMS	NE	1	50,408	505
335355	34468	NM	TWO RIVERS BANK	BLAIR	NE	2	143,693	1,131
336950	1436	NM	ASHTON STATE BANK	ASHTON	NE	1	21,811	42
348159	8595	SM	BANK OF BENNINGTON	BENNINGTON	NE	3	114,074	671
382256	5478	SM	STANTON STATE BANK	STANTON	NE	2	47,011	199
384353	10635	NM	BANK OF STEINAUER	STEINAUER	NE	1	11,875	72
385471	31999	SM	MADISON COUNTY BANK	MADISON	NE	5	366,574	3,508
386450	14312	SM	FIVE POINTS BANK OF HASTINGS	HASTINGS	NE	3	278,686	2,682
388557	10641	NM	TRI VALLEY BANK	TALMAGE	NE	1	43,557	629
389059	15774	SM	TILDEN BANK, THE	TILDEN	NE	3	85,142	564
