List of Banks in Peer Group -- NHSVG All Insured Savings Banks in New Hampshire

Reporting Period End Date	06/30/2023
Number of Banks in Peer Group	11

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
670878	27824		SALEM CO-OPERATIVE BANK	SALEM	NH	2	504,995	-447
576608	17180	SI	MEREDITH VILLAGE SAVINGS BANK	MEREDITH	NH	13	1,578,394	3,090
477303	18031	SI	WOODSVILLE GUARANTY SAVINGS BANK	WOODSVILLE	NH	9	679,882	961
92706	18028	SI	SUGAR RIVER BANK	NEWPORT	NH	6	380,865	1,104
74403	17960	SI	MERRIMACK COUNTY SAVINGS BANK	CONCORD	NH	7	1,346,186	3,188
119872	29744	SI	FIRST SEACOAST BANK	DOVER	NH	5	541,599	-76
5787418	59289	SI	WALDEN MUTUAL BANK	CONCORD	NH	1	37,829	-1,132
491402	17951	SI	FRANKLIN SAVINGS BANK	FRANKLIN	NH	8	776,570	2,216
598002	18030	SI	SAVINGS BANK OF WALPOLE	WALPOLE	NH	7	723,564	2,089
591209	17443	SI	PISCATAQUA SAVINGS BANK	PORTSMOUTH	NH	1	371,588	183
47500	18038	SI	CLAREMONT SAVINGS BANK	CLAREMONT	NH	5	545,617	1,055
