List of Banks in Peer Group -- NJCOM All Insured Commercial Banks in New Jersey

Reporting Period End Date	03/31/2008
Number of Banks in Peer Group	67

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
7009	20015	NM	BESSEMER TRUST COMPANY	WOODBRIDGE	NJ	1	653,998	3,043
9807	6423	SM	AMBOY BANK	OLD BRIDGE	NJ	26	2,659,242	13,505
29104	6431	N	UNION CENTER NATIONAL BANK	UNION	NJ	11	981,396	1,417
188917	6442	N	FIRST NATIONAL BANK OF ABSECON	ABSECON	NJ	4	134,374	142
229801	9396	N	VALLEY NATIONAL BANK	PASSAIC	NJ	174	12,546,741	34,887
236706	11035	SM	PEAPACK-GLADSTONE BANK	GLADSTONE	NJ	22	1,351,734	3,267
275509	571	SM	COMMUNITY BANK OF BERGEN COUNTY, N.J.	MAYWOOD	NJ	4	235,483	429
367208	26480	NM	GREATER COMMUNITY BANK	TOTOWA	NJ	16	982,831	2,151
403106	22221	NM	SUSSEX BANK	FRANKLIN	NJ	10	387,221	768
434203	6354	N	FIRST HOPE BANK, A NATIONAL BANKING ASSOCIATION	HOPE	NJ	6	376,374	720
463203	20220	NM	BRUNSWICK BANK AND TRUST COMPANY	NEW BRUNSWICK	NJ	6	118,125	299
527507	26390	NM	ATLANTIC STEWARDSHIP BANK	MIDLAND PARK	NJ	13	569,294	1,130
567905	21111	N	CITY NATIONAL BANK OF NEW JERSEY	NEWARK	NJ	10	444,945	688
609010	6464	N	FIRST NATIONAL BANK OF ELMER	ELMER	NJ	6	212,199	525
609609	26790	N	BNB BANK, NATIONAL ASSOCIATION	FORT LEE	NJ	3	282,074	500
632410	14646	N	NEWFIELD NATIONAL BANK	NEWFIELD	NJ	12	493,064	792
687009	19953	NM	LAKELAND BANK	NEWFOUNDLAND	NJ	48	2,524,529	6,540
782904	22178	NM	COMMERCE BANK/NORTH	RAMSEY	NJ	47	4,965,607	12,445
828110	19978	N	PENNSVILLE NATIONAL BANK, THE	PENNSVILLE	NJ	4	168,200	430
