List of Banks in Peer Group -- NYCOM All Insured Commercial Banks in New York

Reporting Period End Date	06/30/2006
Number of Banks in Peer Group	132

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
505	6959	N	BALLSTON SPA NATIONAL BANK	BALLSTON SPA	NY	9	319,026	951
23504	6976	N	BRIDGEHAMPTON NATIONAL BANK, THE	BRIDGEHAMPTON	NY	11	530,355	3,978
63201	6954	N	CAYUGA LAKE NATIONAL BANK	UNION SPRINGS	NY	2	80,663	589
64619	7220	N	STERLING NATIONAL BANK	NEW YORK	NY	10	1,873,221	12,618
65513	26633	N	DELTA NATIONAL BANK AND TRUST COMPANY	NEW YORK	NY	2	291,549	1,329
66015	26508	SM	BPD BANK	NEW YORK	NY	1	493,888	1,140
70218	23373	NM	UNITED ORIENT BANK	NEW YORK	NY	2	78,683	362
84804	8908	NM	CITIZENS BANK OF CAPE VINCENT	CAPE VINCENT	NY	2	26,545	134
92902	9406	SM	BANK OF CATTARAUGUS	CATTARAUGUS	NY	1	12,696	28
98717	25749	N	EASTBANK, NATIONAL ASSOCIATION	NEW YORK	NY	1	130,798	499
99004	23713	NM	NYNB BANK	BRONX	NY	6	133,577	-444
101019	19842	NM	BANK LEUMI USA	NEW YORK	NY	14	5,925,760	10,128
101671	28380	SM	ADIRONDACK BANK	UTICA	NY	16	427,537	680
103602	12940	NM	STATE BANK OF CHITTENANGO	CHITTENANGO	NY	1	16,312	73
126012	7356	N	CHAMPLAIN NATIONAL BANK	ELIZABETHTOWN	NY	9	160,455	334
128511	26621	NM	MITSUBISHI UFJ TRUST & BANKING CORPORATION (U.S.A.)	NEW YORK	NY	1	512,554	1,996
160614	20225	NM	FIDUCIARY TRUST COMPANY INTERNATIONAL	NEW YORK	NY	1	1,213,442	-351,259
161602	6985	N	CANANDAIGUA NATIONAL BANK AND TRUST COMPANY, THE	CANANDAIGUA	NY	20	1,085,487	6,131
165806	13292	NM	BANK OF CASTILE, THE	CASTILE	NY	14	564,726	2,569
174406	7005	N	ONTARIO NATIONAL BANK	CLIFTON SPRINGS	NY	4	92,430	401
175609	618	SM	BANK OF MILLBROOK	MILLBROOK	NY	2	133,910	727
176101	12944	SM	ORANGE COUNTY TRUST COMPANY	MIDDLETOWN	NY	5	436,794	3,248
202907	6989	N	COMMUNITY BANK, NATIONAL ASSOCIATION	CANTON	NY	123	4,136,508	20,922
214807	623	SM	DEUTSCHE BANK TRUST COMPANY AMERICAS	NEW YORK	NY	2	34,142,000	165,000
229913	21843	SM	MIZUHO CORPORATE BANK (USA)	NEW YORK	NY	1	3,090,434	19,320
234506	7018	N	NATIONAL BANK OF COXSACKIE, THE	COXSACKIE	NY	6	151,786	1,018
236603	7025	N	DELAWARE NATIONAL BANK OF DELHI, THE	DELHI	NY	2	150,839	865
239015	23258	SM	GOTHAM BANK OF NEW YORK	NEW YORK	NY	1	246,399	1,411
241009	7031	N	FIRST NATIONAL BANK OF DRYDEN, THE	DRYDEN	NY	2	92,449	520
245016	25093	NM	HABIB AMERICAN BANK	NEW YORK	NY	5	327,611	2,864
250113	7329	N	TUPPER LAKE NATIONAL BANK, THE	TUPPER LAKE	NY	4	97,608	264
254317	13397	NM	BANK OF UTICA	UTICA	NY	1	775,511	2,932
254504	12959	NM	CATTARAUGUS COUNTY BANK	LITTLE VALLEY	NY	7	136,976	940
281210	7337	N	NATIONAL BANK OF DELAWARE COUNTY, WALTON	WALTON	NY	4	157,577	846
284408	591	SM	FIRST STATE BANK, CANISTEO, N.Y.	CANISTEO	NY	2	43,697	112
287007	6990	N	PUTNAM COUNTY NATIONAL BANK OF CARMEL, THE	CARMEL	NY	6	164,156	2,419
292908	6947	N	EVANS NATIONAL BANK	ANGOLA	NY	10	453,431	1,795
306908	7123	N	FIRST NATIONAL BANK OF JEFFERSONVILLE, THE	JEFFERSONVILLE	NY	10	396,264	2,307
313009	13748	N	UPSTATE NATIONAL BANK, THE	LISBON	NY	5	101,312	75
313401	7128	N	NATIONAL UNION BANK OF KINDERHOOK, THE	KINDERHOOK	NY	4	159,171	683
320119	19977	NM	ISRAEL DISCOUNT BANK OF NEW YORK	NEW YORK	NY	7	9,100,616	9,366
323204	7151	N	LYONS NATIONAL BANK, THE	LYONS	NY	10	328,309	1,427
332907	15985	NM	NORTH FORK BANK	MATTITUCK	NY	348	57,314,470	462,219
384018	24920	NM	WOORI AMERICA BANK	NEW YORK	NY	14	810,217	6,156
414102	9831	SM	ALDEN STATE BANK	ALDEN	NY	2	181,569	1,064
433608	609	NM	TOMPKINS TRUST COMPANY	ITHACA	NY	14	1,104,622	7,625
436711	20693	NM	HUDSON VALLEY BANK	YONKERS	NY	22	2,043,562	17,252
452104	13290	NM	BANK OF AKRON	AKRON	NY	4	151,462	762
472616	11501	N	FIRST NATIONAL BANK OF SCOTIA	SCOTIA	NY	10	262,464	696
475215	664	SM	BANK OF SMITHTOWN	SMITHTOWN	NY	13	925,170	7,259
476810	7213	N	CITIBANK, N.A.	NEW YORK	NY	229	760,724,500	5,308,000
501105	588	SM	MANUFACTURERS AND TRADERS TRUST COMPANY	BUFFALO	NY	649	54,633,932	428,862
502111	18734	N	NATIONAL BANK OF NEW YORK CITY	FLUSHING	NY	1	172,429	1,766
516305	614	NM	PARTNERS TRUST MUNICIPAL BANK	UTICA	NY	1	596,730	1,767
521804	7153	N	MAHOPAC NATIONAL BANK, THE	MAHOPAC	NY	8	460,108	2,745
523714	7334	N	NATIONAL BANK OF VERNON, THE	VERNON	NY	3	61,543	-195
538802	24516	NM	INTERAUDI BANK	NEW YORK	NY	2	1,129,191	3,530
541101	639	SM	BANK OF NEW YORK, THE	NEW YORK	NY	346	91,199,000	689,000
601416	659	SM	FIVE STAR BANK	WARSAW	NY	48	1,966,520	10,468
644600	20119	NM	UNION STATE BANK	NANUET	NY	29	2,799,535	17,833
645317	660	SM	ADIRONDACK TRUST COMPANY, THE	SARATOGA SPRINGS	NY	10	625,215	4,229
647414	14619	N	SAVANNAH BANK, N.A.	SAVANNAH	NY	5	81,243	237
651103	19695	NM	STATE BANK OF LONG ISLAND	NEW HYDE PARK	NY	16	1,659,402	6,697
661308	622	NM	AMALGAMATED BANK	NEW YORK	NY	12	4,119,355	9,269
702117	7230	N	NBT BANK, NATIONAL ASSOCIATION	NORWICH	NY	121	4,768,109	27,856
703310	7228	SM	SLEEPY HOLLOW BANK	SLEEPY HOLLOW	NY	5	260,469	561
714811	19736	NM	CHINESE AMERICAN BANK, THE	NEW YORK	NY	3	334,076	1,174
722816	13297	SM	SOLVAY BANK	SOLVAY	NY	7	462,639	2,451
730213	15978	N	OSWEGO COUNTY NATIONAL BANK	OSWEGO	NY	8	222,814	695
738611	7251	N	STISSING NATIONAL BANK OF PINE PLAINS, THE	PINE PLAINS	NY	2	57,794	459
767611	12956	NM	BANK OF RICHMONDVILLE	RICHMONDVILLE	NY	3	104,727	750
791513	7316	N	NATIONAL BANK OF STAMFORD, THE	STAMFORD	NY	2	92,425	342
799612	7278	N	SUFFOLK COUNTY NATIONAL BANK OF RIVERHEAD, THE	RIVERHEAD	NY	27	1,416,020	11,022
