List of Banks in Peer Group -- NYSVG All Insured Savings Banks in New York

Reporting Period End Date	03/31/2006
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
729310	15977	SI	PATHFINDER BANK	OSWEGO	NY	7	279,436	355
2797359	34969	SI	FIRST CENTRAL SAVINGS BANK	GLEN COVE	NY	7	381,794	905
166111	16030	SI	NORTH COUNTRY SAVINGS BANK, THE	CANTON	NY	4	238,323	169
900502	15966	SI	FULTON SAVINGS BANK	FULTON	NY	8	411,549	865
605610	16039	SI	SAWYER SAVINGS BANK	SAUGERTIES	NY	3	150,305	173
301800	15970	SI	ULSTER SAVINGS BANK	KINGSTON	NY	10	611,328	1,267
214106	21591	SI	BANK OF GREENE COUNTY, THE	CATSKILL	NY	7	294,192	556
3363957	58168	SI	EMIGRANT SAVINGS BANK - MANHATTAN	NEW YORK	NY	11	1,318,068	2,601
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	49	7,178,605	15,336
191805	23047	SI	COMMUNITY MUTUAL SAVINGS BANK	MOUNT VERNON	NY	5	116,905	-20
3363920	58167	SI	EMIGRANT SAVINGS BANK - LONG ISLAND	WESTBURY	NY	7	567,910	600
3363966	58170	SI	EMIGRANT SAVINGS BANK - BRONX/WESTCHE	BRONX	NY	8	1,150,627	2,059
2854140	35185	SI	GREATER BUFFALO SAVINGS BANK	BUFFALO	NY	10	784,929	81
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	20	3,253,386	5,382
195111	16032	SI	RHINEBECK SAVINGS BANK	RHINEBECK	NY	7	402,847	731
694904	16022	SI	NEW YORK COMMUNITY BANK	FLUSHING	NY	137	26,193,075	74,022
28013	28710	SI	NORTHFIELD SAVINGS BANK	STATEN ISLAND	NY	19	1,380,951	3,176
237619	20741	SI	PIONEER SAVINGS BANK	TROY	NY	14	703,417	979
137915	12054	SI	EMIGRANT BANK	NEW YORK	NY	7	9,304,216	30,271
723710	15975	SI	ONEIDA SAVINGS BANK, THE	ONEIDA	NY	9	429,083	939
298218	15990	SI	WATERTOWN SAVINGS BANK	WATERTOWN	NY	5	284,528	602
24006	15995	SI	PUTNAM COUNTY SAVINGS BANK	BREWSTER	NY	9	882,976	1,601
1003606	16018	SI	INDEPENDENCE COMMUNITY BANK	BROOKLYN	NY	125	18,273,055	41,003
341310	15987	SI	WALDEN SAVINGS BANK	WALDEN	NY	9	246,653	558
3363939	58169	SI	EMIGRANT SAVINGS BANK - BROOKLYN/QUEE	BROOKLYN	NY	8	821,998	1,126
425108	15969	SI	RONDOUT SAVINGS BANK	KINGSTON	NY	4	185,987	182
442011	16040	SI	SENECA FALLS SAVINGS BANK	SENECA FALLS	NY	4	150,764	24
