List of Banks in Peer Group -- OHCOM All Insured Commercial Banks in Ohio

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	134

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
12311	6560	N	HUNTINGTON NATIONAL BANK, THE	COLUMBUS	OH	1092	161,053,704	1,491,415
24378	32307	NM	GALION BUILDING AND LOAN BANK, THE	GALION	OH	2	73,038	11
27614	10663	SM	ANDOVER BANK, THE	ANDOVER	OH	10	564,113	5,488
44929	6637	N	FIRST NATIONAL BANK OF MCCONNELSVILLE, THE	MCCONNELSVILLE	OH	6	196,654	968
58225	769	NM	FARMERS BANK AND SAVINGS COMPANY, THE	POMEROY	OH	7	389,457	3,793
72678	28348	NM	BELMONT SAVINGS BANK	BELLAIRE	OH	4	421,338	2,843
79127	6680	N	HOME NATIONAL BANK	RACINE	OH	3	78,850	866
87476	31539	NM	WILMINGTON SAVINGS BANK, THE	WILMINGTON	OH	1	184,405	1,342
91615	14523	NM	ANTWERP EXCHANGE BANK COMPANY, THE	ANTWERP	OH	3	142,971	842
97279	32292	NM	WOODSFIELD SAVINGS BANK	WOODSFIELD	OH	2	77,688	438
99376	32612	N	NATIONAL COOPERATIVE BANK, N.A.	HILLSBORO	OH	1	3,069,000	53,792
110413	5962	NM	SUTTON BANK	ATTICA	OH	7	1,270,305	29,540
112510	17759	NM	BALTIC STATE BANK, THE	BALTIC	OH	3	91,644	555
130813	6516	N	LIBERTY NATIONAL BANK	ADA	OH	6	438,226	5,285
148920	9865	NM	REPUBLIC BANKING COMPANY, THE	REPUBLIC	OH	1	57,433	813
150727	12978	SM	RICHWOOD BANKING COMPANY, INC., THE	RICHWOOD	OH	9	1,055,910	12,339
165628	6600	SM	FIRST FINANCIAL BANK	CINCINNATI	OH	140	15,924,431	227,030
176325	9462	NM	FARMERS & MERCHANTS BANK	MIAMISBURG	OH	4	255,621	3,365
177920	13716	NM	MIDDLEFIELD BANKING COMPANY, THE	MIDDLEFIELD	OH	16	1,364,121	20,738
189129	9139	SM	COMMERCIAL AND SAVINGS BANK OF MILLERSBURG, OHIO, THE	MILLERSBURG	OH	16	1,112,195	11,082
204826	14836	N	FIRST NATIONAL BANK IN NEW BREMEN	NEW BREMEN	OH	5	392,232	4,546
213912	737	SM	APPLE CREEK BANKING COMPANY, THE	APPLE CREEK	OH	6	191,713	1,885
214414	5969	NM	FARMERS & MERCHANTS STATE BANK, THE	ARCHBOLD	OH	30	2,193,987	23,252
230423	14355	N	FIRST CITIZENS NATIONAL BANK OF UPPER SANDUSKY, THE	UPPER SANDUSKY	OH	8	350,620	863
230610	18858	SM	HOCKING VALLEY BANK, THE	ATHENS	OH	7	336,547	2,561
235316	16193	NM	ROCKHOLD BANK	BAINBRIDGE	OH	2	48,725	262
243414	6528	N	FIRST NATIONAL BANK OF BELLEVUE, THE	BELLEVUE	OH	8	307,346	3,546
263627	6725	N	FIRST NATIONAL BANK OF WAVERLY, THE	WAVERLY	OH	5	194,750	1,365
274025	9438	NM	MT. VICTORY STATE BANK	MOUNT VICTORY	OH	1	24,008	48
278872	30439	NM	EAGLE.BANK	CINCINNATI	OH	3	167,818	1,190
280110	17534	N	KEYBANK NATIONAL ASSOCIATION	CLEVELAND	OH	1003	177,674,801	2,596,619
287922	9439	NM	PEOPLES SAVINGS BANK, THE	NEW MATAMORAS	OH	3	66,457	295
289225	15326	NM	UNION BANKING COMPANY, THE	WEST MANSFIELD	OH	2	62,973	466
290922	6728	N	NATIONAL BANK OF ADAMS COUNTY OF WEST UNION, THE	WEST UNION	OH	1	103,592	959
294023	9437	NM	FIRST STATE BANK	WINCHESTER	OH	17	777,176	7,272
295011	13703	N	GREENVILLE NATIONAL BANK	GREENVILLE	OH	6	573,356	6,419
