List of Banks in Peer Group -- OKCOM All Insured Commercial Banks in Oklahoma

Reporting Period End Date	06/30/2018
Number of Banks in Peer Group	201

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1856	22430	NM	WASHITA STATE BANK	BURNS FLAT	OK	1	116,030	591
14650	16795	SM	BANK OF LOCUST GROVE	LOCUST GROVE	OK	1	33,132	268
17259	26260	N	FIRST NATIONAL BANK IN MARLOW, THE	MARLOW	OK	3	61,900	173
18854	4147	SM	BANK7	OKLAHOMA CITY	OK	7	705,938	12,846
19356	9881	NM	SECURITY BANK AND TRUST COMPANY	MIAMI	OK	1	88,094	522
25357	20093	NM	ALL AMERICA BANK	OKLAHOMA CITY	OK	7	412,582	3,230
37659	12758	NM	FARMERS STATE BANK, ALLEN, OKLAHOMA	ALLEN	OK	1	44,780	282
39756	4032	NM	NBC OKLAHOMA	OKLAHOMA CITY	OK	8	698,222	2,686
41553	12283	SM	FIRST STATE BANK	ANADARKO	OK	2	97,840	908
49951	4041	NM	FIRST SECURITY BANK, THE	BEAVER	OK	1	112,608	1,147
51356	22839	NM	LATIMER STATE BANK	WILBURTON	OK	1	70,768	265
52951	8980	NM	SECURITY STATE BANK OF OKLAHOMA	WEWOKA	OK	5	228,945	1,966
58551	421	NM	SECURITY STATE BANK	CHEYENNE	OK	2	174,335	2,847
59754	2317	SM	BANK OF WYANDOTTE, THE	WYANDOTTE	OK	1	13,085	49
61953	4071	N	FIRST NATIONAL BANK OF COWETA, THE	COWETA	OK	2	76,725	272
64552	11521	SM	BANK2	OKLAHOMA CITY	OK	1	141,736	369
67151	20156	NM	KIRKPATRICK BANK	EDMOND	OK	6	790,668	4,946
68756	11522	N	LIBERTY NATIONAL BANK	LAWTON	OK	7	508,125	4,581
73152	4097	N	FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW, THE	FAIRVIEW	OK	1	116,107	1,162
75259	12484	NM	FIRST OKLAHOMA BANK	JENKS	OK	3	586,066	1,602
76854	22065	NM	GRAND BANK	TULSA	OK	3	329,113	2,145
85454	4130	NM	BANK OF LAVERNE	LAVERNE	OK	1	59,401	364
95659	429	SM	MORRIS STATE BANK, THE	MORRIS	OK	1	77,483	312
99853	9879	NM	FIRST STATE BANK	NOBLE	OK	1	49,198	100
102155	5995	NM	STATE GUARANTY BANK	OKEENE	OK	1	52,993	523
106359	23473	SM	FIRST FIDELITY BANK	OKLAHOMA CITY	OK	28	1,588,517	10,708
114457	4086	N	FIRST NATIONAL BANK & TRUST, ELK CITY, OKLAHOMA	ELK CITY	OK	2	318,498	3,126
116554	18924	NM	FIRST STATE BANK	ELMORE CITY	OK	1	14,979	43
119153	14966	N	SECURITY NATIONAL BANK OF ENID, THE	ENID	OK	3	339,212	3,026
125154	16416	N	FSNB, NATIONAL ASSOCIATION	LAWTON	OK	84	386,551	7,309
129358	9467	NM	VALOR BANK	EDMOND	OK	3	76,848	606
131155	4107	SM	CITY BANK AND TRUST COMPANY	GUYMON	OK	1	169,916	394
137456	11862	NM	BANK OF BEAVER CITY, THE	BEAVER	OK	2	135,493	705
139553	10667	SM	MABREY BANK	BIXBY	OK	13	998,186	3,290
141350	2301	NM	FIRST STATE BANK, THE	BOISE CITY	OK	1	74,900	701
142955	4048	NM	SPIRITBANK	TULSA	OK	6	597,732	2,397
145554	4050	N	FIRST NATIONAL BANK AND TRUST COMPANY OF BROKEN ARROW, THE	BROKEN ARROW	OK	3	183,080	902
146056	4051	SM	ALLNATIONS BANK	CALUMET	OK	2	50,801	-225
147651	26416	NM	COMMUNITY STATE BANK OF CANTON	CANTON	OK	1	48,176	252
151555	4056	SM	FIRST BANK OF CHANDLER	CHANDLER	OK	1	90,729	991
152057	13274	SM	BANK OF COMMERCE	CHELSEA	OK	6	149,858	935
154154	4062	N	FIRST NATIONAL BANK AND TRUST COMPANY, CHICKASHA, OKLAHOMA, THE	CHICKASHA	OK	10	590,089	5,033
155759	406	NM	CLEO STATE BANK	CLEO SPRINGS	OK	4	90,067	-375
157856	15348	SM	FIRST BANK AND TRUST COMPANY	CLINTON	OK	1	56,425	247
159953	4067	NM	OKLAHOMA BANK AND TRUST COMPANY	CLINTON	OK	2	157,484	987
163857	12761	NM	F&M BANK	EDMOND	OK	8	445,660	3,066
172457	4084	SM	CITIZENS BANK OF EDMOND, THE	EDMOND	OK	1	259,807	1,189
175056	4087	SM	BANK OF WESTERN OKLAHOMA	ELK CITY	OK	6	268,722	2,120
184759	2308	NM	WASHITA VALLEY BANK	FORT COBB	OK	1	43,523	307
185251	4098	N	FIRST NATIONAL BANK OF FLETCHER, THE	FLETCHER	OK	1	19,049	69
186856	21090	NM	FORT GIBSON STATE BANK	FORT GIBSON	OK	1	69,517	285
192857	22340	NM	BANK OF THE PANHANDLE	GUYMON	OK	1	151,052	856
195456	4111	N	FIRST NATIONAL BANK	HEAVENER	OK	2	82,039	773
237954	4241	N	IDABEL NATIONAL BANK, THE	IDABEL	OK	1	121,925	1,014
241157	4029	N	VISION BANK, NATIONAL ASSOCIATION	ADA	OK	9	658,378	4,316
243955	2331	NM	PEOPLES BANK & TRUST COMPANY	RYAN	OK	2	47,652	806
245351	4031	SM	FRAZER BANK	ALTUS	OK	6	328,077	1,097
246956	9465	NM	ALVA STATE BANK & TRUST COMPANY	ALVA	OK	5	390,081	3,074
250850	25750	NM	COMMUNITY BANK	ALVA	OK	1	104,893	740
