List of Banks in Peer Group -- ORCOM All Insured Commercial Banks in Oregon

Reporting Period End Date	12/31/2008
Number of Banks in Peer Group	36

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
14865	16243	NM	BANK OF EASTERN OREGON	HEPPNER	OR	12	218,372	2,333
17464	22407	NM	BANK OF THE CASCADES	BEND	OR	33	2,407,132	-130,950
20866	23181	SM	HOME VALLEY BANK	GRANTS PASS	OR	6	224,387	-2,021
98463	17809	NM	CITIZENS BANK	CORVALLIS	OR	11	364,513	4,993
143662	17266	NM	UMPQUA BANK	ROSEBURG	OR	136	8,333,598	36,989
160360	23007	SM	OREGON PACIFIC BANKING CO. DBA OREGON PACIFIC BANK	FLORENCE	OR	4	156,418	1,165
593865	2345	NM	WEST COAST BANK	LAKE OSWEGO	OR	62	2,570,990	-3,794
641579	9486	NM	CLACKAMAS COUNTY BANK	SANDY	OR	4	149,905	3,446
644178	22469	NM	COLUMBIA RIVER BANK	THE DALLES	OR	22	1,083,227	-25,361
650674	31964	NM	LIBERTYBANK	EUGENE	OR	16	938,411	-6,304
693662	20774	NM	PACIFIC CONTINENTAL BANK	EUGENE	OR	14	1,025,265	13,687
779360	17445	NM	COMMUNITY BANK	JOSEPH	OR	15	317,445	4,109
843270	23268	SM	COMMUNITY FIRST BANK	PRINEVILLE	OR	8	211,836	-6,332
849665	19006	NM	SIUSLAW BANK	FLORENCE	OR	10	275,287	4,342
852973	19827	N	PIONEER TRUST BANK, NATIONAL ASSOCIATION	SALEM	OR	2	257,304	6,746
906063	22401	NM	SOUTH VALLEY BANK & TRUST	KLAMATH FALLS	OR	18	598,617	5,452
1457003	32975	NM	PREMIERWEST BANK	MEDFORD	OR	44	1,454,250	-5,898
2332666	34106	NM	ALBINA COMMUNITY BANK	PORTLAND	OR	5	194,812	-566
2370994	34093	NM	MBANK	GRESHAM	OR	5	303,605	-2,767
2661861	34685	NM	PEOPLE'S BANK OF COMMERCE	MEDFORD	OR	3	85,906	95
2802664	35013	NM	COLUMBIA COMMUNITY BANK	HILLSBORO	OR	4	380,275	1,723
2907046	35399	NM	SILVER FALLS BANK	SILVERTON	OR	3	145,193	-9,157
2954497	57033	NM	WILLAMETTE VALLEY BANK	SALEM	OR	3	107,730	568
3102530	57342	NM	PINNACLE BANK	BEAVERTON	OR	1	84,811	-2,990
3125557	57373	NM	OREGON COAST BANK	NEWPORT	OR	4	110,129	713
3187395	57513	NM	WILLAMETTE COMMUNITY BANK	ALBANY	OR	2	50,750	114
3204993	57562	NM	CAPITAL PACIFIC BANK	PORTLAND	OR	1	135,380	1,351
3243282	57706	NM	SUMMIT BANK	EUGENE	OR	1	98,772	354
3258286	57720	NM	CENTURY BANK	EUGENE	OR	1	72,460	208
3303944	57872	NM	PACIFIC WEST BANK	WEST LINN	OR	2	53,301	14
3308314	57877	NM	BANK OF OSWEGO, THE	LAKE OSWEGO	OR	1	60,916	1,037
3368831	58047	NM	NORTHWEST BANK	LAKE OSWEGO	OR	2	116,173	-1,855
3374186	58223	NM	COMMERCE BANK OF OREGON, THE	PORTLAND	OR	1	46,993	-1,223
3489071	58428	NM	LEWIS & CLARK BANK	OREGON CITY	OR	1	80,249	-648
3631870	58625	NM	CENTERPOINTE COMMUNITY BANK	HOOD RIVER	OR	2	27,094	-1,992
3730746	58660	NM	COMPASS COMMUNITY BANK	SEASIDE	OR	1	12,660	-1,677
