List of Banks in Peer Group -- PACOM All Insured Commercial Banks in Pennsylvania

Reporting Period End Date	03/31/2012
Number of Banks in Peer Group	127

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1829	6058	NM	ALLEGHENY VALLEY BANK OF PITTSBURGH	PITTSBURGH	PA	9	405,623	712
5210	7506	NM	ACNB BANK	GETTYSBURG	PA	18	990,028	2,049
17110	26189	SM	HAVERFORD TRUST COMPANY, THE	RADNOR	PA	1	117,183	852
18827	7900	N	FARMERS AND MERCHANTS BANK OF WESTERN PENNSYLVANIA, NATIONAL ASSOCIATION	KITTANNING	PA	8	390,938	1,076
20512	7704	N	FIRST NATIONAL BANK OF PORT ALLEGANY	PORT ALLEGANY	PA	3	98,765	180
42420	7468	NM	FIRST COMMONWEALTH BANK	INDIANA	PA	109	5,820,841	13,603
56427	7919	N	CITIZENS NATIONAL BANK OF MEYERSDALE, THE	MEYERSDALE	PA	1	87,930	122
56717	9888	NM	DIME BANK, THE	HONESDALE	PA	6	574,594	1,582
59316	698	NM	WAYNE BANK	HONESDALE	PA	15	664,314	2,203
70414	7666	N	NORTHUMBERLAND NATIONAL BANK, THE	NORTHUMBERLAND	PA	6	451,900	1,086
71318	7464	N	DNB FIRST, NATIONAL ASSOCIATION	DOWNINGTOWN	PA	11	603,877	1,182
80020	7907	NM	MANOR BANK	MANOR	PA	2	24,329	1
107226	10032	N	COMMUNITY NATIONAL BANK OF NORTHWESTERN PENNSYLVANIA	ALBION	PA	5	79,495	163
119528	7875	N	FARMERS NATIONAL BANK OF EMLENTON, THE	EMLENTON	PA	14	498,590	841
121914	16976	NM	COMMUNITY STATE BANK OF ORBISONIA	ORBISONIA	PA	7	296,247	722
127224	7886	N	FIRST UNITED NATIONAL BANK	FRYBURG	PA	6	247,331	598
131418	7459	N	FNB BANK, NATIONAL ASSOCIATION	DANVILLE	PA	8	372,338	1,188
140018	11106	SM	LAFAYETTE AMBASSADOR BANK	BETHLEHEM	PA	24	1,428,254	6,088
141211	10678	NM	MUNCY BANK AND TRUST COMPANY, THE	MUNCY	PA	5	301,181	1,577
144913	7646	N	NEFFS NATIONAL BANK, THE	NEFFS	PA	1	287,654	1,064
186717	7675	SM	FIRST NORTHERN BANK AND TRUST COMPANY	PALMERTON	PA	11	696,559	1,153
188926	7953	NM	COMMUNITY FIRST BANK	REYNOLDSVILLE	PA	4	88,876	100
189820	10688	NM	SCOTTDALE BANK & TRUST CO. THE	SCOTTDALE	PA	4	237,286	646
203418	7774	N	SWINEFORD NATIONAL BANK	MIDDLEBURG	PA	7	282,127	797
212018	7613	N	FIRST NATIONAL BANK OF MIFFLINTOWN, THE	MIFFLINTOWN	PA	12	387,182	1,172
212522	11112	NM	SOMERSET TRUST COMPANY	SOMERSET	PA	17	726,254	2,632
215710	7614	NM	JUNIATA VALLEY BANK, THE	MIFFLINTOWN	PA	12	441,681	375
235017	15145	NM	MINERS BANK	MINERSVILLE	PA	4	129,887	146
239613	7472	N	FIRST NATIONAL COMMUNITY BANK	DUNMORE	PA	21	1,070,192	-540
249416	7631	N	UNION NATIONAL BANK OF MOUNT CARMEL, THE	MOUNT CARMEL	PA	2	131,215	222
278818	7514	NM	PEOPLES NEIGHBORHOOD BANK	HALLSTEAD	PA	12	621,527	2,416
282824	12985	NM	ELDERTON STATE BANK	ELDERTON	PA	2	193,582	580
289515	8405	NM	FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG	CHAMBERSBURG	PA	25	1,008,977	1,483
291611	11113	NM	HAMLIN BANK AND TRUST COMPANY	SMETHPORT	PA	7	405,918	2,123
315629	7879	N	NEXTIER BANK, N.A.	BUTLER	PA	16	496,992	401
331713	7659	SM	NEW TRIPOLI BANK	NEW TRIPOLI	PA	2	318,952	1,350
342410	713	SM	ORRSTOWN BANK	SHIPPENSBURG	PA	20	1,435,968	-7,881
354310	7759	SM	UNIVEST BANK AND TRUST CO.	SOUDERTON	PA	32	2,155,172	5,644
368522	6051	SM	APOLLO TRUST COMPANY	APOLLO	PA	5	145,426	333
371924	7848	NM	COMMUNITY BANK	CARMICHAELS	PA	10	527,973	1,150
379920	7888	N	FIRST NATIONAL BANK OF PENNSYLVANIA	GREENVILLE	PA	255	11,361,218	21,062
399517	13876	NM	CNB BANK	CLEARFIELD	PA	26	1,606,667	4,125
411512	7461	NM	CENTRIC BANK	HARRISBURG	PA	3	258,100	220
425911	7493	N	EPHRATA NATIONAL BANK	EPHRATA	PA	8	764,407	2,229
432012	7577	N	FIRST NATIONAL BANK OF LILLY, THE	LILLY	PA	1	23,650	27
440110	7582	SM	LIVERPOOL COMMUNITY BANK	LIVERPOOL	PA	1	43,603	146
465618	7526	N	HONESDALE NATIONAL BANK, THE	HONESDALE	PA	9	564,925	2,021
471217	18962	NM	ROYAL BANK AMERICA	NARBERTH	PA	16	842,656	-892
474919	7551	N	FULTON BANK, NATIONAL ASSOCIATION	LANCASTER	PA	120	8,950,858	28,124
493013	7502	N	FIRST NATIONAL BANK OF FREDERICKSBURG, THE	FREDERICKSBURG	PA	7	198,356	174
501815	7586	SM	LUZERNE BANK	LUZERNE	PA	8	300,552	577
526519	8426	NM	1ST SUMMIT BANK	JOHNSTOWN	PA	14	740,153	2,164
528616	463	NM	PENN SECURITY BANK AND TRUST COMPANY	SCRANTON	PA	12	921,116	2,773
551016	13561	SM	FLEETWOOD BANK	FLEETWOOD	PA	6	228,535	260
556011	8421	NM	WEST MILTON STATE BANK	WEST MILTON	PA	5	316,343	994
556815	13879	NM	PEOPLES BANK, A CODORUS VALLEY COMPANY	GLEN ROCK	PA	19	1,002,130	2,433
557317	14863	N	GRATZ NATIONAL BANK, THE	GRATZ	PA	3	176,804	764
597313	444	NM	PEOPLES STATE BANK OF WYALUSING	WYALUSING	PA	8	239,189	608
600419	14969	N	KISHACOQUILLAS VALLEY NATIONAL BANK OF BELLEVILLE, THE	BELLEVILLE	PA	13	563,184	1,012
653611	10677	NM	JONESTOWN BANK AND TRUST COMPANY	JONESTOWN	PA	10	384,940	995
678717	7748	NM	VIST BANK	WYOMISSING	PA	23	1,393,984	1,434
682611	7579	SM	SUSQUEHANNA BANK	LITITZ	PA	254	16,112,931	36,514
732918	14359	NM	JERSEY SHORE STATE BANK	JERSEY SHORE	PA	13	755,540	3,448
734613	90384	SM	BANK OF LANDISBURG, THE	LANDISBURG	PA	3	250,073	668
757612	7598	NM	RIVERVIEW BANK	MARYSVILLE	PA	10	285,913	918
765019	11866	SM	BRYN MAWR TRUST COMPANY, THE	BRYN MAWR	PA	17	1,764,859	5,004
767817	7609	N	FIRST NATIONAL BANK OF MERCERSBURG, THE	MERCERSBURG	PA	7	179,680	200
775214	26255	NM	METRO BANK	LEMOYNE	PA	33	2,379,009	3,160
779016	10685	NM	MIFFLINBURG BANK AND TRUST COMPANY	MIFFLINBURG	PA	5	323,302	950
786612	9889	NM	MID PENN BANK	MILLERSBURG	PA	15	708,448	1,155
790918	7404	NM	FIRST KEYSTONE COMMUNITY BANK	BERWICK	PA	16	824,721	2,680
797319	7621	N	FIRST NATIONAL BANK OF MINERSVILLE, THE	MINERSVILLE	PA	1	85,066	127
802110	7414	N	NATIONAL PENN BANK	BOYERTOWN	PA	129	8,305,843	25,593
833271	27013	SM	CONESTOGA BANK	CHESTER SPRINGS	PA	14	608,362	364
850616	9893	NM	UNION BANK AND TRUST COMPANY	POTTSVILLE	PA	5	112,026	99
852713	7714	NM	QNB BANK	QUAKERTOWN	PA	9	862,102	2,261
857811	2359	NM	MAUCH CHUNK TRUST COMPANY	JIM THORPE	PA	6	313,870	1,014
866121	445	NM	MERCER COUNTY STATE BANK	SANDY LAKE	PA	10	322,884	732
881012	686	NM	FIRST COLUMBIA BANK & TRUST COMPANY	BLOOMSBURG	PA	11	621,008	1,823
895710	7799	NM	CITIZENS & NORTHERN BANK	WELLSBORO	PA	26	1,281,052	5,548
906410	7789	N	TURBOTVILLE NATIONAL BANK, THE	TURBOTVILLE	PA	1	118,471	413
910314	26947	N	EAGLE NATIONAL BANK	UPPER DARBY	PA	5	207,402	44
920210	7599	N	JIM THORPE NATIONAL BANK, THE	JIM THORPE	PA	6	159,834	254
928618	7542	SM	AMERISERV FINANCIAL BANK	JOHNSTOWN	PA	18	942,460	1,696
934329	7946	N	BNY MELLON, NATIONAL ASSOCIATION	PITTSBURGH	PA	16	14,239,724	30,436
935111	7391	SM	MERCHANTS BANK OF BANGOR	BANGOR	PA	8	300,222	410
936426	11124	NM	S & T BANK	INDIANA	PA	58	4,108,519	4,065
945026	14333	NM	COMMERCIAL BANK & TRUST OF PA	LATROBE	PA	10	385,582	3,779
947525	7909	NM	MARION CENTER BANK	INDIANA	PA	7	250,302	415
975911	11116	NM	CLEARFIELD BANK AND TRUST COMPANY, THE	CLEARFIELD	PA	13	407,003	916
977616	7590	N	NATIONAL BANK OF MALVERN, THE	MALVERN	PA	2	131,360	323
978118	7593	N	FIRST CITIZENS NATIONAL BANK	MANSFIELD	PA	17	875,976	3,544
978622	7910	N	MARS NATIONAL BANK, THE	MARS	PA	5	336,308	187
1007417	7658	N	FIRST NATIONAL BANK AND TRUST COMPANY,THE	NEWTOWN	PA	17	777,349	2,537
1007819	11868	NM	FIDELITY DEPOSIT AND DISCOUNT BANK, THE	DUNMORE	PA	11	616,035	1,354
1216321	27332	NM	REPUBLIC FIRST BANK DBA REPUBLIC BANK	PHILADELPHIA	PA	14	985,719	1,532
1479470	33136	SM	WOODLANDS BANK	WILLIAMSPORT	PA	6	314,736	804
1945247	33568	NM	UNITED BANK OF PHILADELPHIA	PHILADELPHIA	PA	4	75,832	-218
2354985	34444	SM	CUSTOMERS BANK	PHOENIXVILLE	PA	14	1,908,834	3,240
2580243	34422	SM	AMERICAN BANK	ALLENTOWN	PA	1	510,370	1,425
2730431	34786	NM	ENTERPRISE BANK	ALLISON PARK	PA	1	243,075	548
2754389	35077	NM	STONEBRIDGE BANK	WEST CHESTER	PA	5	292,111	-1,095
2785477	34759	SM	ASIAN BANK	PHILADELPHIA	PA	2	70,759	19
2796277	35075	NM	PHILADELPHIA TRUST COMPANY, THE	PHILADELPHIA	PA	1	16,332	473
2897754	35312	NM	FIRST CORNERSTONE BANK	KING OF PRUSSIA	PA	6	161,129	-352
2963547	57112	SM	LANDMARK COMMUNITY BANK	PITTSTON	PA	4	237,741	559
3068579	57228	NM	EMBASSY BANK FOR THE LEHIGH VALLEY	BETHLEHEM	PA	7	601,945	1,272
