List of Banks in Peer Group -- SDCOM All Insured Commercial Banks in South Dakota

Reporting Period End Date	12/31/2023
Number of Banks in Peer Group	53

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
61355	6063	N	CORTRUST BANK NATIONAL ASSOCIATION	MITCHELL	SD	37	1,600,438	3,210
65559	15562	NM	PIONEER BANK & TRUST	BELLE FOURCHE	SD	6	1,028,887	7,973
77851	3973	NM	FIRST BANK & TRUST	BROOKINGS	SD	24	4,453,174	37,442
80150	1122	NM	FIRST FIDELITY BANK	BURKE	SD	11	614,563	7,946
82257	6064	NM	BRYANT STATE BANK	BRYANT	SD	1	46,564	381
83852	1675	NM	RICHLAND STATE BANK	BRUCE	SD	1	53,452	2,171
91950	11133	NM	FARMERS STATE BANK OF CANTON	CANTON	SD	1	59,836	186
95051	6078	NM	ONE AMERICAN BANK	CENTERVILLE	SD	3	437,860	-15,866
108951	16221	NM	RELIABANK DAKOTA	ESTELLINE	SD	10	830,727	4,139
109453	496	NM	BANKSTAR FINANCIAL	ELKTON	SD	3	268,260	1,995
120953	1686	NM	FARMERS STATE BANK	PARKSTON	SD	3	267,047	1,533
128258	492	NM	WESTERN DAKOTA BANK	TIMBER LAKE	SD	2	68,400	1,002
129853	9932	NM	COMMERCIAL STATE BANK OF WAGNER	WAGNER	SD	1	239,321	3,082
135854	9007	NM	HEARTLAND STATE BANK	REDFIELD	SD	4	146,999	2,609
189950	9005	NM	FIRST STATE BANK OF ROSCOE	ROSCOE	SD	3	144,755	2,162
256553	17437	SM	DACOTAH BANK	ABERDEEN	SD	35	3,836,445	26,390
270652	16448	NM	SECURITY STATE BANK	ALEXANDRIA	SD	3	96,797	921
274856	1118	SM	CITIZENS STATE BANK OF ARLINGTON	ARLINGTON	SD	3	145,921	1,074
275358	1117	NM	AMERICAN BANK & TRUST	SIOUX FALLS	SD	18	1,612,070	19,031
276953	1687	NM	COMMUNITY BANK	AVON	SD	1	64,880	239
285553	15749	NM	SECURITY STATE BANK, THE	EMERY	SD	2	65,261	1,148
288152	3985	N	FIRST NATIONAL BANK OF FREDERICK, THE	FREDERICK	SD	1	29,286	247
289757	1125	SM	MERCHANTS STATE BANK	FREEMAN	SD	4	219,930	3,198
293651	16161	NM	CAMPBELL COUNTY BANK	HERREID	SD	3	168,655	4,090
326858	4016	N	FIRST NATIONAL BANK IN SIOUX FALLS, THE	SIOUX FALLS	SD	17	1,861,714	13,110
354253	15847	NM	SUNRISE BANK DAKOTA	ONIDA	SD	1	61,158	99
355858	14712	N	FIRST NATIONAL BANK	FORT PIERRE	SD	16	1,698,349	29,220
374653	6085	SM	FIRST PREMIER BANK	SIOUX FALLS	SD	14	3,127,035	45,878
401559	3977	N	DNB NATIONAL BANK	CLEAR LAKE	SD	2	107,229	1,005
403656	18145	NM	STATE BANK OF EAGLE BUTTE	EAGLE BUTTE	SD	1	78,995	794
407850	12293	NM	FARMERS STATE BANK	HOSMER	SD	1	23,986	353
410159	18483	NM	ANDES STATE BANK	LAKE ANDES	SD	1	26,630	273
425050	13999	NM	FARMERS AND MERCHANTS STATE BANK, THE	SCOTLAND	SD	1	33,265	239
435077	30776	N	PATHWARD, NATIONAL ASSOCIATION	SIOUX FALLS	SD	1	7,480,217	166,128
435255	485	NM	SECURITY BANK MIDWEST	TYNDALL	SD	5	291,832	2,878
441256	4028	N	FIRST DAKOTA NATIONAL BANK	YANKTON	SD	17	2,851,814	27,745
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	4295	1,693,168,250	21,994,000
474450	9935	NM	RIVERS EDGE BANK	MARION	SD	5	277,087	2,126
476810	7213	N	CITIBANK, N.A.	SIOUX FALLS	SD	769	1,715,715,000	11,169,000
496957	6084	NM	FARMERS STATE BANK OF TURTON, THE	TURTON	SD	1	37,329	27
526452	1673	NM	1ST FINANCIAL BANK USA	DAKOTA DUNES	SD	2	1,146,793	25,396
532453	15593	NM	IPSWICH STATE BANK	IPSWICH	SD	1	70,914	876
538754	3999	N	FIRST NATIONAL BANK IN PHILIP	PHILIP	SD	2	378,008	6,280
540551	4009	NM	BANKWEST, INCORPORATED	PIERRE	SD	18	1,620,209	9,847
589158	505	NM	GREAT PLAINS BANK	EUREKA	SD	3	144,680	2,516
592550	15629	NM	QUOIN FINANCIAL BANK	MILLER	SD	3	210,214	577
593052	1678	NM	PLAINS COMMERCE BANK	SIOUX FALLS	SD	8	1,134,657	9,501
601153	501	NM	FARMERS AND MERCHANTS STATE BANK	PLANKINTON	SD	2	140,860	3,049
811747	15734	NM	SECURITY SAVINGS BANK	CANTON	SD	8	512,707	1,558
944355	25894	N	FIRST NATIONAL BANK	OLDHAM	SD	11	425,919	4,358
2529176	34394	N	SECURITY NATIONAL BANK OF SOUTH DAKOTA	DAKOTA DUNES	SD	3	223,960	3,831
2858960	35444	N	BANCORP BANK NATIONAL ASSOCIATION, THE	SIOUX FALLS	SD	1	7,435,669	206,840
3636428	58723	N	BLACK HILLS COMMUNITY BANK, NATIONAL ASSOCIATION	RAPID CITY	SD	2	468,711	5,363
