List of Banks in Peer Group -- SVG All insured savings banks

Reporting Period End Date	03/31/2021
Number of Banks in Peer Group	584

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
542667	19525	SI	MT. MCKINLEY BANK	FAIRBANKS	AK	5	565,881	1,041
455477	30433	SI	SOUTHFIRST BANK	SYLACAUGA	AL	3	90,779	-48
558574	31592	SI	SECURITY FEDERAL SAVINGS BANK	JASPER	AL	1	39,525	-33
814074	31127	SI	FIRST FEDERAL BANK, A FSB	TUSCALOOSA	AL	3	159,488	3,773
934673	30167	SI	CULLMAN SAVINGS BANK	CULLMAN	AL	4	331,133	831
2059990	33818	SI	PRIORITY BANK	FAYETTEVILLE	AR	3	99,967	1,024
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	179,960	197
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	10	4,819,478	9,782
2917317	35546	SI	AXOS BANK	SAN DIEGO	CA	3	12,922,544	58,524
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	215,135	14,836
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	2,572,940	1,844
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	1,320,654	4,810
780562	25648	SI	INTERNATIONAL CITY BANK	LONG BEACH	CA	1	473,238	6,838
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	13	1,176,449	1,715
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	482,057	-2,777
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	412,210	261
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	221,408	200
256076	28315	SI	RG BANK, A SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	133,995	144
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	171,490	311
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	1	104,123	581
401072	28860	SI	CENTURY SAVINGS AND LOAN ASSOCIATION	TRINIDAD	CO	1	97,916	-48
705378	29066	SI	DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION	DEL NORTE	CO	2	107,774	536
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	2,131,820	2,915
945071	28208	SI	SAN LUIS VALLEY FEDERAL BANK	ALAMOSA	CO	3	333,015	576
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	7	966,254	2,370
