List of Banks in Peer Group -- TNCOM All Insured Commercial Banks in Tennessee

Reporting Period End Date	12/31/2013
Number of Banks in Peer Group	167

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
45430	22070	NM	JOHNSON COUNTY BANK	MOUNTAIN CITY	TN	1	119,867	776
51253	9176	NM	BANK OF CAMDEN	CAMDEN	TN	7	270,076	9,665
55635	10319	NM	CITIZENS SAVINGS BANK AND TRUST COMPANY	NASHVILLE	TN	3	93,481	-343
62772	30698	NM	FIRST ADVANTAGE BANK	CLARKSVILLE	TN	7	380,417	3,143
63733	1711	NM	CITIZENS BANK	LAFAYETTE	TN	15	641,703	5,415
66154	6101	NM	DECATUR COUNTY BANK	DECATURVILLE	TN	3	88,882	975
70058	1480	NM	FARMERS & MERCHANTS BANK, THE	DYER	TN	3	103,880	686
80431	9179	NM	UNION BANK & TRUST COMPANY	LIVINGSTON	TN	2	79,198	1,665
82350	22835	NM	LAUDERDALE COUNTY BANK, THE	HALLS	TN	2	48,837	244
83955	15255	NM	GREENFIELD BANKING COMPANY	GREENFIELD	TN	1	50,957	334
86554	19813	NM	CHESTER COUNTY BANK	HENDERSON	TN	4	68,887	565
87234	4952	N	FIRST NATIONAL BANK OF MCMINNVILLE	MC MINNVILLE	TN	6	486,825	4,185
99536	8432	NM	BANK OF PUTNAM COUNTY	COOKEVILLE	TN	7	383,927	3,948
105530	13775	NM	FARMERS STATE BANK	MOUNTAIN CITY	TN	3	138,329	841
118156	9172	NM	SECURITY BANK AND TRUST COMPANY	PARIS	TN	6	171,772	3,330
126254	1479	NM	FIRST STATE BANK	UNION CITY	TN	32	1,804,702	18,586
126834	893	NM	CITIZENS BANK	CARTHAGE	TN	9	517,398	11,885
211338	22090	NM	COFFEE COUNTY BANK	MANCHESTER	TN	2	120,756	2,656
218131	21227	NM	CITIZENS BANK OF BLOUNT COUNTY	MARYVILLE	TN	10	324,355	1,509
225559	23123	SM	BANK OF BARTLETT	BARTLETT	TN	8	357,271	793
227656	9189	NM	BRIGHTON BANK	BRIGHTON	TN	3	60,291	-1,229
234739	10307	NM	FIRST VOLUNTEER BANK	CHATTANOOGA	TN	24	881,601	9,253
235231	6088	NM	UNION BANK	JAMESTOWN	TN	3	204,858	280
283737	19502	N	FIRST NATIONAL BANK OF TENNESSEE	LIVINGSTON	TN	7	678,842	6,647
